"group_id","direction_marker","group_export_name","viability","keywords","ads","planned_url"
"CORV-G03-06","[C03]","[C03] РМК и рабочее место кассира","ACTIVE","3","1","https://lk.corvonero.ru/rmk-1c/"
"CORV-G03-05","[C03]","[C03] Внешние отчёты и обработки","ACTIVE","20","1","https://lk.corvonero.ru/otchety-1c/"
"CORV-G03-02","[C03]","[C03] Создание отчёта 1С","ACTIVE NARROW","2","1","https://lk.corvonero.ru/otchety-1c/"
"CORV-G03-01","[C03]","[C03] Доработка и настройка отчёта 1С","ACTIVE","4","2","https://lk.corvonero.ru/otchety-1c/"
"CORV-G03-03","[C03]","[C03] Печатные формы 1С","ACTIVE","25","1","https://lk.corvonero.ru/pechatnye-formy-1c/"
"CORV-G02-04","[C02]","[C02] Обновление доработанной 1С","ACTIVE NARROW","2","1","https://lk.corvonero.ru/obnovlenie-dorabotok-1c/"
"CORV-G02-05","[C02]","[C02] Перенос и сохранение доработок","ACTIVE NARROW","2","1","https://lk.corvonero.ru/obnovlenie-dorabotok-1c/"
"CORV-G02-06","[C02]","[C02] Исправление доработок после обновления","ACTIVE NARROW","1","1","https://lk.corvonero.ru/obnovlenie-dorabotok-1c/"
"CORV-G02-02","[C02]","[C02] Доработка конфигурации 1С","ACTIVE","7","1","https://lk.corvonero.ru/dorabotka-1c/"
"CORV-G02-03","[C02]","[C02] Доработка базы 1С","ACTIVE NARROW","1","1","https://lk.corvonero.ru/dorabotka-1c/"
"CORV-G02-01","[C02]","[C02] Доработка 1С","ACTIVE","25","2","https://lk.corvonero.ru/dorabotka-1c/"
"CORV-G01-02","[C01]","[C01] Программист 1С Новосибирск","ACTIVE NARROW","2","1","https://lk.corvonero.ru/uslugi-1c/"
"CORV-G01-07","[C01]","[C01] Абонентское сопровождение","ACTIVE","3","1","https://lk.corvonero.ru/soprovozhdenie-1c/"
"CORV-G01-06","[C01]","[C01] Обслуживание 1С","ACTIVE","4","1","https://lk.corvonero.ru/soprovozhdenie-1c/"
"CORV-G01-05","[C01]","[C01] Сопровождение 1С","ACTIVE","25","1","https://lk.corvonero.ru/soprovozhdenie-1c/"
"CORV-G01-04","[C01]","[C01] Внедрение 1С","ACTIVE NARROW","2","1","https://lk.corvonero.ru/vnedrenie-1c/"
"CORV-G01-03","[C01]","[C01] Настройка 1С","ACTIVE NARROW","2","1","https://lk.corvonero.ru/nastroyka-1c/"
"CORV-G01-08","[C01]","[C01] Разовые работы 1С","ACTIVE","7","1","https://lk.corvonero.ru/uslugi-1c/"
"CORV-G01-01","[C01]","[C01] Услуги программиста 1С","ACTIVE","25","2","https://lk.corvonero.ru/uslugi-1c/"
