"group_id","direction_marker","phrase","bid","tier","classification"
"CORV-G06-03","[C06]","маркировка честный знак в 1с бухгалтерия","450","T1","KEEP"
"CORV-G06-03","[C06]","маркировка честный знак в 1с розница","450","T1","KEEP"
"CORV-G06-03","[C06]","маркировка честный знак в 1с унф","450","T1","KEEP"
"CORV-G06-03","[C06]","маркировка честный знак в 1с ут","450","T1","KEEP"
"CORV-G06-03","[C06]","маркировка честный знак в 1с erp","450","T1","KEEP"
"CORV-G06-03","[C06]","настройка честного знака в 1с","450","T1","KEEP"
"CORV-G06-03","[C06]","работа с маркировкой честный знак в 1с","450","T1","KEEP"
"CORV-G06-03","[C06]","работа с честным знаком в 1с","450","T1","KEEP"
"CORV-G06-03","[C06]","Честный знак 1С","450","T1","KEEP"
"CORV-G06-03","[C06]","честный знак в 1с","450","T1","KEEP"
"CORV-G06-03","[C06]","честный знак в 1с ут","450","T1","KEEP"
"CORV-G06-03","[C06]","честный знак модуль 1с","450","T1","KEEP"
"CORV-G06-03","[C06]","честный знак через 1с","450","T1","KEEP"
"CORV-G06-04","[C06]","ошибка маркировки 1С","450","T2","KEEP"
"CORV-G06-01","[C06]","внедрение маркировки в 1с","450","T2","KEEP"
"CORV-G06-01","[C06]","маркировка в 1С","439","T2","KEEP"
"CORV-G06-01","[C06]","настроить маркировку в 1с","429","T2","KEEP"
"CORV-G06-01","[C06]","настройка маркировки в 1с","414","T2","KEEP"
"CORV-G06-01","[C06]","настройка маркировки в 1с бухгалтерия","399","T2","KEEP"
"CORV-G06-01","[C06]","настройка маркировки в 1с розница","384","T2","KEEP"
"CORV-G06-01","[C06]","настройка маркировки в 1с розница 2.3","369","T2","KEEP"
"CORV-G06-01","[C06]","настройка маркировки в 1с розница 3.0","354","T2","KEEP"
"CORV-G06-01","[C06]","настройка маркировки в 1с унф","350","T2","KEEP"
"CORV-G06-01","[C06]","настройка маркировки в 1с ут","350","T2","KEEP"
"CORV-G06-01","[C06]","настройка маркировки в 1с ут 11","350","T2","KEEP"
"CORV-G06-01","[C06]","настройка маркировки в 1с ут 11.5","350","T2","KEEP"
"CORV-G06-01","[C06]","настройка сканера для маркировки в 1с","350","T2","KEEP"
"CORV-G06-01","[C06]","настройки сканирования кодов маркировки в 1с","350","T2","KEEP"
"CORV-G06-01","[C06]","подключение маркировки 1с","350","T2","KEEP"
"CORV-G06-01","[C06]","подключение маркировки в 1с","350","T2","KEEP"
"CORV-G06-02","[C06]","маркировка в 1с розница настройка номенклатуры","450","T2","KEEP"
"CORV-G06-02","[C06]","маркировка моторных масел в 1с розница настройка","434","T2","KEEP"
"CORV-G06-02","[C06]","настройка маркировки 1С","408","T2","KEEP"
"CORV-G07-03","[C07]","не работает обмен 1С","450","T2","KEEP"
"CORV-G07-03","[C07]","не работает синхронизация 1с","447","T2","KEEP"
"CORV-G07-03","[C07]","не работает синхронизация 1с 8.3","424","T2","KEEP"
"CORV-G07-03","[C07]","после обновления 1с не работает синхронизация","402","T2","KEEP"
"CORV-G07-03","[C07]","почему не работает синхронизация в 1с","380","T2","KEEP"
"CORV-G07-02","[C07]","1с ошибка печатная форма недоступна","450","T2","KEEP"
"CORV-G07-02","[C07]","ошибка 1С","446","T2","KEEP"
"CORV-G07-02","[C07]","ошибка 1с после обновления","425","T2","KEEP"
"CORV-G07-02","[C07]","ошибки программиста 1с","401","T2","KEEP"
"CORV-G07-02","[C07]","тс пиот ошибка доступа через порт 1с","380","T2","KEEP"
"CORV-G07-04","[C07]","восстановление работы 1С","450","T2","KEEP"
"CORV-G07-01","[C07]","1С не работает -вакансия -работа программист","550","T1","KEEP"
"CORV-G07-01","[C07]","почему не работает программа 1с","543","T1","KEEP"
"CORV-G07-01","[C07]","программа 1с не работает","518","T1","KEEP"
"CORV-G07-01","[C07]","срочно программист 1С","485","T1","KEEP"
"CORV-G05-02","[C05]","1с битрикс документооборот интеграция","450","T2","KEEP"
"CORV-G05-02","[C05]","1с унф битрикс интеграция","444","T2","KEEP"
"CORV-G05-02","[C05]","битрикс 24 модуль интеграции с 1с","429","T2","KEEP"
"CORV-G05-02","[C05]","битрикс интеграция с 1с","414","T2","KEEP"
"CORV-G05-02","[C05]","битрикс интернет магазины интеграцией 1с","399","T2","KEEP"
"CORV-G05-02","[C05]","битрикс сайт интеграция с 1с","384","T2","KEEP"
"CORV-G05-02","[C05]","битрикс управление сайтом интеграция с 1с","369","T2","KEEP"
"CORV-G05-02","[C05]","интеграция 1С Битрикс","350","T2","KEEP"
"CORV-G05-02","[C05]","интеграция 1с битрикс и битрикс24","350","T2","KEEP"
"CORV-G05-02","[C05]","интеграция 1с битрикс магазина с 1с","350","T2","KEEP"
"CORV-G05-02","[C05]","интеграция 1с бухгалтерия битрикс","350","T2","KEEP"
"CORV-G05-02","[C05]","интеграция 1с бухгалтерия и битрикс 24","350","T2","KEEP"
"CORV-G05-02","[C05]","интеграция 1с и битрикс 24","350","T2","KEEP"
"CORV-G05-02","[C05]","интеграция битрикс 1с ут","350","T2","KEEP"
"CORV-G05-02","[C05]","интеграция битрикс 1с фреш","350","T2","KEEP"
"CORV-G05-02","[C05]","интеграция битрикс 1с erp","350","T2","KEEP"
"CORV-G05-02","[C05]","интеграция битрикс и 1с управление торговлей","350","T2","KEEP"
"CORV-G05-02","[C05]","интеграция сайта 1с битрикс","350","T2","KEEP"
"CORV-G05-02","[C05]","модули интеграции 1с битрикс","350","T2","KEEP"
"CORV-G05-02","[C05]","настройка интеграции 1с и битрикс","350","T2","KEEP"
"CORV-G05-01","[C05]","1с настройка интеграции с сайтом","550","T1","KEEP"
"CORV-G05-01","[C05]","1с унф интеграция с сайтом","544","T1","KEEP"
"CORV-G05-01","[C05]","интеграция 1С с сайтом","526","T1","KEEP"
"CORV-G05-01","[C05]","интеграция сайта с 1с","514","T1","KEEP"
"CORV-G05-01","[C05]","интеграция сайта с 1с по api","499","T1","KEEP"
"CORV-G05-01","[C05]","обмена с сайтом 1с интеграция","484","T1","KEEP"
"CORV-G05-01","[C05]","сайт личного кабинета интеграция с 1с","469","T1","KEEP"
"CORV-G05-01","[C05]","синхронизация сайта 1с","452","T1","KEEP"
"CORV-G05-01","[C05]","управление сайтом интеграция с 1с","450","T1","KEEP"
"CORV-G05-03","[C05]","1с касса синхронизация розница","450","T2","KEEP"
"CORV-G05-03","[C05]","1с касса синхронизация с бухгалтерией","442","T2","KEEP"
"CORV-G05-03","[C05]","1с мобильная касса настройка синхронизации","429","T2","KEEP"
"CORV-G05-03","[C05]","1с мобильная касса синхронизация","412","T2","KEEP"
"CORV-G05-03","[C05]","1с мобильная касса синхронизация с 1с бухгалтерия","397","T2","KEEP"
"CORV-G05-03","[C05]","1с мобильная касса синхронизация с 1с розница","382","T2","KEEP"
"CORV-G05-03","[C05]","1с пиот тс пиот для ккт меркурий","367","T2","KEEP"
"CORV-G05-03","[C05]","интеграция 1С с кассой","354","T2","KEEP"
"CORV-G05-03","[C05]","синхронизация 1с касса","350","T2","KEEP"
"CORV-G05-03","[C05]","синхронизация 1с унф с кассой","350","T2","KEEP"
"CORV-G05-03","[C05]","тс пиот 1с касса","350","T2","KEEP"
"CORV-G05-06","[C05]","миграция данных 1с","350","T3","KEEP"
"CORV-G05-06","[C05]","перенос данных в 1С","334","T3","KEEP"
"CORV-G05-04","[C05]","1с 8.3 зуп синхронизация","450","T2","KEEP"
"CORV-G05-04","[C05]","1с бп синхронизация","442","T2","KEEP"
"CORV-G05-04","[C05]","1с бух синхронизация","427","T2","KEEP"
"CORV-G05-04","[C05]","1с бухгалтерия 8.3 синхронизация","412","T2","KEEP"
"CORV-G05-04","[C05]","1с бухгалтерия синхронизация","397","T2","KEEP"
"CORV-G05-04","[C05]","1с зуп настройка синхронизации","384","T2","KEEP"
"CORV-G05-04","[C05]","1с настроить синхронизацию","367","T2","KEEP"
"CORV-G05-04","[C05]","1с розница синхронизация","352","T2","KEEP"
"CORV-G05-04","[C05]","1с сделать синхронизацию","350","T2","KEEP"
"CORV-G05-04","[C05]","1с синхронизация зуп бп","350","T2","KEEP"
"CORV-G05-04","[C05]","1с унф синхронизация","350","T2","KEEP"
"CORV-G05-04","[C05]","настройка синхронизации 1С","350","T2","KEEP"
"CORV-G05-04","[C05]","синхронизация 1с","350","T2","KEEP"
"CORV-G05-04","[C05]","синхронизация 1с 8.3","350","T2","KEEP"
"CORV-G05-04","[C05]","синхронизация 1с ут","350","T2","KEEP"
"CORV-G05-04","[C05]","синхронизация баз 1с","350","T2","KEEP"
"CORV-G05-04","[C05]","синхронизация данных в 1с","350","T2","KEEP"
"CORV-G05-04","[C05]","синхронизация документов 1с","350","T2","KEEP"
"CORV-G05-04","[C05]","синхронизация зуп и 1с бухгалтерия 8.3","350","T2","KEEP"
"CORV-G05-04","[C05]","синхронизация между 1с","350","T2","KEEP"
"CORV-G05-05","[C05]","настройка обмена 1С","450","T2","KEEP"
"CORV-G04-01","[C04]","расчет себестоимости 1С","450","T2","KEEP"
"CORV-G04-01","[C04]","себестоимость в 1с","433","T2","KEEP"
"CORV-G04-02","[C04]","планирование закупок 1С","350","T3","KEEP"
"CORV-G04-03","[C04]","платежный календарь 1С","350","T3","KEEP"
"CORV-G03-04","[C03]","1с 7.7 изменить печатную форму -как сделать -как изменить -как настроить","550","T1","KEEP"
"CORV-G03-04","[C03]","1с 8.3 изменить печатную форму счета","544","T1","KEEP"
"CORV-G03-04","[C03]","1с изменить печатную форму счета","529","T1","KEEP"
"CORV-G03-04","[C03]","1с ут изменить печатную форму","514","T1","KEEP"
"CORV-G03-04","[C03]","доработка печатной формы 1С","496","T1","KEEP"
"CORV-G03-04","[C03]","изменить печатную форму 1с 8.3","484","T1","KEEP"
"CORV-G03-04","[C03]","как в 1с изменить печатную форму документа","469","T1","KEEP"
"CORV-G03-06","[C03]","доработка РМК 1С","350","T3","KEEP"
"CORV-G03-06","[C03]","настройка рмк 1с","333","T3","KEEP"
"CORV-G03-06","[C03]","тс пиот 1с рмк","309","T3","KEEP"
"CORV-G03-05","[C03]","1с 3.0 внешние печатные формы","450","T2","KEEP"
"CORV-G03-05","[C03]","1с 8.3 внешние печатные формы упд","444","T2","KEEP"
"CORV-G03-05","[C03]","1с бп внешняя печатная форма","429","T2","KEEP"
"CORV-G03-05","[C03]","1с бухгалтерия внешние печатные формы","414","T2","KEEP"
"CORV-G03-05","[C03]","1с внешние печатные формы управляемые","399","T2","KEEP"
"CORV-G03-05","[C03]","1с внешняя печатная форма","384","T2","KEEP"
"CORV-G03-05","[C03]","1с внешняя печатная форма макет","369","T2","KEEP"
"CORV-G03-05","[C03]","1с внешняя печатная форма обработки","354","T2","KEEP"
"CORV-G03-05","[C03]","1с внешняя печатная форма счет","350","T2","KEEP"
"CORV-G03-05","[C03]","1с внешняя печатная форма упд","350","T2","KEEP"
"CORV-G03-05","[C03]","1с зуп внешняя печатная форма","350","T2","KEEP"
"CORV-G03-05","[C03]","1с отладка внешней печатной формы","350","T2","KEEP"
"CORV-G03-05","[C03]","1с печать внешней печатной формы","350","T2","KEEP"
"CORV-G03-05","[C03]","1с создание внешней печатной формы","350","T2","KEEP"
"CORV-G03-05","[C03]","1с ут внешняя печатная форма","350","T2","KEEP"
"CORV-G03-05","[C03]","внешние печатные формы 1с 8.3","350","T2","KEEP"
"CORV-G03-05","[C03]","внешняя печатная форма 1с 8.3 управляемое","350","T2","KEEP"
"CORV-G03-05","[C03]","внешняя печатная форма документа 1с","350","T2","KEEP"
"CORV-G03-05","[C03]","параметры внешней печатной формы 1с","350","T2","KEEP"
"CORV-G03-05","[C03]","создание внешних печатных форм 1с 8.3","350","T2","KEEP"
"CORV-G03-02","[C03]","новый отчет 1с","450","T2","KEEP"
"CORV-G03-02","[C03]","создание отчёта 1С","433","T2","KEEP"
"CORV-G03-01","[C03]","1с доработка отчета движение денежных средств","550","T1","KEEP"
"CORV-G03-01","[C03]","1с доработка отчетов","533","T1","KEEP"
"CORV-G03-01","[C03]","доработка отчёта 1С","505","T1","KEEP"
"CORV-G03-01","[C03]","настройка отчета 1с","483","T1","KEEP"
"CORV-G03-03","[C03]","1с 8 печатная форма -как сделать -как изменить -как настроить","550","T1","KEEP"
"CORV-G03-03","[C03]","1с вывести печатную форму","543","T1","KEEP"
"CORV-G03-03","[C03]","1с изменение печатной формы","528","T1","KEEP"
"CORV-G03-03","[C03]","1с макеты печатных форм","513","T1","KEEP"
"CORV-G03-03","[C03]","1с печатная форма акта","498","T1","KEEP"
"CORV-G03-03","[C03]","1с печатная форма договора","483","T1","KEEP"
"CORV-G03-03","[C03]","1с печатная форма недоступна","468","T1","KEEP"
"CORV-G03-03","[C03]","1с печатная форма печать","453","T1","KEEP"
"CORV-G03-03","[C03]","1с печатные формы документов","450","T1","KEEP"
"CORV-G03-03","[C03]","1с программно печатную форму","450","T1","KEEP"
"CORV-G03-03","[C03]","1с унф печатные формы","450","T1","KEEP"
"CORV-G03-03","[C03]","где в 1с печатные формы","450","T1","KEEP"
"CORV-G03-03","[C03]","добавить печатную форму в 1с","450","T1","KEEP"
"CORV-G03-03","[C03]","макет печатной формы в 1с 8.3","450","T1","KEEP"
"CORV-G03-03","[C03]","настройка печатных форм в 1с","450","T1","KEEP"
"CORV-G03-03","[C03]","обработки печатная форма 1с","450","T1","KEEP"
"CORV-G03-03","[C03]","параметры печатных форм 1с","450","T1","KEEP"
"CORV-G03-03","[C03]","печатная форма 1с ут","450","T1","KEEP"
"CORV-G03-03","[C03]","печатная форма отчета 1с","450","T1","KEEP"
"CORV-G03-03","[C03]","печатные формы 1с","450","T1","KEEP"
"CORV-G03-03","[C03]","печатные формы 1с 8.3","450","T1","KEEP"
"CORV-G03-03","[C03]","печатные формы 1с бп","450","T1","KEEP"
"CORV-G03-03","[C03]","печатные формы 1с конфигуратор","450","T1","KEEP"
"CORV-G03-03","[C03]","создание печатной формы 1с","450","T1","KEEP"
"CORV-G03-03","[C03]","страница печатной формы 1с","450","T1","KEEP"
"CORV-G02-04","[C02]","обновление доработанной 1С","450","T2","KEEP"
"CORV-G02-04","[C02]","обновление доработанных конфигураций 1с","431","T2","KEEP"
"CORV-G02-05","[C02]","перенос доработок 1С","350","T3","KEEP"
"CORV-G02-05","[C02]","сохранение доработок при обновлении 1с","333","T3","KEEP"
"CORV-G02-06","[C02]","исправление доработок после обновления 1С","450","T2","KEEP"
"CORV-G02-02","[C02]","1с доработка через расширения","450","T2","KEEP"
"CORV-G02-02","[C02]","доработка конфигурации 1с","442","T2","KEEP"
"CORV-G02-02","[C02]","доработка модулей 1с","427","T2","KEEP"
"CORV-G02-02","[C02]","доработка расширений 1с","412","T2","KEEP"
"CORV-G02-02","[C02]","доработка типовой конфигурации 1с","398","T2","KEEP"
"CORV-G02-02","[C02]","обновление конфигурации 1с с доработками","383","T2","KEEP"
"CORV-G02-02","[C02]","примеры реальных задач по доработки конфигурации 1с","368","T2","KEEP"
"CORV-G02-03","[C02]","доработка базы 1с","450","T2","KEEP"
"CORV-G02-01","[C02]","1с бп доработка","550","T1","KEEP"
"CORV-G02-01","[C02]","1с доработка цены","542","T1","KEEP"
"CORV-G02-01","[C02]","1с ерп доработка","527","T1","KEEP"
"CORV-G02-01","[C02]","1с фреш доработки","512","T1","KEEP"
"CORV-G02-01","[C02]","договор доработка 1с","497","T1","KEEP"
"CORV-G02-01","[C02]","доработка 1С","479","T1","KEEP"
"CORV-G02-01","[C02]","доработка 1с 8.3","467","T1","KEEP"
"CORV-G02-01","[C02]","доработка 1с системы","452","T1","KEEP"
"CORV-G02-01","[C02]","доработка 1с стоимость","450","T1","KEEP"
"CORV-G02-01","[C02]","доработка 1с унф","450","T1","KEEP"
"CORV-G02-01","[C02]","доработка 1с ут","450","T1","KEEP"
"CORV-G02-01","[C02]","доработки 1с бухгалтерии","450","T1","KEEP"
"CORV-G02-01","[C02]","доработки 1с документооборот","450","T1","KEEP"
"CORV-G02-01","[C02]","доработки 1с зуп","450","T1","KEEP"
"CORV-G02-01","[C02]","доработки 1с erp","450","T1","KEEP"
"CORV-G02-01","[C02]","доработки программы 1с","450","T1","KEEP"
"CORV-G02-01","[C02]","настройка 1с доработка 1с","450","T1","KEEP"
"CORV-G02-01","[C02]","обмен 1с доработка","450","T1","KEEP"
"CORV-G02-01","[C02]","примеры доработки 1с","450","T1","KEEP"
"CORV-G02-01","[C02]","разработка доработка 1с","450","T1","KEEP"
"CORV-G02-01","[C02]","тестирование доработок 1с","450","T1","KEEP"
"CORV-G02-01","[C02]","техническое на доработку 1с","450","T1","KEEP"
"CORV-G02-01","[C02]","типовые доработки 1с","450","T1","KEEP"
"CORV-G02-01","[C02]","услуги доработки 1с","450","T1","KEEP"
"CORV-G02-01","[C02]","учет доработки 1с","450","T1","KEEP"
"CORV-G01-02","[C01]","программист 1С Новосибирск","550","T1","KEEP"
"CORV-G01-02","[C01]","программисты 1с новосибирск","532","T1","KEEP"
"CORV-G01-07","[C01]","абонентское обслуживание 1с","450","T2","KEEP"
"CORV-G01-07","[C01]","абонентское сопровождение 1с","432","T2","KEEP"
"CORV-G01-07","[C01]","абонентское сопровождение 1с первый бит","408","T2","KEEP"
"CORV-G01-06","[C01]","обслуживание 1С","450","T2","KEEP"
"CORV-G01-06","[C01]","обслуживание 1с для организации","434","T2","KEEP"
"CORV-G01-06","[C01]","обслуживание и сопровождение 1с","408","T2","KEEP"
"CORV-G01-06","[C01]","сопровождение и обслуживание 1с предприятие","383","T2","KEEP"
"CORV-G01-05","[C01]","асп сопровождение 1с -вакансия -программист работа","550","T1","KEEP"
"CORV-G01-05","[C01]","договор сопровождения 1с","542","T1","KEEP"
"CORV-G01-05","[C01]","информационно технологическое сопровождение 1с","528","T1","KEEP"
"CORV-G01-05","[C01]","информационное сопровождение 1с","512","T1","KEEP"
"CORV-G01-05","[C01]","казначейское сопровождение в 1с","498","T1","KEEP"
"CORV-G01-05","[C01]","оказание услуг по сопровождению 1с","484","T1","KEEP"
"CORV-G01-05","[C01]","окпд 2 сопровождение 1с","468","T1","KEEP"
"CORV-G01-05","[C01]","программное сопровождение 1с","452","T1","KEEP"
"CORV-G01-05","[C01]","сопровождение 1С","450","T1","KEEP"
"CORV-G01-05","[C01]","сопровождение 1с 8","450","T1","KEEP"
"CORV-G01-05","[C01]","сопровождение 1с 8.3","450","T1","KEEP"
"CORV-G01-05","[C01]","сопровождение 1с бухгалтерия","450","T1","KEEP"
"CORV-G01-05","[C01]","сопровождение 1с итс","450","T1","KEEP"
"CORV-G01-05","[C01]","сопровождение 1с окпд","450","T1","KEEP"
"CORV-G01-05","[C01]","сопровождение 1с предприятие","450","T1","KEEP"
"CORV-G01-05","[C01]","сопровождение программных продуктов 1с","450","T1","KEEP"
"CORV-G01-05","[C01]","сопровождение продуктов 1с","450","T1","KEEP"
"CORV-G01-05","[C01]","сопровождение системы 1с","450","T1","KEEP"
"CORV-G01-05","[C01]","сопровождение учета в 1с","450","T1","KEEP"
"CORV-G01-05","[C01]","сопровождения программы 1с","450","T1","KEEP"
"CORV-G01-05","[C01]","техническое сопровождение 1с","450","T1","KEEP"
"CORV-G01-05","[C01]","технологическое сопровождение 1с","450","T1","KEEP"
"CORV-G01-05","[C01]","услуг по сопровождению программного продукта 1с","450","T1","KEEP"
"CORV-G01-05","[C01]","услуги по сопровождению 1с","450","T1","KEEP"
"CORV-G01-05","[C01]","центр сопровождения 1с","450","T1","KEEP"
"CORV-G01-04","[C01]","внедрение 1С","450","T2","KEEP"
"CORV-G01-04","[C01]","внедренцы и программисты 1с","433","T2","KEEP"
"CORV-G01-03","[C01]","настройка 1С","450","T2","KEEP"
"CORV-G01-03","[C01]","программист 1с настройка","432","T2","KEEP"
"CORV-G01-08","[C01]","1с программист без образования","450","T2","KEEP"
"CORV-G01-08","[C01]","ищу 1с программиста для разовой задачи","443","T2","KEEP"
"CORV-G01-08","[C01]","образование программист 1с","427","T2","KEEP"
"CORV-G01-08","[C01]","программист 1с без высшего образования","413","T2","KEEP"
"CORV-G01-08","[C01]","программист 1с высшее образование","398","T2","KEEP"
"CORV-G01-08","[C01]","разовая доработка 1с","382","T2","KEEP"
"CORV-G01-08","[C01]","разовые работы 1С","367","T2","KEEP"
"CORV-G01-01","[C01]","1с программист 2026 -вакансия -обучение -курсы -резюме -работа -как стать","550","T1","KEEP"
"CORV-G01-01","[C01]","вопрос программисту 1с","542","T1","KEEP"
"CORV-G01-01","[C01]","задание программисту 1с","527","T1","KEEP"
"CORV-G01-01","[C01]","задачи 1с программиста","512","T1","KEEP"
"CORV-G01-01","[C01]","найти программиста 1с","497","T1","KEEP"
"CORV-G01-01","[C01]","нужен программист 1с","482","T1","KEEP"
"CORV-G01-01","[C01]","отзыв программисту 1с","467","T1","KEEP"
"CORV-G01-01","[C01]","программа программист 1с","452","T1","KEEP"
"CORV-G01-01","[C01]","программист 1С","450","T1","KEEP"
"CORV-G01-01","[C01]","программист 1с предприятие","450","T1","KEEP"
"CORV-G01-01","[C01]","программист 1с удаленно","450","T1","KEEP"
"CORV-G01-01","[C01]","программист аналитик 1с","450","T1","KEEP"
"CORV-G01-01","[C01]","программист разработчик 1с","450","T1","KEEP"
"CORV-G01-01","[C01]","программисты 1с спб","450","T1","KEEP"
"CORV-G01-01","[C01]","работать программистом 1с","450","T1","KEEP"
"CORV-G01-01","[C01]","сколько зарабатывает программист 1с","450","T1","KEEP"
"CORV-G01-01","[C01]","сколько программистов 1с","450","T1","KEEP"
"CORV-G01-01","[C01]","стал программистом 1с","450","T1","KEEP"
"CORV-G01-01","[C01]","стоимость 1с программисты","450","T1","KEEP"
"CORV-G01-01","[C01]","стоимость часа 1с программиста","450","T1","KEEP"
"CORV-G01-01","[C01]","технические задания программистам 1с","450","T1","KEEP"
"CORV-G01-01","[C01]","услуги программиста 1с","450","T1","KEEP"
"CORV-G01-01","[C01]","часа программиста 1с","450","T1","KEEP"
"CORV-G01-01","[C01]","часа работы программиста 1с","450","T1","KEEP"
"CORV-G01-01","[C01]","часы работы программиста 1с","450","T1","KEEP"
