post_id,field_or_meta,before_state,after_state,changed,allowed,notes
78,_service_general_program_more_label,field_fp02_service_general_program_more_label,field_fp02_service_general_program_more_label,no,yes,
78,_service_general_signs_editorial,field_fp02_service_general_signs_editorial,field_fp02_service_general_signs_editorial,no,yes,
78,_service_general_signs_heading,field_fp02_service_general_signs_heading,field_fp02_service_general_signs_heading,no,yes,
78,_service_general_signs_intro,field_fp02_service_general_signs_intro,field_fp02_service_general_signs_intro,no,yes,
78,_service_general_signs_items,field_fp02_service_general_signs_items,field_fp02_service_general_signs_items,no,yes,
78,_service_general_signs_items_0_text,field_fp02_service_general_signs_item_text,field_fp02_service_general_signs_item_text,no,yes,
78,_service_general_signs_items_1_text,field_fp02_service_general_signs_item_text,field_fp02_service_general_signs_item_text,no,yes,
78,_service_general_signs_items_2_text,field_fp02_service_general_signs_item_text,field_fp02_service_general_signs_item_text,no,yes,
78,_service_general_signs_items_3_text,field_fp02_service_general_signs_item_text,field_fp02_service_general_signs_item_text,no,yes,
78,_service_general_signs_items_4_text,field_fp02_service_general_signs_item_text,field_fp02_service_general_signs_item_text,no,yes,
78,_service_general_specialists_visible,field_fp02_service_general_specialists_visible,field_fp02_service_general_specialists_visible,no,yes,
78,_service_general_stages_heading,field_fp02_service_general_stages_heading,field_fp02_service_general_stages_heading,no,yes,
78,_service_general_stages_items,field_fp02_service_general_stages_items,field_fp02_service_general_stages_items,no,yes,
78,_service_general_stages_items_0_enabled,field_fp02_service_general_stages_item_enabled,field_fp02_service_general_stages_item_enabled,no,yes,
78,_service_general_stages_items_0_text,field_fp02_service_general_stages_item_text,field_fp02_service_general_stages_item_text,no,yes,
78,_service_general_stages_items_0_title,field_fp02_service_general_stages_item_title,field_fp02_service_general_stages_item_title,no,yes,
78,_service_general_stages_items_1_enabled,field_fp02_service_general_stages_item_enabled,field_fp02_service_general_stages_item_enabled,no,yes,
78,_service_general_stages_items_1_text,field_fp02_service_general_stages_item_text,field_fp02_service_general_stages_item_text,no,yes,
78,_service_general_stages_items_1_title,field_fp02_service_general_stages_item_title,field_fp02_service_general_stages_item_title,no,yes,
78,_service_general_stages_items_2_enabled,field_fp02_service_general_stages_item_enabled,field_fp02_service_general_stages_item_enabled,no,yes,
78,_service_general_stages_items_2_text,field_fp02_service_general_stages_item_text,field_fp02_service_general_stages_item_text,no,yes,
78,_service_general_stages_items_2_title,field_fp02_service_general_stages_item_title,field_fp02_service_general_stages_item_title,no,yes,
78,_service_general_stages_items_3_enabled,field_fp02_service_general_stages_item_enabled,field_fp02_service_general_stages_item_enabled,no,yes,
78,_service_general_stages_items_3_text,field_fp02_service_general_stages_item_text,field_fp02_service_general_stages_item_text,no,yes,
78,_service_general_stages_items_3_title,field_fp02_service_general_stages_item_title,field_fp02_service_general_stages_item_title,no,yes,
78,_service_general_stages_lead,field_fp02_service_general_stages_lead,field_fp02_service_general_stages_lead,no,yes,
78,_service_general_stages_support_heading,field_fp02_service_general_stages_support_heading,field_fp02_service_general_stages_support_heading,no,yes,
78,_service_general_stages_support_items,field_fp02_service_general_stages_support_items,field_fp02_service_general_stages_support_items,no,yes,
78,_service_general_stages_support_items_0_text,field_fp02_service_general_stages_support_item_text,field_fp02_service_general_stages_support_item_text,no,yes,
78,_service_general_stages_support_items_1_text,field_fp02_service_general_stages_support_item_text,field_fp02_service_general_stages_support_item_text,no,yes,
78,_service_general_stages_support_items_2_text,field_fp02_service_general_stages_support_item_text,field_fp02_service_general_stages_support_item_text,no,yes,
78,_service_general_stages_support_items_3_text,field_fp02_service_general_stages_support_item_text,field_fp02_service_general_stages_support_item_text,no,yes,
78,_service_general_team_image,field_fp02_service_general_team_image,field_fp02_service_general_team_image,no,yes,
78,_service_layout_override_enabled,field_fp02_service_layout_override_enabled,field_fp02_service_layout_override_enabled,no,yes,
78,_service_layout_variant,field_fp02_service_layout_variant,field_fp02_service_layout_variant,no,yes,
78,_service_short_description,field_fp02_service_short_description,field_fp02_service_short_description,no,yes,
78,_service_show_in_slider,field_fp02_service_show_in_slider,field_fp02_service_show_in_slider,no,yes,
78,_service_show_in_text_list,field_fp02_service_show_in_text_list,field_fp02_service_show_in_text_list,no,yes,
78,_service_show_on_home_gallery,field_fp02_service_show_on_home_gallery,field_fp02_service_show_on_home_gallery,no,yes,
78,content_source,pending,pending,no,yes,
78,created_by_phase,V9-06D.2,V9-06D.2,no,yes,
78,migration_status,not_migrated,not_migrated,no,yes,
78,registry_id,SVC-DEPRESSIYA,SVC-DEPRESSIYA,no,yes,
78,service_child_services_enabled,1,1,no,yes,
78,service_editor_role,service,placeholder,yes,yes,"layout mode meta"
78,service_general_approach_cards,4,4,no,yes,
78,service_general_approach_cards_0_text,"DEMO — первичная оценка симптомов, истории и рисков, чтобы выбрать безопасный старт.","DEMO — первичная оценка симптомов, истории и рисков, чтобы выбрать безопасный старт.",no,yes,
78,service_general_approach_cards_0_title,"диагностика состояния","диагностика состояния",no,yes,
78,service_general_approach_cards_1_text,"DEMO — маршрут терапии и сопровождения формируется под конкретную ситуацию.","DEMO — маршрут терапии и сопровождения формируется под конкретную ситуацию.",no,yes,
78,service_general_approach_cards_1_title,"персональный план","персональный план",no,yes,
78,service_general_approach_cards_2_text,"DEMO — работа с триггерами, навыками саморегуляции и устойчивыми изменениями.","DEMO — работа с триггерами, навыками саморегуляции и устойчивыми изменениями.",no,yes,
78,service_general_approach_cards_2_title,"психотерапевтическая поддержка","психотерапевтическая поддержка",no,yes,
78,service_general_approach_cards_3_text,"DEMO — при согласии пациента семья получает понятные ориентиры, как помогать без давления.","DEMO — при согласии пациента семья получает понятные ориентиры, как помогать без давления.",no,yes,
78,service_general_approach_cards_3_title,"вовлечение близких","вовлечение близких",no,yes,
78,service_general_approach_heading,"Наш подход к работе с запросом «Депрессия»","Наш подход к работе с запросом «Депрессия»",no,yes,
78,service_general_approach_highlight,"DEMO — МЫ СОЧЕТАЕМ ДИАГНОСТИКУ, ТЕРАПИЮ И ПОДДЕРЖКУ СЕМЬИ.","DEMO — МЫ СОЧЕТАЕМ ДИАГНОСТИКУ, ТЕРАПИЮ И ПОДДЕРЖКУ СЕМЬИ.",no,yes,
78,service_general_approach_intro,"DEMO — лечение по направлению «Депрессия» строится как команда: психиатр/нарколог (по показаниям), психотерапия и сопров","DEMO — лечение по направлению «Депрессия» строится как команда: психиатр/нарколог (по показаниям), психотерапия и сопров",no,yes,
78,service_general_approach_more_label,подробнее,подробнее,no,yes,
78,service_general_approach_more_url,http://shpigovsky.test/o-centre/programma-lecheniya/,http://shpigovsky.test/o-centre/programma-lecheniya/,no,yes,
78,service_general_bordered_info_items,3,3,no,yes,
78,service_general_bordered_info_items_0_heading,"ПОЧЕМУ ВАЖНО ОБРАТИТЬСЯ ВОВРЕМЯ","ПОЧЕМУ ВАЖНО ОБРАТИТЬСЯ ВОВРЕМЯ",no,yes,
78,service_general_bordered_info_items_0_text,"DEMO — страница «Депрессия». Раннее обращение помогает снизить риск осложнений и подобрать более мягкий маршрут помощи. ","DEMO — страница «Депрессия». Раннее обращение помогает снизить риск осложнений и подобрать более мягкий маршрут помощи. ",no,yes,
78,service_general_bordered_info_items_1_heading,"МЫ РАБОТАЕМ БЕЗ ОСУЖДЕНИЯ","МЫ РАБОТАЕМ БЕЗ ОСУЖДЕНИЯ",no,yes,
78,service_general_bordered_info_items_1_text,"DEMO — команда центра помогает разобраться в симптомах, триггерах и доступных вариантах терапии. Материал не является ме","DEMO — команда центра помогает разобраться в симптомах, триггерах и доступных вариантах терапии. Материал не является ме",no,yes,
78,service_general_bordered_info_items_2_heading,"ИНДИВИДУАЛЬНЫЙ МАРШРУТ","ИНДИВИДУАЛЬНЫЙ МАРШРУТ",no,yes,
78,service_general_bordered_info_items_2_text,"DEMO — программа подбирается после первичной консультации с учётом состояния, сопутствующих факторов и целей пациента и ","DEMO — программа подбирается после первичной консультации с учётом состояния, сопутствующих факторов и целей пациента и ",no,yes,
78,service_general_clinic_landscape_image,1239,1239,no,yes,
78,service_general_corridor_image,1709,1709,no,yes,
78,service_general_faq_heading,"Нас часто спрашивают","Нас часто спрашивают",no,yes,
78,service_general_faq_items,3,3,no,yes,
78,service_general_faq_items_0_answer,"DEMO — начните с консультации: специалист поможет оценить состояние и предложит безопасный следующий шаг. Это демонстрац","DEMO — начните с консультации: специалист поможет оценить состояние и предложит безопасный следующий шаг. Это демонстрац",no,yes,
78,service_general_faq_items_0_question,"С чего начать, если беспокоит «Депрессия»?","С чего начать, если беспокоит «Депрессия»?",no,yes,
78,service_general_faq_items_1_answer,"DEMO — формат зависит от тяжести состояния и рисков. Решение принимается после оценки специалиста.","DEMO — формат зависит от тяжести состояния и рисков. Решение принимается после оценки специалиста.",no,yes,
78,service_general_faq_items_1_question,"Нужна ли госпитализация?","Нужна ли госпитализация?",no,yes,
78,service_general_faq_items_2_answer,"DEMO — да, близкие могут участвовать в согласованном формате, если это полезно пациенту.","DEMO — да, близкие могут участвовать в согласованном формате, если это полезно пациенту.",no,yes,
78,service_general_faq_items_2_question,"Можно ли приехать с родственником?","Можно ли приехать с родственником?",no,yes,
78,service_general_intro_heading,"Депрессия — состояние, с которым можно работать системно и бережно.","Депрессия — состояние, с которым можно работать системно и бережно.",no,yes,
78,service_general_intro_highlight,"DEMO — ЭТО НЕ ПРИГОВОР. ЭТО СОСТОЯНИЕ, КОТОРОЕ ПОДДАЁТСЯ ЛЕЧЕНИЮ ПРИ ПОДХОДЯЩЕЙ ПОДДЕРЖКЕ.","DEMO — ЭТО НЕ ПРИГОВОР. ЭТО СОСТОЯНИЕ, КОТОРОЕ ПОДДАЁТСЯ ЛЕЧЕНИЮ ПРИ ПОДХОДЯЩЕЙ ПОДДЕРЖКЕ.",no,yes,
78,service_general_program_heading,"Наша программа включает 4 направления","Наша программа включает 4 направления",no,yes,
78,service_general_program_intro_items,2,2,no,yes,
78,service_general_program_intro_items_0_text,"DEMO — на странице «Депрессия» показана структура программы центра. Финальные формулировки согласуются отдельно.","DEMO — на странице «Депрессия» показана структура программы центра. Финальные формулировки согласуются отдельно.",no,yes,
78,service_general_program_intro_items_1_text,"DEMO — направления можно адаптировать под амбулаторный или стационарный формат после консультации.","DEMO — направления можно адаптировать под амбулаторный или стационарный формат после консультации.",no,yes,
78,service_general_program_lead,"DEMO — программа для «Депрессия»: медицинская, психотерапевтическая, социальная и поддержка после основного этапа.","DEMO — программа для «Депрессия»: медицинская, психотерапевтическая, социальная и поддержка после основного этапа.",no,yes,
78,service_general_program_more_label,подробнее,подробнее,no,yes,
78,service_general_signs_editorial,"DEMO — краткий редакционный блок для страницы «Депрессия». Здесь может быть развёрнутый комментарий специалиста о том, к","DEMO — краткий редакционный блок для страницы «Депрессия». Здесь может быть развёрнутый комментарий специалиста о том, к",no,yes,
78,service_general_signs_heading,"Признаки, на которые стоит обратить внимание (Депрессия)","Признаки, на которые стоит обратить внимание (Депрессия)",no,yes,
78,service_general_signs_intro,"DEMO — если вы замечаете у себя или близкого изменения, связанные с запросом «Депрессия», имеет смысл обсудить это со сп","DEMO — если вы замечаете у себя или близкого изменения, связанные с запросом «Депрессия», имеет смысл обсудить это со сп",no,yes,
78,service_general_signs_items,5,5,no,yes,
78,service_general_signs_items_0_text,"DEMO — симптомы стали чаще или заметно сильнее, чем раньше.","DEMO — симптомы стали чаще или заметно сильнее, чем раньше.",no,yes,
78,service_general_signs_items_1_text,"DEMO — состояние мешает работе, учёбе или отношениям.","DEMO — состояние мешает работе, учёбе или отношениям.",no,yes,
78,service_general_signs_items_2_text,"DEMO — появляются мысли о безысходности или избегании привычных дел.","DEMO — появляются мысли о безысходности или избегании привычных дел.",no,yes,
78,service_general_signs_items_3_text,"DEMO — самостоятельные попытки «справиться» не дают устойчивого эффекта.","DEMO — самостоятельные попытки «справиться» не дают устойчивого эффекта.",no,yes,
78,service_general_signs_items_4_text,"DEMO — близкие выражают тревогу и просят обратиться за помощью.","DEMO — близкие выражают тревогу и просят обратиться за помощью.",no,yes,
78,service_general_specialists_visible,0,0,no,yes,
78,service_general_stages_heading,"Что нужно для начала работы с нами","Что нужно для начала работы с нами",no,yes,
78,service_general_stages_items,4,4,no,yes,
78,service_general_stages_items_0_enabled,1,1,no,yes,
78,service_general_stages_items_0_text,"DEMO — расскажите о ситуации коротко; специалист поможет понять следующий шаг.","DEMO — расскажите о ситуации коротко; специалист поможет понять следующий шаг.",no,yes,
78,service_general_stages_items_0_title,"Связаться с нами","Связаться с нами",no,yes,
78,service_general_stages_items_1_enabled,1,1,no,yes,
78,service_general_stages_items_1_text,"DEMO — разбор симптомов, целей и возможных форматов помощи.","DEMO — разбор симптомов, целей и возможных форматов помощи.",no,yes,
78,service_general_stages_items_1_title,Консультация,Консультация,no,yes,
78,service_general_stages_items_2_enabled,1,1,no,yes,
78,service_general_stages_items_2_text,"DEMO — согласование маршрута, длительности и роли команды.","DEMO — согласование маршрута, длительности и роли команды.",no,yes,
78,service_general_stages_items_2_title,"План лечения","План лечения",no,yes,
78,service_general_stages_items_3_enabled,1,1,no,yes,
78,service_general_stages_items_3_text,"DEMO — поддержка на основном этапе и после него.","DEMO — поддержка на основном этапе и после него.",no,yes,
78,service_general_stages_items_3_title,Сопровождение,Сопровождение,no,yes,
78,service_general_stages_lead,"DEMO — мы соблюдаем конфиденциальность и уважение к границам пациента. Ниже — демонстрационные шаги.","DEMO — мы соблюдаем конфиденциальность и уважение к границам пациента. Ниже — демонстрационные шаги.",no,yes,
78,service_general_stages_support_heading,"Поддержка осуществляется на всех этапах:","Поддержка осуществляется на всех этапах:",no,yes,
78,service_general_stages_support_items,4,4,no,yes,
78,service_general_stages_support_items_0_text,"DEMO — первичная ориентация и clarification запроса;","DEMO — первичная ориентация и clarification запроса;",no,yes,
78,service_general_stages_support_items_1_text,"DEMO — медицинская и психотерапевтическая линия по показаниям;","DEMO — медицинская и психотерапевтическая линия по показаниям;",no,yes,
78,service_general_stages_support_items_2_text,"DEMO — работа с семьёй при согласии пациента;","DEMO — работа с семьёй при согласии пациента;",no,yes,
78,service_general_stages_support_items_3_text,"DEMO — рекомендации по поддержанию результата.","DEMO — рекомендации по поддержанию результата.",no,yes,
78,service_general_team_image,1238,1238,no,yes,
78,service_layout_override_enabled,0,0,no,yes,
78,service_layout_variant,service_general,placeholder,yes,yes,"layout mode meta"
78,service_short_description,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliq","Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliq",no,yes,
78,service_show_in_slider,0,0,no,yes,
78,service_show_in_text_list,1,1,no,yes,
78,service_show_on_home_gallery,1,1,no,yes,
78,skeleton_status,object_skeleton,object_skeleton,no,yes,
78,post_status,publish,publish,no,yes,
78,post_name,depressiya,depressiya,no,yes,
78,yoast_noindex,"(unchanged check)",,no,yes,"no intentional noindex change"
