admin_order,field_name,field_label,field_type,field_group,visible_for_service,currently_used_frontend,frontend_block,action,notes
21,service_general_approach_heading,"Заголовок подхода",text,group_fp02_service_general_parity,"yes (role=service)",yes-if-content,,keep/use,
22,service_general_approach_more_label,"Текст ссылки «подробнее»",text,group_fp02_service_general_parity,"yes (role=service)",yes-if-content,,keep/use,
23,service_general_approach_more_url,"URL ссылки «подробнее»",url,group_fp02_service_general_parity,"yes (role=service)",yes-if-content,,keep/use,
24,service_general_approach_highlight,"Выделенный абзац (красная линия)",textarea,group_fp02_service_general_parity,"yes (role=service)",yes-if-content,,keep/use,
25,service_general_approach_intro,"Intro подхода",textarea,group_fp02_service_general_parity,"yes (role=service)",yes-if-content,,keep/use,
26,service_general_team_image,"Изображение команды",image,group_fp02_service_general_parity,"yes (role=service)",yes-if-content,,keep/use,
27,service_general_team_image_alt,"Alt изображения команды",text,group_fp02_service_general_parity,"yes (role=service)",yes-if-content,,keep/use,
28,service_general_approach_cards,"Карточки подхода",repeater,group_fp02_service_general_parity,"yes (role=service)",yes-if-content,,keep/use,
29,service_general_clinic_landscape_notice,"8. Территория клиники",message,group_fp02_service_general_parity,"yes (role=service)",yes-if-content,,keep/use,
30,service_general_clinic_landscape_visible,"Показывать территорию клиники",true_false,group_fp02_service_general_parity,"yes (role=service)",yes-if-content,,keep/use,
31,service_general_clinic_landscape_image,"Изображение территории клиники",image,group_fp02_service_general_parity,"yes (role=service)",yes-if-content,,keep/use,
32,service_general_program_notice,"9. Программа лечения",message,group_fp02_service_general_parity,"yes (role=service)",yes-if-content,,keep/use,
33,service_general_program_visible,"Показывать программу лечения",true_false,group_fp02_service_general_parity,"yes (role=service)",yes-if-content,,keep/use,
34,service_general_program_heading,"Заголовок программы",text,group_fp02_service_general_parity,"yes (role=service)",yes-if-content,,keep/use,
35,service_general_program_more_label,"Текст ссылки «подробнее»",text,group_fp02_service_general_parity,"yes (role=service)",yes-if-content,,keep/use,
36,service_general_program_lead,"Лид программы",textarea,group_fp02_service_general_parity,"yes (role=service)",yes-if-content,,keep/use,
37,service_general_program_intro_items,"Intro программы",repeater,group_fp02_service_general_parity,"yes (role=service)",yes-if-content,,keep/use,
38,service_general_stages_notice,"10. Этапы лечения",message,group_fp02_service_general_parity,"yes (role=service)",yes-if-content,,keep/use,
39,service_general_stages_visible,"Показывать блок этапов",true_false,group_fp02_service_general_parity,"yes (role=service)",yes-if-content,,keep/use,
40,service_general_stages_heading,"Заголовок этапов",text,group_fp02_service_general_parity,"yes (role=service)",yes-if-content,,keep/use,
41,service_general_stages_lead,"Лид этапов",textarea,group_fp02_service_general_parity,"yes (role=service)",yes-if-content,,keep/use,
42,service_general_stages_items,Этапы,repeater,group_fp02_service_general_parity,"yes (role=service)",yes-if-content,,keep/use,
43,service_general_stages_support_heading,"Заголовок поддержки",text,group_fp02_service_general_parity,"yes (role=service)",yes-if-content,,keep/use,
44,service_general_stages_support_items,"Пункты поддержки",repeater,group_fp02_service_general_parity,"yes (role=service)",yes-if-content,,keep/use,
45,service_general_corridor_notice,"11. Коридор / интерьер",message,group_fp02_service_general_parity,"yes (role=service)",yes-if-content,,keep/use,
46,service_general_corridor_visible,"Показывать блок коридора",true_false,group_fp02_service_general_parity,"yes (role=service)",yes-if-content,,keep/use,
47,service_general_corridor_image,"Изображение коридора",image,group_fp02_service_general_parity,"yes (role=service)",yes-if-content,,keep/use,
48,service_general_corridor_image_alt,"Alt изображения коридора",text,group_fp02_service_general_parity,"yes (role=service)",yes-if-content,,keep/use,
49,service_general_specialists_notice,"12. Специалисты",message,group_fp02_service_general_parity,"yes (role=service)",yes-if-content,,keep/use,
50,service_general_specialists_visible,"Показывать специалистов",true_false,group_fp02_service_general_parity,"yes (role=service)",yes-if-content,,keep/use,
51,service_general_founder_quote_notice,"13. Слово основателя",message,group_fp02_service_general_parity,"yes (role=service)",yes-if-content,,keep/use,
52,service_general_founder_quote_visible,"Показывать слово основателя",true_false,group_fp02_service_general_parity,"yes (role=service)",yes-if-content,,keep/use,
53,service_general_comfort_notice,"14. Условия центра",message,group_fp02_service_general_parity,"yes (role=service)",yes-if-content,,keep/use,
54,service_general_comfort_visible,"Показывать условия центра",true_false,group_fp02_service_general_parity,"yes (role=service)",yes-if-content,,keep/use,
55,service_general_reviews_notice,"15. Отзывы",message,group_fp02_service_general_parity,"yes (role=service)",yes-if-content,,keep/use,
56,service_general_reviews_visible,"Показывать отзывы",true_false,group_fp02_service_general_parity,"yes (role=service)",yes-if-content,,keep/use,
57,service_general_children_notice,"16. Дочерние услуги",message,group_fp02_service_general_parity,"yes (role=service)",yes-if-content,,keep/use,
58,service_general_children_visible,"Показывать плитки дочерних услуг",true_false,group_fp02_service_general_parity,"yes (role=service)",yes-if-content,,keep/use,
59,service_general_faq_notice,"17. FAQ",message,group_fp02_service_general_parity,"yes (role=service)",yes-if-content,,keep/use,
60,service_general_faq_visible,"Показывать FAQ",true_false,group_fp02_service_general_parity,"yes (role=service)",yes-if-content,,keep/use,
61,service_general_faq_heading,"Заголовок FAQ",text,group_fp02_service_general_parity,"yes (role=service)",yes-if-content,,keep/use,
62,service_general_faq_items,"Вопросы и ответы",repeater,group_fp02_service_general_parity,"yes (role=service)",yes-if-content,,keep/use,
63,service_general_final_form_notice,"18. Финальная форма",message,group_fp02_service_general_parity,"yes (role=service)",yes-if-content,,keep/use,
64,service_general_final_form_visible,"Показывать финальную форму",true_false,group_fp02_service_general_parity,"yes (role=service)",yes-if-content,,keep/use,
