post_id,title,slug,parent_id,parent_title,depth,children_count,current_editor_role,current_layout_variant,override_enabled,current_effective_stack,target_editor_role,target_layout_variant,target_override,child_block_expected,migration_action,risk,notes
1048,"Лечение опиумной зависимости",lechenie-opiumnoy-zavisimosti,73,Зависимости,1,0,placeholder,placeholder,0,alcohol-special,service,alcohol_special,0,no,set_role_layout_override_child_defaults,low,"Former editor/technical placeholder → service + alcohol_special"
79,ПТСР,ptsr,77,"Психическое здоровье",1,0,placeholder,placeholder,0,alcohol-special,service,alcohol_special,0,no,set_role_layout_override_child_defaults,low,"Former editor/technical placeholder → service + alcohol_special"
80,"Эмоциональное выгорание",emotsionalnoe-vygoranie,77,"Психическое здоровье",1,0,placeholder,placeholder,0,alcohol-special,service,alcohol_special,0,no,set_role_layout_override_child_defaults,low,"Former editor/technical placeholder → service + alcohol_special"
81,"Тревожные расстройства",trevozhnye-rasstroystva,77,"Психическое здоровье",1,0,placeholder,placeholder,0,alcohol-special,service,alcohol_special,0,no,set_role_layout_override_child_defaults,low,"Former editor/technical placeholder → service + alcohol_special"
82,"Расстройства сна",rasstroystva-sna,77,"Психическое здоровье",1,0,placeholder,placeholder,0,alcohol-special,service,alcohol_special,0,no,set_role_layout_override_child_defaults,low,"Former editor/technical placeholder → service + alcohol_special"
83,Травма,travma,77,"Психическое здоровье",1,0,placeholder,placeholder,0,alcohol-special,service,alcohol_special,0,no,set_role_layout_override_child_defaults,low,"Former editor/technical placeholder → service + alcohol_special"
84,"Расстройства пищевого поведения",rasstroystva-pischevogo-povedeniya,0,,0,3,section,subdivision,0,subdivision,section,subdivision,0,no,set_role_layout_override_child_defaults,low,"Confirmed subdivision root"
1049,"Хроническая усталость",hronicheskaya-ustalost,77,"Психическое здоровье",1,0,placeholder,placeholder,0,alcohol-special,service,alcohol_special,0,no,set_role_layout_override_child_defaults,low,"Former editor/technical placeholder → service + alcohol_special"
1050,Стресс,stress,77,"Психическое здоровье",1,0,placeholder,placeholder,0,alcohol-special,service,alcohol_special,0,no,set_role_layout_override_child_defaults,low,"Former editor/technical placeholder → service + alcohol_special"
1051,Нарциссизм,nartsissizm,77,"Психическое здоровье",1,0,placeholder,placeholder,0,alcohol-special,service,alcohol_special,0,no,set_role_layout_override_child_defaults,low,"Former editor/technical placeholder → service + alcohol_special"
85,Анорексия,anoreksiya,84,"Расстройства пищевого поведения",1,0,placeholder,placeholder,0,alcohol-special,service,alcohol_special,0,no,set_role_layout_override_child_defaults,low,"Former editor/technical placeholder → service + alcohol_special"
86,Булимия,buliniya,84,"Расстройства пищевого поведения",1,0,placeholder,placeholder,0,alcohol-special,service,alcohol_special,0,no,set_role_layout_override_child_defaults,low,"Former editor/technical placeholder → service + alcohol_special"
87,"Компульсивное переедание",kompulsivnoe-pereedanie,84,"Расстройства пищевого поведения",1,0,placeholder,placeholder,0,alcohol-special,service,alcohol_special,0,no,set_role_layout_override_child_defaults,low,"Former editor/technical placeholder → service + alcohol_special"
