path,additions,deletions
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/evidence/v9-06e52-regression-validation.csv,16,0
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/evidence/v9-06e52-run-summary.json,12,0
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/evidence/v9-06e52-source-runtime-sync.csv,7,0
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/evidence/v9-06e53-admin-ux-audit.csv,11,0
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/evidence/v9-06e53-admin-visual-validation.csv,10,0
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/evidence/v9-06e53-backup-path.txt,1,0
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/evidence/v9-06e53-freeze-admin-validation.csv,10,0
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/evidence/v9-06e53-freeze-backup-manifest.csv,12,0
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/evidence/v9-06e53-freeze-frontend-regression.csv,13,0
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/evidence/v9-06e53-freeze-source-runtime-sync.csv,11,0
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/evidence/v9-06e53-frontend-regression.csv,15,0
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/evidence/v9-06e53-source-runtime-sync.csv,8,0
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/WORDPRESS/SOURCE-AUTHORITY.md,12,0
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/WORDPRESS/acf-json/group_fp02_page_generic_content.json,76,0
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/WORDPRESS/acf-json/group_fp02_page_layout_mode.json,1,1
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/WORDPRESS/plugins/shpigovsky-core/src/Admin/EditorRestrictions.php,27,0
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/WORDPRESS/plugins/shpigovsky-core/src/Fields/FieldGroups.php,59,1
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/WORDPRESS/theme/shpigovsky/assets/css/admin-fp02-acf.css,149,0
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/WORDPRESS/theme/shpigovsky/assets/css/admin-home-acf.css,5,87
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/WORDPRESS/theme/shpigovsky/inc/admin-editor.php,64,16
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/WORDPRESS/theme/shpigovsky/page-templates/generic.php,1,0
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/WORDPRESS/theme/shpigovsky/template-parts/generic/content-page.php,37,11
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/WORDPRESS/validation/v9-06e52-generic-pages-demo-acf-sot-placeholder/_e52_audit_inventory.php,294,0
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/WORDPRESS/validation/v9-06e52-generic-pages-demo-acf-sot-placeholder/_e52_backup.ps1,91,0
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/WORDPRESS/validation/v9-06e52-generic-pages-demo-acf-sot-placeholder/_e52_backup_exports.php,87,0
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/WORDPRESS/validation/v9-06e52-generic-pages-demo-acf-sot-placeholder/_e52_debug_meta.php,35,0
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/WORDPRESS/validation/v9-06e52-generic-pages-demo-acf-sot-placeholder/_e52_empty_hide_probe.php,84,0
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/WORDPRESS/validation/v9-06e52-generic-pages-demo-acf-sot-placeholder/_e52_fix_seed_revalidate.php,322,0
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/WORDPRESS/validation/v9-06e52-generic-pages-demo-acf-sot-placeholder/_e52_sync_seed_validate.php,491,0
