post_id,title,field_name,field_type,current_value_state,frontend_depends_on_template_fallback,seed_required,proposed_seed_source,notes
77,"Психическое здоровье",section_founder_quote_visible,true_false,meaningful,no,no,preserve,
77,"Психическое здоровье",section_comfort_visible,true_false,meaningful,no,no,preserve,
77,"Психическое здоровье",section_reviews_visible,true_false,meaningful,no,no,preserve,
77,"Психическое здоровье",section_faq_visible,true_false,meaningful,no,no,preserve,
77,"Психическое здоровье",section_faq_heading,text,meaningful,no,no,preserve,
77,"Психическое здоровье",section_final_form_visible,true_false,meaningful,no,no,preserve,
84,"Расстройства пищевого поведения",section_nav_visible,true_false,meaningful,no,no,preserve,
84,"Расстройства пищевого поведения",section_dependencies_visible,true_false,meaningful,no,no,preserve,
84,"Расстройства пищевого поведения",section_dependencies_heading,text,demo,no,yes,neutral_demo,
84,"Расстройства пищевого поведения",section_dependencies_lead,textarea,demo,no,no,preserve,
84,"Расстройства пищевого поведения",section_dependencies_footer,textarea,demo,no,no,preserve,
84,"Расстройства пищевого поведения",section_nature_visible,true_false,meaningful,no,no,preserve,
84,"Расстройства пищевого поведения",section_nature_heading,text,demo,no,yes,neutral_demo,
84,"Расстройства пищевого поведения",section_nature_lead,textarea,demo,no,no,preserve,
84,"Расстройства пищевого поведения",section_nature_text_blocks,repeater,empty,yes,yes,neutral_demo,
84,"Расстройства пищевого поведения",section_nature_cards,repeater,empty,yes,yes,neutral_demo,
84,"Расстройства пищевого поведения",section_program_visible,true_false,meaningful,no,no,preserve,
84,"Расстройства пищевого поведения",section_program_heading,text,meaningful,no,no,preserve,
84,"Расстройства пищевого поведения",section_program_more_label,text,meaningful,no,no,preserve,
84,"Расстройства пищевого поведения",section_program_lead,textarea,demo,no,no,preserve,
84,"Расстройства пищевого поведения",section_program_intro_items,repeater,empty,yes,yes,neutral_demo,
84,"Расстройства пищевого поведения",section_stages_visible,true_false,meaningful,no,no,preserve,
84,"Расстройства пищевого поведения",section_stages_heading,text,meaningful,no,no,preserve,
84,"Расстройства пищевого поведения",section_stages_lead,textarea,meaningful,no,no,preserve,
84,"Расстройства пищевого поведения",section_stages_items,repeater,empty,yes,yes,neutral_demo,
84,"Расстройства пищевого поведения",section_stages_support_heading,text,meaningful,no,no,preserve,
84,"Расстройства пищевого поведения",section_stages_support_items,repeater,empty,yes,yes,neutral_demo,
84,"Расстройства пищевого поведения",section_approach_visible,true_false,meaningful,no,no,preserve,
84,"Расстройства пищевого поведения",section_approach_heading,text,demo,no,yes,neutral_demo,
84,"Расстройства пищевого поведения",section_approach_more_label,text,meaningful,no,no,preserve,
84,"Расстройства пищевого поведения",section_approach_more_url,url,meaningful,no,no,preserve,
84,"Расстройства пищевого поведения",section_approach_highlight,textarea,meaningful,no,no,preserve,
84,"Расстройства пищевого поведения",section_approach_intro,textarea,demo,no,yes,neutral_demo,
84,"Расстройства пищевого поведения",section_corridor_image,image,meaningful,no,no,preserve,
84,"Расстройства пищевого поведения",section_corridor_image_alt,text,meaningful,no,no,preserve,
84,"Расстройства пищевого поведения",section_team_image,image,meaningful,no,no,preserve,
84,"Расстройства пищевого поведения",section_team_image_alt,text,meaningful,no,no,preserve,
84,"Расстройства пищевого поведения",section_approach_cards,repeater,empty,yes,yes,neutral_demo,
84,"Расстройства пищевого поведения",section_clinic_landscape_visible,true_false,meaningful,no,no,preserve,
84,"Расстройства пищевого поведения",section_clinic_landscape_image,image,meaningful,no,no,preserve,
84,"Расстройства пищевого поведения",section_specialists_visible,true_false,meaningful,no,no,preserve,
84,"Расстройства пищевого поведения",section_founder_quote_visible,true_false,meaningful,no,no,preserve,
84,"Расстройства пищевого поведения",section_comfort_visible,true_false,meaningful,no,no,preserve,
84,"Расстройства пищевого поведения",section_reviews_visible,true_false,meaningful,no,no,preserve,
84,"Расстройства пищевого поведения",section_faq_visible,true_false,meaningful,no,no,preserve,
84,"Расстройства пищевого поведения",section_faq_heading,text,meaningful,no,no,preserve,
84,"Расстройства пищевого поведения",section_final_form_visible,true_false,meaningful,no,no,preserve,
