"negative_id","negative","level","scope","final_state","exact_action"
"NEG-0022","курс","global","ALL","SAFE — PROVEN","RETAIN negative «курс» at global/ALL"
"NEG-0023","урок","global","ALL","SAFE — PROVEN","RETAIN negative «урок» at global/ALL"
"NEG-0024","уроки","global","ALL","SAFE — PROVEN","RETAIN negative «уроки» at global/ALL"
"NEG-0025","учебник","global","ALL","SAFE — PROVEN","RETAIN negative «учебник» at global/ALL"
"NEG-0026","учиться","global","ALL","SAFE — PROVEN","RETAIN negative «учиться» at global/ALL"
"NEG-0027","профессия","global","ALL","SAFE — PROVEN","RETAIN negative «профессия» at global/ALL"
"NEG-0028","экзамен","global","ALL","SAFE — PROVEN","RETAIN negative «экзамен» at global/ALL"
"NEG-0029","диплом","global","ALL","SAFE — PROVEN","RETAIN negative «диплом» at global/ALL"
"NEG-0030","курсовая","global","ALL","SAFE — PROVEN","RETAIN negative «курсовая» at global/ALL"
"NEG-0031","реферат","global","ALL","SAFE — PROVEN","RETAIN negative «реферат» at global/ALL"
"NEG-0032","студент","global","ALL","SAFE — PROVEN","RETAIN negative «студент» at global/ALL"
"NEG-0033","сертификация специалиста","global","ALL","SAFE — PROVEN","RETAIN negative «сертификация специалиста» at global/ALL"
"NEG-0034","школа","global","ALL","SAFE — PROVEN","RETAIN negative «школа» at global/ALL"
"NEG-0035","с нуля","global","ALL","SAFE — PROVEN","RETAIN negative «с нуля» at global/ALL"
"NEG-0036","скачать","global","ALL","SAFE — PROVEN","RETAIN negative «скачать» at global/ALL"
"NEG-0037","торрент","global","ALL","SAFE — PROVEN","RETAIN negative «торрент» at global/ALL"
"NEG-0038","crack","global","ALL","SAFE — PROVEN","RETAIN negative «crack» at global/ALL"
"NEG-0039","кряк","global","ALL","SAFE — PROVEN","RETAIN negative «кряк» at global/ALL"
"NEG-0040","ключ активации","global","ALL","SAFE — PROVEN","RETAIN negative «ключ активации» at global/ALL"
"NEG-0041","бесплатно скачать","global","ALL","SAFE — PROVEN","RETAIN negative «бесплатно скачать» at global/ALL"
"NEG-0042","установка платформы бесплатно","global","ALL","SAFE — PROVEN","RETAIN negative «установка платформы бесплатно» at global/ALL"
"NEG-0043","инструкция","global","ALL","SAFE — PROVEN","RETAIN negative «инструкция» at global/ALL"
"NEG-0044","руководство","global","ALL","SAFE — PROVEN","RETAIN negative «руководство» at global/ALL"
"NEG-0045","форум","global","ALL","SAFE — PROVEN","RETAIN negative «форум» at global/ALL"
"NEG-0046","pdf","global","ALL","SAFE — PROVEN","RETAIN negative «pdf» at global/ALL"
"NEG-0047","книга","global","ALL","SAFE — PROVEN","RETAIN negative «книга» at global/ALL"
"NEG-0048","своими руками","global","ALL","SAFE — PROVEN","RETAIN negative «своими руками» at global/ALL"
"NEG-0049","самостоятельно","global","ALL","SAFE — PROVEN","RETAIN negative «самостоятельно» at global/ALL"
"NEG-0050","что такое","global","ALL","SAFE — PROVEN","RETAIN negative «что такое» at global/ALL"
"NEG-0051","как стать","global","ALL","SAFE — PROVEN","RETAIN negative «как стать» at global/ALL"
"NEG-0052","документация","global","ALL","SAFE — PROVEN","RETAIN negative «документация» at global/ALL"
"NEG-0053","маркировка","direction","CORV-C01","SAFE — PROVEN","RETAIN negative «маркировка» at direction/CORV-C01"
"NEG-0054","честный знак","direction","CORV-C01","SAFE — PROVEN","RETAIN negative «честный знак» at direction/CORV-C01"
"NEG-0055","битрикс","direction","CORV-C01","SAFE — PROVEN","RETAIN negative «битрикс» at direction/CORV-C01"
"NEG-0056","не работает","direction","CORV-C01","REMOVED","REMOVED: «не работает» deleted from direction/CORV-C01 — Regression REG-02: Exchange-failure group must not minus core symptom «не работает»"
"NEG-0057","ошибка","direction","CORV-C01","SAFE — PROVEN","RETAIN negative «ошибка» at direction/CORV-C01"
"NEG-0058","вакансия программист","direction","CORV-C01","SAFE — PROVEN","RETAIN negative «вакансия программист» at direction/CORV-C01"
"NEG-0059","отчет","direction","CORV-C01","SAFE — PROVEN","RETAIN negative «отчет» at direction/CORV-C01"
"NEG-0060","печатная форма","direction","CORV-C01","REMOVED","REMOVED: «печатная форма» deleted from direction/CORV-C01 — Regression REG-03: External print-form group must not minus «печатная форма»"
"NEG-0061","рмк","direction","CORV-C01","SAFE — PROVEN","RETAIN negative «рмк» at direction/CORV-C01"
"NEG-0062","тс пиот","direction","CORV-C01","SAFE — PROVEN","RETAIN negative «тс пиот» at direction/CORV-C01"
"NEG-0063","интеграция сайт","direction","CORV-C01","SAFE — PROVEN","RETAIN negative «интеграция сайт» at direction/CORV-C01"
"NEG-0064","синхронизация","direction","CORV-C01","REMOVED","REMOVED: «синхронизация» deleted from direction/CORV-C01 — Regression REG-04: Cash-register sync group must not minus stem «синхрон»"
"NEG-0065","маркировка","direction","CORV-C02","SAFE — PROVEN","RETAIN negative «маркировка» at direction/CORV-C02"
"NEG-0066","честный знак","direction","CORV-C02","SAFE — PROVEN","RETAIN negative «честный знак» at direction/CORV-C02"
"NEG-0067","отчет","direction","CORV-C02","SAFE — PROVEN","RETAIN negative «отчет» at direction/CORV-C02"
"NEG-0068","печатная форма","direction","CORV-C02","REMOVED","REMOVED: «печатная форма» deleted from direction/CORV-C02 — Regression REG-03: External print-form group must not minus «печатная форма»"
"NEG-0069","рмк","direction","CORV-C02","SAFE — PROVEN","RETAIN negative «рмк» at direction/CORV-C02"
"NEG-0070","не работает","direction","CORV-C02","REMOVED","REMOVED: «не работает» deleted from direction/CORV-C02 — Regression REG-02: Exchange-failure group must not minus core symptom «не работает»"
"NEG-0071","вакансия","direction","CORV-C02","SAFE — PROVEN","RETAIN negative «вакансия» at direction/CORV-C02"
"NEG-0072","курсы","direction","CORV-C02","SAFE — PROVEN","RETAIN negative «курсы» at direction/CORV-C02"
"NEG-0073","битрикс","direction","CORV-C02","SAFE — PROVEN","RETAIN negative «битрикс» at direction/CORV-C02"
"NEG-0074","интеграция","direction","CORV-C02","SAFE — PROVEN","RETAIN negative «интеграция» at direction/CORV-C02"
"NEG-0075","синхронизация","direction","CORV-C02","REMOVED","REMOVED: «синхронизация» deleted from direction/CORV-C02 — Regression REG-04: Cash-register sync group must not minus stem «синхрон»"
"NEG-0076","маркировка","direction","CORV-C03","SAFE — PROVEN","RETAIN negative «маркировка» at direction/CORV-C03"
"NEG-0077","честный знак","direction","CORV-C03","SAFE — PROVEN","RETAIN negative «честный знак» at direction/CORV-C03"
"NEG-0078","программист вакансия","direction","CORV-C03","SAFE — PROVEN","RETAIN negative «программист вакансия» at direction/CORV-C03"
"NEG-0079","битрикс","direction","CORV-C03","SAFE — PROVEN","RETAIN negative «битрикс» at direction/CORV-C03"
"NEG-0080","не работает","direction","CORV-C03","REMOVED","REMOVED: «не работает» deleted from direction/CORV-C03 — Regression REG-02: Exchange-failure group must not minus core symptom «не работает»"
"NEG-0081","доработка базы","direction","CORV-C03","SAFE — PROVEN","RETAIN negative «доработка базы» at direction/CORV-C03"
"NEG-0082","сопровождение","direction","CORV-C03","SAFE — PROVEN","RETAIN negative «сопровождение» at direction/CORV-C03"
"NEG-0083","интеграция","direction","CORV-C03","SAFE — PROVEN","RETAIN negative «интеграция» at direction/CORV-C03"
"NEG-0084","маркировка","direction","CORV-C04","SAFE — PROVEN","RETAIN negative «маркировка» at direction/CORV-C04"
"NEG-0085","честный знак","direction","CORV-C04","SAFE — PROVEN","RETAIN negative «честный знак» at direction/CORV-C04"
"NEG-0086","вакансия","direction","CORV-C04","SAFE — PROVEN","RETAIN negative «вакансия» at direction/CORV-C04"
"NEG-0087","курсы","direction","CORV-C04","SAFE — PROVEN","RETAIN negative «курсы» at direction/CORV-C04"
"NEG-0088","битрикс","direction","CORV-C04","SAFE — PROVEN","RETAIN negative «битрикс» at direction/CORV-C04"
"NEG-0089","программист","direction","CORV-C04","SAFE — PROVEN","RETAIN negative «программист» at direction/CORV-C04"
"NEG-0090","доработка","direction","CORV-C04","SAFE — PROVEN","RETAIN negative «доработка» at direction/CORV-C04"
"NEG-0091","не работает","direction","CORV-C04","REMOVED","REMOVED: «не работает» deleted from direction/CORV-C04 — Regression REG-02: Exchange-failure group must not minus core symptom «не работает»"
"NEG-0092","маркировка","direction","CORV-C05","SAFE — PROVEN","RETAIN negative «маркировка» at direction/CORV-C05"
"NEG-0093","честный знак","direction","CORV-C05","REMOVED","REMOVED: «честный знак» deleted from direction/CORV-C05 — Removed: «честный знак» blocks «настройка обмена суз 1с честный знак» in CORV-G05-05."
"NEG-0094","вакансия программист","direction","CORV-C05","SAFE — PROVEN","RETAIN negative «вакансия программист» at direction/CORV-C05"
"NEG-0095","доработка отчета","direction","CORV-C05","SAFE — PROVEN","RETAIN negative «доработка отчета» at direction/CORV-C05"
"NEG-0096","не работает","direction","CORV-C05","REMOVED","REMOVED: «не работает» deleted from direction/CORV-C05 — Regression REG-02: Exchange-failure group must not minus core symptom «не работает»"
"NEG-0097","сопровождение","direction","CORV-C05","SAFE — PROVEN","RETAIN negative «сопровождение» at direction/CORV-C05"
"NEG-0098","программист услуги","direction","CORV-C05","SAFE — PROVEN","RETAIN negative «программист услуги» at direction/CORV-C05"
"NEG-0099","программист вакансия","direction","CORV-C06","SAFE — PROVEN","RETAIN negative «программист вакансия» at direction/CORV-C06"
"NEG-0100","доработка 1с","direction","CORV-C06","SAFE — PROVEN","RETAIN negative «доработка 1с» at direction/CORV-C06"
"NEG-0101","сопровождение абонент","direction","CORV-C06","SAFE — PROVEN","RETAIN negative «сопровождение абонент» at direction/CORV-C06"
"NEG-0102","битрикс","direction","CORV-C06","SAFE — PROVEN","RETAIN negative «битрикс» at direction/CORV-C06"
"NEG-0103","интеграция сайт","direction","CORV-C06","SAFE — PROVEN","RETAIN negative «интеграция сайт» at direction/CORV-C06"
"NEG-0104","отчет","direction","CORV-C06","SAFE — PROVEN","RETAIN negative «отчет» at direction/CORV-C06"
"NEG-0105","печатная форма","direction","CORV-C06","REMOVED","REMOVED: «печатная форма» deleted from direction/CORV-C06 — Regression REG-03: External print-form group must not minus «печатная форма»"
"NEG-0106","не работает 1с","direction","CORV-C06","SAFE — PROVEN","RETAIN negative «не работает 1с» at direction/CORV-C06"
"NEG-0107","тс пиот","direction","CORV-C06","SAFE — PROVEN","RETAIN negative «тс пиот» at direction/CORV-C06"
"NEG-0108","как настроить","direction","CORV-C06","SAFE — PROVEN","RETAIN negative «как настроить» at direction/CORV-C06"
"NEG-0109","как сделать","direction","CORV-C06","SAFE — PROVEN","RETAIN negative «как сделать» at direction/CORV-C06"
"NEG-0110","подлежит маркировке","direction","CORV-C06","SAFE — PROVEN","RETAIN negative «подлежит маркировке» at direction/CORV-C06"
"NEG-0111","сроки маркировки","direction","CORV-C06","SAFE — PROVEN","RETAIN negative «сроки маркировки» at direction/CORV-C06"
"NEG-0112","список маркируемых","direction","CORV-C06","SAFE — PROVEN","RETAIN negative «список маркируемых» at direction/CORV-C06"
"NEG-0113","вакансия","direction","CORV-C07","SAFE — PROVEN","RETAIN negative «вакансия» at direction/CORV-C07"
"NEG-0114","работа программист","direction","CORV-C07","SAFE — PROVEN","RETAIN negative «работа программист» at direction/CORV-C07"
"NEG-0115","курсы","direction","CORV-C07","SAFE — PROVEN","RETAIN negative «курсы» at direction/CORV-C07"
"NEG-0116","маркировка","direction","CORV-C07","SAFE — PROVEN","RETAIN negative «маркировка» at direction/CORV-C07"
"NEG-0117","битрикс","direction","CORV-C07","SAFE — PROVEN","RETAIN negative «битрикс» at direction/CORV-C07"
"NEG-0118","доработка","direction","CORV-C07","SAFE — PROVEN","RETAIN negative «доработка» at direction/CORV-C07"
"NEG-0119","внедрение","direction","CORV-C07","SAFE — PROVEN","RETAIN negative «внедрение» at direction/CORV-C07"
"NEG-0120","сопровождение","direction","CORV-C07","SAFE — PROVEN","RETAIN negative «сопровождение» at direction/CORV-C07"
"NEG-0121","как настроить","direction","CORV-C07","SAFE — PROVEN","RETAIN negative «как настроить» at direction/CORV-C07"
"NEG-0122","инструкция","direction","CORV-C07","SAFE — PROVEN","RETAIN negative «инструкция» at direction/CORV-C07"
"NEG-0123","вакансия","direction","CORV-C08","SAFE — PROVEN","RETAIN negative «вакансия» at direction/CORV-C08"
"NEG-0124","курсы","direction","CORV-C08","SAFE — PROVEN","RETAIN negative «курсы» at direction/CORV-C08"
"NEG-0125","маркировка пива","direction","CORV-C08","SAFE — PROVEN","RETAIN negative «маркировка пива» at direction/CORV-C08"
"NEG-0126","маркировка воды","direction","CORV-C08","SAFE — PROVEN","RETAIN negative «маркировка воды» at direction/CORV-C08"
"NEG-0127","лекарства маркировка","direction","CORV-C08","SAFE — PROVEN","RETAIN negative «лекарства маркировка» at direction/CORV-C08"
"NEG-0128","автозапчасти маркировка","direction","CORV-C08","SAFE — PROVEN","RETAIN negative «автозапчасти маркировка» at direction/CORV-C08"
"NEG-0129","программист","direction","CORV-C08","SAFE — PROVEN","RETAIN negative «программист» at direction/CORV-C08"
"NEG-0130","доработка","direction","CORV-C08","SAFE — PROVEN","RETAIN negative «доработка» at direction/CORV-C08"
"NEG-0131","интеграц","group_cross","CORV-G08-01","SAFE — PROVEN","RETAIN negative «интеграц» at group_cross/CORV-G08-01"
"NEG-0132","маркировка","group_cross","CORV-G08-01","SAFE — PROVEN","RETAIN negative «маркировка» at group_cross/CORV-G08-01"
"NEG-0133","настрой","group_cross","CORV-G08-02","SAFE — PROVEN","RETAIN negative «настрой» at group_cross/CORV-G08-02"
"NEG-0134","маркировка","group_cross","CORV-G08-02","SAFE — PROVEN","RETAIN negative «маркировка» at group_cross/CORV-G08-02"
"NEG-0135","пиот настрой","group_cross","CORV-G08-02","SAFE — PROVEN","RETAIN negative «пиот настрой» at group_cross/CORV-G08-02"
"NEG-0136","вода","group_cross","CORV-G06-05","SAFE — PROVEN","RETAIN negative «вода» at group_cross/CORV-G06-05"
"NEG-0137","лекарств","group_cross","CORV-G06-05","SAFE — PROVEN","RETAIN negative «лекарств» at group_cross/CORV-G06-05"
"NEG-0138","косметик","group_cross","CORV-G06-05","SAFE — PROVEN","RETAIN negative «косметик» at group_cross/CORV-G06-05"
"NEG-0139","автозапчаст","group_cross","CORV-G06-05","SAFE — PROVEN","RETAIN negative «автозапчаст» at group_cross/CORV-G06-05"
"NEG-0140","масл","group_cross","CORV-G06-05","SAFE — PROVEN","RETAIN negative «масл» at group_cross/CORV-G06-05"
"NEG-0141","алкогол","group_cross","CORV-G06-05","SAFE — PROVEN","RETAIN negative «алкогол» at group_cross/CORV-G06-05"
"NEG-0142","пив","group_cross","CORV-G06-06","SAFE — PROVEN","RETAIN negative «пив» at group_cross/CORV-G06-06"
"NEG-0143","алкогол","group_cross","CORV-G06-06","SAFE — PROVEN","RETAIN negative «алкогол» at group_cross/CORV-G06-06"
"NEG-0144","лекарств","group_cross","CORV-G06-06","SAFE — PROVEN","RETAIN negative «лекарств» at group_cross/CORV-G06-06"
"NEG-0145","косметик","group_cross","CORV-G06-06","SAFE — PROVEN","RETAIN negative «косметик» at group_cross/CORV-G06-06"
"NEG-0146","автозапчаст","group_cross","CORV-G06-06","SAFE — PROVEN","RETAIN negative «автозапчаст» at group_cross/CORV-G06-06"
"NEG-0147","пив","group_cross","CORV-G06-07","SAFE — PROVEN","RETAIN negative «пив» at group_cross/CORV-G06-07"
"NEG-0148","вода","group_cross","CORV-G06-07","SAFE — PROVEN","RETAIN negative «вода» at group_cross/CORV-G06-07"
"NEG-0149","лекарств","group_cross","CORV-G06-07","SAFE — PROVEN","RETAIN negative «лекарств» at group_cross/CORV-G06-07"
"NEG-0150","автозапчаст","group_cross","CORV-G06-07","SAFE — PROVEN","RETAIN negative «автозапчаст» at group_cross/CORV-G06-07"
"NEG-0151","масл","group_cross","CORV-G06-07","SAFE — PROVEN","RETAIN negative «масл» at group_cross/CORV-G06-07"
"NEG-0152","пив","group_cross","CORV-G06-08","SAFE — PROVEN","RETAIN negative «пив» at group_cross/CORV-G06-08"
"NEG-0153","вода","group_cross","CORV-G06-08","SAFE — PROVEN","RETAIN negative «вода» at group_cross/CORV-G06-08"
"NEG-0154","косметик","group_cross","CORV-G06-08","SAFE — PROVEN","RETAIN negative «косметик» at group_cross/CORV-G06-08"
"NEG-0155","автозапчаст","group_cross","CORV-G06-08","SAFE — PROVEN","RETAIN negative «автозапчаст» at group_cross/CORV-G06-08"
"NEG-0156","подлежит","group_cross","CORV-G06-08","SAFE — PROVEN","RETAIN negative «подлежит» at group_cross/CORV-G06-08"
"NEG-0157","сроки","group_cross","CORV-G06-08","SAFE — PROVEN","RETAIN negative «сроки» at group_cross/CORV-G06-08"
"NEG-0158","как настроить","group_cross","CORV-G06-08","SAFE — PROVEN","RETAIN negative «как настроить» at group_cross/CORV-G06-08"
"NEG-0159","пив","group_cross","CORV-G06-09","SAFE — PROVEN","RETAIN negative «пив» at group_cross/CORV-G06-09"
"NEG-0160","вода","group_cross","CORV-G06-09","SAFE — PROVEN","RETAIN negative «вода» at group_cross/CORV-G06-09"
"NEG-0161","лекарств","group_cross","CORV-G06-09","SAFE — PROVEN","RETAIN negative «лекарств» at group_cross/CORV-G06-09"
"NEG-0162","косметик","group_cross","CORV-G06-09","SAFE — PROVEN","RETAIN negative «косметик» at group_cross/CORV-G06-09"
"NEG-0163","лекарств","group_cross","CORV-G06-10","SAFE — PROVEN","RETAIN negative «лекарств» at group_cross/CORV-G06-10"
"NEG-0164","пив","group_cross","CORV-G06-10","SAFE — PROVEN","RETAIN negative «пив» at group_cross/CORV-G06-10"
"NEG-0165","вода","group_cross","CORV-G06-10","SAFE — PROVEN","RETAIN negative «вода» at group_cross/CORV-G06-10"
"NEG-0166","косметик","group_cross","CORV-G06-10","SAFE — PROVEN","RETAIN negative «косметик» at group_cross/CORV-G06-10"
"NEG-0167","подлежит","group_cross","CORV-G06-10","SAFE — PROVEN","RETAIN negative «подлежит» at group_cross/CORV-G06-10"
"NEG-0168","сроки","group_cross","CORV-G06-10","SAFE — PROVEN","RETAIN negative «сроки» at group_cross/CORV-G06-10"
"NEG-0169","какие","group_cross","CORV-G06-10","SAFE — PROVEN","RETAIN negative «какие» at group_cross/CORV-G06-10"
"NEG-0170","пив","group_cross","CORV-G06-11","SAFE — PROVEN","RETAIN negative «пив» at group_cross/CORV-G06-11"
"NEG-0171","вода","group_cross","CORV-G06-11","SAFE — PROVEN","RETAIN negative «вода» at group_cross/CORV-G06-11"
"NEG-0172","лекарств","group_cross","CORV-G06-11","SAFE — PROVEN","RETAIN negative «лекарств» at group_cross/CORV-G06-11"
"NEG-0173","автозапчаст","group_cross","CORV-G06-11","SAFE — PROVEN","RETAIN negative «автозапчаст» at group_cross/CORV-G06-11"
"NEG-0174","пив","group_cross","CORV-G06-12","SAFE — PROVEN","RETAIN negative «пив» at group_cross/CORV-G06-12"
"NEG-0175","вода","group_cross","CORV-G06-12","SAFE — PROVEN","RETAIN negative «вода» at group_cross/CORV-G06-12"
"NEG-0176","лекарств","group_cross","CORV-G06-12","SAFE — PROVEN","RETAIN negative «лекарств» at group_cross/CORV-G06-12"
"NEG-0177","косметик","group_cross","CORV-G06-12","SAFE — PROVEN","RETAIN negative «косметик» at group_cross/CORV-G06-12"
"NEG-0178","пив","group_cross","CORV-G06-13","SAFE — PROVEN","RETAIN negative «пив» at group_cross/CORV-G06-13"
"NEG-0179","вода","group_cross","CORV-G06-13","SAFE — PROVEN","RETAIN negative «вода» at group_cross/CORV-G06-13"
"NEG-0180","лекарств","group_cross","CORV-G06-13","SAFE — PROVEN","RETAIN negative «лекарств» at group_cross/CORV-G06-13"
"NEG-0181","косметик","group_cross","CORV-G06-13","SAFE — PROVEN","RETAIN negative «косметик» at group_cross/CORV-G06-13"
"NEG-0182","доработка","group_cross","CORV-G06-03","SAFE — PROVEN","RETAIN negative «доработка» at group_cross/CORV-G06-03"
"NEG-0183","программист","group_cross","CORV-G06-03","SAFE — PROVEN","RETAIN negative «программист» at group_cross/CORV-G06-03"
"NEG-0184","отчет","group_cross","CORV-G06-03","SAFE — PROVEN","RETAIN negative «отчет» at group_cross/CORV-G06-03"
"NEG-0185","пив","group_cross","CORV-G06-03","SAFE — PROVEN","RETAIN negative «пив» at group_cross/CORV-G06-03"
"NEG-0186","вода","group_cross","CORV-G06-03","SAFE — PROVEN","RETAIN negative «вода» at group_cross/CORV-G06-03"
"NEG-0187","подключ","group_cross","CORV-G06-03","SAFE — PROVEN","RETAIN negative «подключ» at group_cross/CORV-G06-03"
"NEG-0188","подключ","group_cross","CORV-G06-04","SAFE — PROVEN","RETAIN negative «подключ» at group_cross/CORV-G06-04"
"NEG-0189","настрой","group_cross","CORV-G06-04","SAFE — PROVEN","RETAIN negative «настрой» at group_cross/CORV-G06-04"
"NEG-0190","пив","group_cross","CORV-G06-04","SAFE — PROVEN","RETAIN negative «пив» at group_cross/CORV-G06-04"
"NEG-0191","вода","group_cross","CORV-G06-04","SAFE — PROVEN","RETAIN negative «вода» at group_cross/CORV-G06-04"
"NEG-0192","лекарств","group_cross","CORV-G06-04","SAFE — PROVEN","RETAIN negative «лекарств» at group_cross/CORV-G06-04"
"NEG-0193","честный знак","group_cross","CORV-G06-01","SAFE — PROVEN","RETAIN negative «честный знак» at group_cross/CORV-G06-01"
"NEG-0194","пив","group_cross","CORV-G06-01","SAFE — PROVEN","RETAIN negative «пив» at group_cross/CORV-G06-01"
"NEG-0195","вода","group_cross","CORV-G06-01","SAFE — PROVEN","RETAIN negative «вода» at group_cross/CORV-G06-01"
"NEG-0196","лекарств","group_cross","CORV-G06-01","SAFE — PROVEN","RETAIN negative «лекарств» at group_cross/CORV-G06-01"
"NEG-0197","косметик","group_cross","CORV-G06-01","SAFE — PROVEN","RETAIN negative «косметик» at group_cross/CORV-G06-01"
"NEG-0198","автозапчаст","group_cross","CORV-G06-01","SAFE — PROVEN","RETAIN negative «автозапчаст» at group_cross/CORV-G06-01"
"NEG-0199","ошибк","group_cross","CORV-G06-01","SAFE — PROVEN","RETAIN negative «ошибк» at group_cross/CORV-G06-01"
"NEG-0200","честный знак","group_cross","CORV-G06-02","SAFE — PROVEN","RETAIN negative «честный знак» at group_cross/CORV-G06-02"
"NEG-0201","пив","group_cross","CORV-G06-02","SAFE — PROVEN","RETAIN negative «пив» at group_cross/CORV-G06-02"
"NEG-0202","вода","group_cross","CORV-G06-02","SAFE — PROVEN","RETAIN negative «вода» at group_cross/CORV-G06-02"
"NEG-0203","лекарств","group_cross","CORV-G06-02","SAFE — PROVEN","RETAIN negative «лекарств» at group_cross/CORV-G06-02"
"NEG-0204","подключ","group_cross","CORV-G06-02","SAFE — PROVEN","RETAIN negative «подключ» at group_cross/CORV-G06-02"
"NEG-0205","ошибка после обновления","group_cross","CORV-G07-03","SAFE — PROVEN","RETAIN negative «ошибка после обновления» at group_cross/CORV-G07-03"
"NEG-0206","восстановлен","group_cross","CORV-G07-03","SAFE — PROVEN","RETAIN negative «восстановлен» at group_cross/CORV-G07-03"
"NEG-0207","запуска","group_cross","CORV-G07-03","SAFE — PROVEN","RETAIN negative «запуска» at group_cross/CORV-G07-03"
"NEG-0208","не работает","group_cross","CORV-G07-02","REMOVED","REMOVED: «не работает» deleted from group_cross/CORV-G07-02 — Regression REG-02: Exchange-failure group must not minus core symptom «не работает»"
"NEG-0209","обмен","group_cross","CORV-G07-02","SAFE — PROVEN","RETAIN negative «обмен» at group_cross/CORV-G07-02"
"NEG-0210","синхронизация","group_cross","CORV-G07-02","REMOVED","REMOVED: «синхронизация» deleted from group_cross/CORV-G07-02 — Regression REG-04: Cash-register sync group must not minus stem «синхрон»"
"NEG-0211","восстановлен","group_cross","CORV-G07-02","SAFE — PROVEN","RETAIN negative «восстановлен» at group_cross/CORV-G07-02"
"NEG-0212","не работает","group_cross","CORV-G07-04","REMOVED","REMOVED: «не работает» deleted from group_cross/CORV-G07-04 — Regression REG-02: Exchange-failure group must not minus core symptom «не работает»"
"NEG-0213","обмен","group_cross","CORV-G07-04","SAFE — PROVEN","RETAIN negative «обмен» at group_cross/CORV-G07-04"
"NEG-0214","ошибка","group_cross","CORV-G07-04","SAFE — PROVEN","RETAIN negative «ошибка» at group_cross/CORV-G07-04"
"NEG-0215","синхронизация","group_cross","CORV-G07-04","REMOVED","REMOVED: «синхронизация» deleted from group_cross/CORV-G07-04 — Regression REG-04: Cash-register sync group must not minus stem «синхрон»"
"NEG-0216","ошибка","group_cross","CORV-G07-01","SAFE — PROVEN","RETAIN negative «ошибка» at group_cross/CORV-G07-01"
"NEG-0217","обмен","group_cross","CORV-G07-01","SAFE — PROVEN","RETAIN negative «обмен» at group_cross/CORV-G07-01"
"NEG-0218","синхронизация","group_cross","CORV-G07-01","REMOVED","REMOVED: «синхронизация» deleted from group_cross/CORV-G07-01 — Regression REG-04: Cash-register sync group must not minus stem «синхрон»"
"NEG-0219","восстановлен","group_cross","CORV-G07-01","SAFE — PROVEN","RETAIN negative «восстановлен» at group_cross/CORV-G07-01"
"NEG-0220","после обновлен","group_cross","CORV-G07-01","SAFE — PROVEN","RETAIN negative «после обновлен» at group_cross/CORV-G07-01"
"NEG-0221","касса","group_cross","CORV-G05-02","SAFE — PROVEN","RETAIN negative «касса» at group_cross/CORV-G05-02"
"NEG-0222","маркировка","group_cross","CORV-G05-02","SAFE — PROVEN","RETAIN negative «маркировка» at group_cross/CORV-G05-02"
"NEG-0223","обмен","group_cross","CORV-G05-02","SAFE — PROVEN","RETAIN negative «обмен» at group_cross/CORV-G05-02"
"NEG-0224","перенос","group_cross","CORV-G05-02","SAFE — PROVEN","RETAIN negative «перенос» at group_cross/CORV-G05-02"
