"keyword_id","phrase","group_id","v5_status","v6_status","reason"
"kw-corv01-disc-264","программист 1с высшее образование","CORV-G01-08","ACTIVE COMMERCIAL","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"seed-CORV-G01-08-core-разовые-рабо","разовые работы 1с","CORV-G01-08","ACTIVE COMMERCIAL","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"kw-corv01-disc-041","задание программисту 1с","CORV-G01-01","ACTIVE COMMERCIAL","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"kw-corv01-disc-054","задачи 1с программиста","CORV-G01-01","ACTIVE COMMERCIAL","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"kw-corv01-disc-052","найти программиста 1с","CORV-G01-01","ACTIVE COMMERCIAL","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"kw-corv01-disc-050","нужен программист 1с","CORV-G01-01","ACTIVE COMMERCIAL","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"kw-corv01-disc-062","отзыв программисту 1с","CORV-G01-01","ACTIVE COMMERCIAL","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"kw-corv01-disc-060","программа программист 1с","CORV-G01-01","ACTIVE COMMERCIAL","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"kw-corv01-001","программист 1с","CORV-G01-01","ACTIVE COMMERCIAL","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"kw-corv01-disc-056","программист 1с предприятие","CORV-G01-01","ACTIVE COMMERCIAL","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"kw-corv01-disc-026","программист 1с удаленно","CORV-G01-01","ACTIVE COMMERCIAL","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"kw-corv01-disc-061","программист аналитик 1с","CORV-G01-01","ACTIVE COMMERCIAL","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"kw-corv01-disc-038","программист разработчик 1с","CORV-G01-01","ACTIVE COMMERCIAL","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"kw-corv01-disc-048","программисты 1с спб","CORV-G01-01","ACTIVE COMMERCIAL","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"kw-corv01-disc-053","работать программистом 1с","CORV-G01-01","ACTIVE COMMERCIAL","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"kw-corv01-disc-064","сколько зарабатывает программист 1с","CORV-G01-01","ACTIVE COMMERCIAL","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"kw-corv01-disc-033","сколько программистов 1с","CORV-G01-01","ACTIVE COMMERCIAL","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"kw-corv01-disc-042","стал программистом 1с","CORV-G01-01","ACTIVE COMMERCIAL","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"kw-corv01-disc-044","стоимость 1с программисты","CORV-G01-01","ACTIVE COMMERCIAL","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"kw-corv01-disc-059","стоимость часа 1с программиста","CORV-G01-01","ACTIVE COMMERCIAL","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"kw-corv01-disc-066","технические задания программистам 1с","CORV-G01-01","ACTIVE COMMERCIAL","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
"kw-corv01-disc-034","часа программиста 1с","CORV-G01-01","ACTIVE COMMERCIAL","EXCLUDE","repair_status_change from ACTIVE COMMERCIAL"
