source_term,canonical_term,wordpress_post_id,current_post_status,final_disposition,populated,editorial_ready,fact_verified,seo_ready,publication_eligible,canonical_target,reason_not_eligible
Трафик,Сессия,2598,draft,MERGED,NO,NO,N/A,NO,NO,Сессия,disposition=MERGED; canonical_target=Сессия
УВ,УВ,2599,draft,MERGED,NO,NO,N/A,NO,NO,Уникальный посетитель,disposition=MERGED; canonical_target=Уникальный посетитель
Уникальность текста,Уникальность текста,2600,publish,APPROVED,YES,YES,YES,YES,YES,Уникальность текста,
Уникальный посетитель,Уникальный посетитель,2601,publish,APPROVED,YES,YES,YES,YES,YES,Уникальный посетитель,
Устранение дублей,Устранение дублей,2602,publish,APPROVED,YES,YES,YES,YES,YES,Устранение дублей,
Файл robots.txt,robots.txt,2603,publish,APPROVED_RENAME,YES,YES,YES,YES,YES,robots.txt,
Фактор ранжирования,Фактор ранжирования,2604,publish,APPROVED,YES,YES,YES,YES,YES,Фактор ранжирования,
Фильтр поисковой системы,Фильтр поисковой системы,2605,publish,APPROVED,YES,YES,YES,YES,YES,Фильтр поисковой системы,
Хлебные крошки,Хлебные крошки,2606,publish,APPROVED,YES,YES,YES,YES,YES,Хлебные крошки,
Хостинг,Хостинг,2607,publish,APPROVED,YES,YES,YES,YES,YES,Хостинг,
Хостинг-провайдер,Хостинг-провайдер,2608,publish,APPROVED,YES,YES,YES,YES,YES,Хостинг-провайдер,
Целевая аудитория,Целевая аудитория,2609,publish,APPROVED,YES,YES,YES,YES,YES,Целевая аудитория,
Целевой поисковый запрос,Целевой поисковый запрос,2610,publish,APPROVED,YES,YES,YES,YES,YES,Целевой поисковый запрос,
Частотность запроса,Частотность запроса,2611,publish,APPROVED,YES,YES,YES,YES,YES,Частотность запроса,
Чёрные методы оптимизации,Чёрные методы оптимизации,2612,publish,APPROVED,YES,YES,YES,YES,YES,Чёрные методы оптимизации,
ЧПУ (человекопонятный URL),ЧПУ,2613,publish,APPROVED_RENAME,YES,YES,YES,YES,YES,ЧПУ,
Шингл,Шингл,2614,publish,APPROVED,YES,YES,YES,YES,YES,Шингл,
Экспертность контента,Экспертность контента,2615,publish,APPROVED,YES,YES,YES,YES,YES,Экспертность контента,
Яндекс.Вебмастер,Яндекс.Вебмастер,2616,publish,APPROVED,YES,YES,YES,YES,YES,Яндекс.Вебмастер,
Яндекс Директ,Яндекс Директ,2617,publish,APPROVED,YES,YES,YES,YES,YES,Яндекс Директ,
Яндекс Каталог (YACA),Яндекс Каталог (YACA),2618,draft,EXCLUDED,NO,NO,N/A,NO,NO,,disposition=EXCLUDED
Яндекс.Метрика,Яндекс.Метрика,2619,publish,APPROVED,YES,YES,YES,YES,YES,Яндекс.Метрика,
Alt-атрибут,Alt-текст,2620,publish,APPROVED_RENAME,YES,YES,YES,YES,YES,Alt-текст,
AMP (ускоренные мобильные страницы),AMP,2621,publish,APPROVED_RENAME,YES,YES,YES,YES,YES,AMP,
BERT,BERT,2622,publish,APPROVED,YES,YES,YES,YES,YES,BERT,
BM25 (Okapi BM25),BM25,2623,publish,APPROVED_RENAME,YES,YES,YES,YES,YES,BM25,
CatBoost,CatBoost,2624,draft,DEFERRED,NO,NO,N/A,NO,NO,,disposition=DEFERRED
CLS,Core Web Vitals,2625,draft,MERGED,NO,NO,N/A,NO,NO,Core Web Vitals,disposition=MERGED; canonical_target=Core Web Vitals
CMS (система управления сайтом),CMS,2626,publish,APPROVED_RENAME,YES,YES,YES,YES,YES,CMS,
Cookie,Cookie,2627,draft,EXCLUDED,NO,NO,N/A,NO,NO,,disposition=EXCLUDED
Core Web Vitals,Core Web Vitals,2628,publish,APPROVED,YES,YES,YES,YES,YES,Core Web Vitals,
CPA,CPA,2629,publish,APPROVED,YES,YES,YES,YES,YES,CPA,
CPC,CPC,2630,publish,APPROVED,YES,YES,YES,YES,YES,CPC,
CPL,CPL,2631,publish,APPROVED,YES,YES,YES,YES,YES,CPL,
CTR (кликабельность),CTR,2632,publish,APPROVED_RENAME,YES,YES,YES,YES,YES,CTR,
d-url-rewriter.php (seo-модуль),d-url-rewriter.php (seo-модуль),2633,draft,EXCLUDED,NO,NO,N/A,NO,NO,,disposition=EXCLUDED
DA (Domain Authority),Domain Authority,2634,publish,APPROVED_RENAME,YES,YES,YES,YES,YES,Domain Authority,
Disavow,Disavow,2635,publish,APPROVED,YES,YES,YES,YES,YES,Disavow,
DR (Domain Rating),Domain Rating,2636,publish,APPROVED_RENAME,YES,YES,YES,YES,YES,Domain Rating,
E-E-A-T,E-E-A-T,2637,publish,APPROVED,YES,YES,YES,YES,YES,E-E-A-T,
Event tracking,Event tracking,2638,publish,APPROVED,YES,YES,YES,YES,YES,Event tracking,
FAQ-разметка,FAQ-разметка,2639,publish,APPROVED_RENAME,YES,YES,YES,YES,YES,FAQ-разметка,
FID,Core Web Vitals,2640,draft,MERGED,NO,NO,N/A,NO,NO,Core Web Vitals,disposition=MERGED; canonical_target=Core Web Vitals
Flash/Флэш,Flash/Флэш,2641,draft,EXCLUDED,NO,NO,N/A,NO,NO,,disposition=EXCLUDED
GEO,GEO,2642,publish,APPROVED,YES,YES,YES,YES,YES,GEO,
GET-параметр (CGI-параметр),GET-параметр,2643,publish,APPROVED_RENAME,YES,YES,YES,YES,YES,GET-параметр,
Google Ads,Google Ads,2644,publish,APPROVED,YES,YES,YES,YES,YES,Google Ads,
Google AdSense,Google AdSense,2645,publish,APPROVED,YES,YES,YES,YES,YES,Google AdSense,
Google Analytics,Google Analytics,2646,publish,APPROVED,YES,YES,YES,YES,YES,Google Analytics,
Google Search Console,Google Search Console,2647,publish,APPROVED,YES,YES,YES,YES,YES,Google Search Console,
HTML,HTML,2648,draft,EXCLUDED,NO,NO,N/A,NO,NO,,disposition=EXCLUDED
HTTP-код ответа,HTTP-код ответа,2649,publish,APPROVED,YES,YES,YES,YES,YES,HTTP-код ответа,
HTTPS,HTTPS,2650,publish,APPROVED,YES,YES,YES,YES,YES,HTTPS,
Human-First Content,Human-First Content,2651,draft,DEFERRED,NO,NO,N/A,NO,NO,,disposition=DEFERRED
IP-адрес,IP-адрес,2652,draft,EXCLUDED,NO,NO,N/A,NO,NO,,disposition=EXCLUDED
JS / JavaScript,JS / JavaScript,2653,draft,EXCLUDED,NO,NO,N/A,NO,NO,,disposition=EXCLUDED
KPI (ключевые показатели эффективности),KPI,2654,publish,APPROVED_RENAME,YES,YES,YES,YES,YES,KPI,
LCP,Core Web Vitals,2655,draft,MERGED,NO,NO,N/A,NO,NO,Core Web Vitals,disposition=MERGED; canonical_target=Core Web Vitals
LSI,LSI,2656,publish,APPROVED,YES,YES,YES,YES,YES,LSI,
LTV,LTV,2657,publish,APPROVED,YES,YES,YES,YES,YES,LTV,
MFA,MFA,2658,draft,DEFERRED,NO,NO,N/A,NO,NO,,disposition=DEFERRED
Mixed content,Mixed content,2659,publish,APPROVED,YES,YES,YES,YES,YES,Mixed content,
Mobile-first indexing,Mobile-first indexing,2660,publish,APPROVED,YES,YES,YES,YES,YES,Mobile-first indexing,
Neural Matching,Neural Matching,2661,publish,APPROVED,YES,YES,YES,YES,YES,Neural Matching,
Noindex,Noindex,2662,publish,APPROVED,YES,YES,YES,YES,YES,Noindex,
Pay-per-Click (PPC),PPC,2663,publish,APPROVED_RENAME,YES,YES,YES,YES,YES,PPC,
PBN,PBN,2664,publish,APPROVED,YES,YES,YES,YES,YES,PBN,
PR (PageRank),PageRank,2665,publish,APPROVED_RENAME,YES,YES,YES,YES,YES,PageRank,
RankBrain,RankBrain,2666,publish,APPROVED,YES,YES,YES,YES,YES,RankBrain,
ROI (окупаемость инвестиций),ROI,2667,publish,APPROVED_RENAME,YES,YES,YES,YES,YES,ROI,
ROMI,ROMI,2668,publish,APPROVED,YES,YES,YES,YES,YES,ROMI,
Sandbox,Google Sandbox,2669,draft,DEFERRED,NO,NO,N/A,NO,NO,,disposition=DEFERRED
SEO,SEO,2670,publish,APPROVED,YES,YES,YES,YES,YES,SEO,
SERM,SERM,2671,publish,APPROVED,YES,YES,YES,YES,YES,SERM,
Spam Score,Spam Score,2672,draft,DEFERRED,NO,NO,N/A,NO,NO,,disposition=DEFERRED
Spam Update,Spam Update,2673,publish,APPROVED,YES,YES,YES,YES,YES,Spam Update,
SSL,HTTPS,2674,draft,MERGED,NO,NO,N/A,NO,NO,HTTPS,disposition=MERGED; canonical_target=HTTPS
TF-IDF,TF-IDF,2675,publish,APPROVED,YES,YES,YES,YES,YES,TF-IDF,
URL-адрес,URL,2676,draft,DEFERRED,NO,NO,N/A,NO,NO,,disposition=DEFERRED
UTM-метки,UTM-метки,2677,publish,APPROVED,YES,YES,YES,YES,YES,UTM-метки,
UX/UI (юзабилити и интерфейс),UX и UI,2678,publish,APPROVED_RENAME,YES,YES,YES,YES,YES,UX и UI,
Wayback Machine,Wayback Machine,2679,publish,APPROVED,YES,YES,YES,YES,YES,Wayback Machine,
WHOIS,WHOIS,2680,publish,APPROVED,YES,YES,YES,YES,YES,WHOIS,
404 ошибка,Ошибка 404,2681,publish,APPROVED_RENAME,YES,YES,YES,YES,YES,Ошибка 404,
410 ошибка,Ошибка 410,2682,publish,APPROVED_RENAME,YES,YES,YES,YES,YES,Ошибка 410,
500 ошибка,Ошибка 500,2683,publish,APPROVED_RENAME,YES,YES,YES,YES,YES,Ошибка 500,
Юзабилити,UX и UI,2684,draft,MERGED,NO,NO,N/A,NO,NO,UX и UI,disposition=MERGED; canonical_target=UX и UI
