source_term,canonical_term,post_id,slug,category,depth,short_definition,content_file,synonyms,related_terms,seo_title,meta_description,verification_status,wordpress_apply_status
Чёрные методы оптимизации,Чёрные методы оптимизации,2612,chernye-metody-optimizaczii,SEO fundamentals,MODERATE,"Чёрные методы оптимизации — приёмы, которые пытаются обмануть поисковую систему: скрытый текст, дорвеи, накрутка ссылок, клоакинг и подобные схемы. Они повышают риск фильтров и потери видимости.",content/glossary/batch-03/черные-методы-оптимизации.md,black hat SEO,Белая оптимизация; Ссылочный спам; Скрытый текст; Поисковый спам,Чёрные методы оптимизации: что это,Что относят к чёрным методам SEO и какие риски они создают для сайта.,Отраслевой термин; конкретные нарушения описаны в правилах Google/Yandex spam policies.,applied
Wayback Machine,Wayback Machine,2679,wayback-machine,SEO fundamentals,MODERATE,"Wayback Machine — сервис архивации веб-страниц Internet Archive. Он позволяет посмотреть исторические снимки сайта, если они были сохранены.",content/glossary/batch-03/wayback-machine.md,веб-архив,WHOIS; Структура сайта; Аудит сайта,Wayback Machine: что это,Что такое Wayback Machine и как архив страниц помогает в аудите и исследовании истории сайта.,Сервис Internet Archive; доступность снимков неполная.,applied
Органическая выдача,Органическая выдача,2536,organicheskaya-vydacha,search engines and indexing,MODERATE,"Органическая выдача — блок результатов поиска, которые поисковая система показывает как ответы на запрос без оплаты за клик за размещение в этом блоке. Её дополняют реклама и специальные элементы SERP.",content/glossary/batch-03/органическая-выдача.md,organic SERP,Сниппет; Ранжирование; Контекстная реклама; CTR,Органическая выдача: что это,Что такое органическая выдача и чем она отличается от рекламных блоков в поиске.,Стандартное разделение organic vs paid.,applied
Краулинговый бюджет,Краулинговый бюджет,2515,kraulingovyj-byudzhet,search engines and indexing,COMPLEX,"Краулинговый бюджет — условный ресурс, который поисковый робот готов выделить на обход сайта за период. Понятие особенно важно для крупных сайтов с миллионами URL, где часть адресов может долго не переобходиться.",content/glossary/batch-03/краулинговый-бюджет.md,бюджет сканирования; crawl budget,Краулинг; Индексация; robots.txt; Карта сайта; Скорость загрузки страницы,Краулинговый бюджет: что это,"Что такое краулинговый бюджет, от чего он зависит и как не тратить обход сайта впустую.",Google Search Central crawl budget framing for large sites; не универсальная квота для всех малых сайтов.,applied
Индекс,Индекс,2494,indeks,search engines and indexing,MODERATE,"Индекс — база страниц и данных, которые поисковая система может использовать для ответа на запросы. Страница в индексе доступна для ранжирования; отсутствие в индексе исключает показ в органике.",content/glossary/batch-03/индекс.md,поисковый индекс,Индексация; Краулинг; Органическая выдача; Noindex,Индекс поисковой системы: что это,Что такое индекс поисковой системы и чем он отличается от простого наличия страницы в выдаче.,Search Central index framing.,applied
Алгоритм ранжирования,Алгоритм ранжирования,2446,algoritm-ranzhirovaniya,search engines and indexing,COMPLEX,"Алгоритм ранжирования — набор программных правил и моделей, по которым поисковая система упорядочивает результаты. Он учитывает множество сигналов и регулярно обновляется.",content/glossary/batch-03/алгоритм-ранжирования.md,поисковый алгоритм,Ранжирование; Фактор ранжирования; Апдейт алгоритма; Органическая выдача,Алгоритм ранжирования: что это,Что такое алгоритм ранжирования поисковой системы и почему его нельзя описать полным публичным списком правил.,Концептуально; детали непрозрачны; обновления анонсируются частично.,applied
Апдейт алгоритма,Апдейт алгоритма,2449,apdejt-algoritma,search engines and indexing,MODERATE,Апдейт алгоритма — обновление логики ранжирования или связанных систем поиска. После него позиции и трафик многих сайтов могут измениться без правок на стороне владельца.,content/glossary/batch-03/апдейт-алгоритма.md,поисковый апдейт; algorithm update,Алгоритм ранжирования; Фильтр поисковой системы; Ранжирование,Апдейт алгоритма: что это,Что такое апдейт алгоритма поиска и как отличать его от технических проблем сайта.,Отраслевая/официальная терминология updates; не каждый скачок позиций = апдейт.,applied
Быстрые ссылки (сайтлинки),Быстрые ссылки,2462,bystrye-ssylki,search engines and indexing,SIMPLE,"Быстрые ссылки — дополнительные ссылки на разделы сайта внутри расширенного сниппета. Поисковая система формирует их автоматически, если считает структуру понятной.",content/glossary/batch-03/быстрые-ссылки.md,sitelinks,Сниппет; Органическая выдача; Структура сайта; Хлебные крошки,Быстрые ссылки (sitelinks): что это,Что такое быстрые ссылки в поиске и можно ли их «включить» вручную.,Google/Yandex sitelinks — автоматически; гарантировать нельзя.,applied
Индекс качества сайта (ИКС),ИКС,2495,iks,search engines and indexing,MODERATE,"ИКС — показатель Яндекса, отражающий оценку качества сайта в экосистеме Яндекс.Вебмастера. Это не универсальный «рейтинг SEO» и не метрика Google.",content/glossary/batch-03/икс.md,ИКС,Яндекс.Вебмастер; Видимость сайта; Аудит сайта,ИКС Яндекса: что это,Что такое индекс качества сайта (ИКС) в Яндексе и чем он не является.,Показатель Яндекс.Вебмастера; не метрика Google; методика не полностью публична.,applied
Фильтр поисковой системы,Фильтр поисковой системы,2605,filtr-poiskovoj-sistemy,search engines and indexing,MODERATE,Фильтр поисковой системы — мера ограничения видимости сайта или страниц из‑за нарушения правил или низкого качества. Диагностика требует отличать фильтр от алгоритмического апдейта и технических ошибок.,content/glossary/batch-03/фильтр-поисковой-системы.md,поисковый фильтр,Бан сайта; Поисковый спам; Апдейт алгоритма; Ссылочный спам,Фильтр поисковой системы: что это,Что называют фильтром поисковой системы и чем он отличается от обычного апдейта или технического сбоя.,Отраслевой термин; у ПС разные механизмы spam/quality actions.,applied
Бан сайта,Бан сайта,2456,ban-sajta,search engines and indexing,SIMPLE,"Бан сайта — крайнее ограничение, когда сайт почти или полностью исчезает из поиска из‑за серьёзных нарушений. Это сильнее локального фильтра по отдельным запросам.",content/glossary/batch-03/бан-сайта.md,исключение из поиска,Фильтр поисковой системы; Google Search Console; Яндекс.Вебмастер,Бан сайта в поиске: что это,Что означает бан сайта в поисковой системе и чем он отличается от частичных ограничений.,Крайняя мера; детали процедур у Google/Yandex различаются.,applied
Панда (алгоритм),Google Panda,2541,google-panda,search engines and indexing,MODERATE,"Google Panda — известное обновление качества Google, исторически направленное против низкокачественных и тонких материалов. Сегодня сигналы качества развиваются в составе более широких систем.",content/glossary/batch-03/google-panda.md,Google Panda,Уникальность текста; Контент-маркетинг; Алгоритм ранжирования,Google Panda: что это за алгоритм,"Что такое алгоритм Google Panda, на что он исторически влиял и почему нельзя сводить SEO к «обходу Панды».",Исторический Google quality update; сегодня часть continuum качества; не алгоритм Яндекса.,applied
Пингвин (алгоритм),Google Penguin,2544,google-penguin,search engines and indexing,MODERATE,"Google Penguin — обновление Google, нацеленное на манипулятивные ссылочные схемы. Оно повлияло на подход к покупным и спамным ссылкам.",content/glossary/batch-03/google-penguin.md,Google Penguin,Ссылочный спам; Disavow; Линкбилдинг; Алгоритм ранжирования,Google Penguin: что это за алгоритм,Что такое Google Penguin и как он связан со ссылочным спамом.,Исторический Google link-spam update; позднее real-time; не Яндекс.,applied
Минусинск (алгоритм),Минусинск,2524,minusinsk,search engines and indexing,MODERATE,"Минусинск — алгоритм Яндекса, связанный с борьбой против массового покупного ссылочного продвижения. Это отдельная история от Google Penguin.",content/glossary/batch-03/минусинск.md,фильтр Минусинск,Ссылочный спам; Биржа ссылок; Яндекс.Вебмастер; Линкбилдинг,Минусинск Яндекса: что это,Что такое алгоритм Минусинск в Яндексе и к каким ссылочным практикам он относился.,Яндекс анонсы о ссылочном спаме; не Google Penguin.,applied
Баден-Баден (алгоритм),Баден-Баден,2455,baden-baden,search engines and indexing,MODERATE,"Баден-Баден — алгоритм Яндекса, направленный против переоптимизированных и малополезных текстов. Он связан с качеством контента, а не со ссылочными биржами.",content/glossary/batch-03/баден-баден.md,фильтр Баден-Баден,Переоптимизация; Заспамленность текста; Копирайтинг; Яндекс.Вебмастер,Баден-Баден Яндекса: что это,Что такое алгоритм Баден-Баден в Яндексе и как он связан с переоптимизированными текстами.,Яндекс quality/text spam framing; не Google Panda.,applied
Поисковый запрос,Поисковый запрос,2552,poiskovyj-zapros,content and semantics,MODERATE,"Поисковый запрос — формулировка, которую пользователь вводит в поиск. В SEO запросы группируют в семантику и сопоставляют с посадочными страницами.",content/glossary/batch-03/поисковый-запрос.md,поисковая фраза,Ключевое слово; Поисковый интент; Частотность запроса; Семантическое ядро,Поисковый запрос: что это,Что такое поисковый запрос и чем он отличается от ключевого слова в практике SEO.,Базовое определение.,applied
Вода в тексте,Вода в тексте,2471,voda-v-tekste,content and semantics,SIMPLE,"Вода в тексте — слова и обороты, которые не добавляют смысла и растягивают материал. Они ухудшают читаемость и размывают ответ на запрос.",content/glossary/batch-03/вода-в-тексте.md,водность текста,Копирайтинг; Уникальность текста; Переоптимизация,Вода в тексте: что это,Что называют водой в тексте и почему она мешает читателю и SEO-странице.,Редакционный термин; проценты сервисов не официальны.,applied
Плотность ключевых слов,Плотность ключевых слов,2545,plotnost-klyuchevyh-slov,content and semantics,MODERATE,Плотность ключевых слов — доля вхождений фразы относительно объёма текста. Как единственный критерий оптимизации она устарела и легко приводит к переспаму.,content/glossary/batch-03/плотность-ключевых-слов.md,keyword density,Переоптимизация; Заспамленность текста; Ключевое слово; LSI,Плотность ключевых слов: что это,Что такое плотность ключевых слов и почему погоня за процентом устарела как главная SEO-тактика.,Устаревшая эвристика; современные ПС не публикуют целевую плотность.,applied
Заспамленность текста,Заспамленность текста,2492,zaspamlennost-teksta,content and semantics,MODERATE,Заспамленность текста — ощущение или оценка чрезмерного повторения ключей и шаблонных конструкций. Такой текст хуже читается и может восприниматься как поисковый спам.,content/glossary/batch-03/заспамленность-текста.md,переспам,Переоптимизация; Плотность ключевых слов; Баден-Баден; Вода в тексте,Заспамленность текста: что это,Что такое заспамленность текста и как она связана с переоптимизацией под поиск.,Отраслевой/инструментальный термин; пороги сервисов условны.,applied
Геозависимый запрос,Геозависимый запрос,2474,geozavisimyj-zapros,content and semantics,MODERATE,"Геозависимый запрос — запрос, для которого выдача заметно зависит от региона или местоположения пользователя. Типичны локальные услуги и «рядом со мной».",content/glossary/batch-03/геозависимый-запрос.md,геозависимость,Локальное SEO; Геонезависимый запрос; Поисковый интент,Геозависимый запрос: что это,Что такое геозависимый запрос и почему выдача меняется от региона пользователя.,Практика локальной выдачи Google/Yandex.,applied
Геонезависимый запрос,Геонезависимый запрос,2475,geonezavisimyj-zapros,content and semantics,MODERATE,"Геонезависимый запрос — запрос, чья выдача слабо зависит от региона пользователя. Чаще это общие информационные темы и федеральные бренды без локального смысла.",content/glossary/batch-03/геонезависимый-запрос.md,геонезависимый,Геозависимый запрос; Информационный запрос; Поисковый интент,Геонезависимый запрос: что это,Что такое геонезависимый запрос и чем он отличается от локальных формулировок.,Практика SEO; граница не всегда жёсткая.,applied
Конкурентность запроса,Конкурентность запроса,2508,konkurentnost-zaprosa,content and semantics,MODERATE,"Конкурентность запроса — оценка того, насколько сложно попасть в топ по фразе при текущем уровне игроков в выдаче. Высокая частотность не всегда означает максимальную конкуренцию.",content/glossary/batch-03/конкурентность-запроса.md,конкуренция по запросу,Частотность запроса; Коммерческий запрос; SEO-аудит,Конкурентность запроса: что это,Что означает конкурентность запроса в SEO и почему частота ≠ лёгкость продвижения.,Методическая оценка; метрики сервисов различаются.,applied
Экспертность контента,Экспертность контента,2615,ekspertnost-kontenta,content and semantics,MODERATE,"Экспертность контента — глубина и достоверность материала, подкреплённые компетенцией автора или организации. Для сложных тем это снижает риск ошибок и повышает доверие.",content/glossary/batch-03/экспертность-контента.md,экспертный контент,E-E-A-T; Копирайтинг; Уникальность текста,Экспертность контента: что это,Что значит экспертность контента и как она связана с доверием и E-E-A-T.,Связь с quality concepts; не числовой score в GSC.,applied
TF-IDF,TF-IDF,2675,tf-idf,content and semantics,MODERATE,"TF-IDF — классическая мера важности слова в документе относительно корпуса текстов. В SEO иногда используют как эвристику анализа текстов, но это не секретная формула современного ранжирования.",content/glossary/batch-03/tf-idf.md,tf idf,LSI; Ключевое слово; Копирайтинг,TF-IDF: что это простыми словами,Что такое TF-IDF в информационном поиске и почему это не волшебная формула современного SEO.,Классическая IR-метрика; не заявлена как актуальный единый алгоритм Google.,applied
Disavow,Disavow,2635,disavow,link building,MODERATE,"Disavow — инструмент Google Search Console, которым владелец сайта может пометить токсичные входящие ссылки как нежелательные для учёта. Это крайняя мера, а не ежедневная рутина.",content/glossary/batch-03/disavow.md,отклонение ссылок,Ссылочный спам; Google Search Console; Google Penguin; Обратная ссылка,Disavow links: что это,Что такое инструмент Disavow в Google и когда его используют осторожно.,Google Search Console Disavow tool docs; крайняя мера.,applied
Аутрич,Аутрич,2453,autrich,link building,MODERATE,"Аутрич — персональные обращения к площадкам и авторам с предложением материала, эксперта или сотрудничества. В ссылочном маркетинге это альтернатива безликой массовой закупке.",content/glossary/batch-03/аутрич.md,outreach,Линкбилдинг; Гостевой пост; Естественные ссылки,Аутрич: что это в линкбилдинге,Что такое аутрич и как выглядит этичная работа с внешними упоминаниями.,Маркетинговая практика.,applied
Безанкорная ссылка,Безанкорная ссылка,2457,bezankornaya-ssylka,link building,SIMPLE,"Безанкорная ссылка — ссылка, у которой анкор не содержит коммерческого ключа: URL, название бренда или нейтральные слова вроде «здесь». Такие ссылки часто выглядят естественнее в профиле.",content/glossary/batch-03/безанкорная-ссылка.md,безанкор,Анкорный текст; Обратная ссылка; Естественные ссылки,Безанкорная ссылка: что это,Что такое безанкорная ссылка и чем она отличается от анкорной.,Практика ссылочных анкоров.,applied
Битые ссылки,Битые ссылки,2460,bitye-ssylki,link building,SIMPLE,"Битые ссылки — ссылки, ведущие на недоступный адрес (часто 404 или ошибку сервера). Они мешают пользователям и напрасно расходуют обходы робота.",content/glossary/batch-03/битые-ссылки.md,broken links,Ошибка 404; Внутренняя перелинковка; Аудит сайта,Битые ссылки: что это,Что такое битые ссылки и почему их стоит исправлять на сайте.,HTTP/UX практика.,applied
Донор ссылки,Донор ссылки,2484,donor-ssylki,link building,SIMPLE,"Донор ссылки — сайт или страница, с которых ведёт ссылка на ваш ресурс. Качество донора оценивают по тематике, аудитории и рискам спама — не только по красивой метрике.",content/glossary/batch-03/донор-ссылки.md,ссылающийся сайт,Акцептор ссылки; Обратная ссылка; Линкбилдинг,Донор ссылки: что это,Что такое донор ссылки и по каким признакам оценивают площадку.,Отраслевой термин.,applied
Акцептор,Акцептор ссылки,2445,akczeptor-ssylki,link building,SIMPLE,"Акцептор ссылки — страница, которая принимает переход по ссылке, то есть целевой URL. В паре «донор → акцептор» именно акцептор должен быть полезен пользователю.",content/glossary/batch-03/акцептор-ссылки.md,страница-акцептор,Донор ссылки; Обратная ссылка; Анкорный текст,Акцептор ссылки: что это,Что такое акцептор ссылки и чем он отличается от донора.,Отраслевой термин.,applied
Естественные ссылки,Естественные ссылки,2487,estestvennye-ssylki,link building,MODERATE,"Естественные ссылки — упоминания, которые появляются потому, что материал или бренд действительно полезны, а не из‑за оплаты за размещение ради манипуляции выдачей.",content/glossary/batch-03/естественные-ссылки.md,органические ссылки,Линкбилдинг; Ссылочный спам; Аутрич,Естественные ссылки: что это,Что называют естественными ссылками и почему они ценнее накрутки.,Отраслевое понятие; ПС стремятся учитывать доверие/естественность.,applied
Ссылочный спам,Ссылочный спам,2586,ssylochnyj-spam,link building,MODERATE,"Ссылочный спам — массовые или манипулятивные ссылки, созданные ради влияния на ранжирование, а не ради пользователя. К ним относят сетки, автоматический линкбилдинг и нерелевантные каталоги.",content/glossary/batch-03/ссылочный-спам.md,спам-ссылки,Disavow; Минусинск; Google Penguin; Биржа ссылок,Ссылочный спам: что это,Что относят к ссылочному спаму и какие риски он создаёт.,Spam policies Google/Yandex.,applied
410 ошибка,Ошибка 410,2682,oshibka-410,technical SEO,SIMPLE,"Ошибка 410 (Gone) сообщает, что ресурс удалён намеренно и, как правило, не вернётся. В отличие от 404, это более явный сигнал о постоянном отсутствии.",content/glossary/batch-03/ошибка-410.md,HTTP 410,Ошибка 404; HTTP-код ответа; Индексация,Ошибка 410: что означает,Что означает HTTP-код 410 и чем он отличается от 404.,HTTP semantics / MDN-class.,applied
500 ошибка,Ошибка 500,2683,oshibka-500,technical SEO,SIMPLE,Ошибка 500 — внутренний сбой сервера: страница не отдаётся из‑за проблемы на стороне хостинга или приложения. Для SEO длительные 5xx мешают обходу и ухудшают доступность.,content/glossary/batch-03/ошибка-500.md,HTTP 500,HTTP-код ответа; Хостинг; Краулинг,Ошибка 500: что означает,Что означает ошибка 500 на сайте и почему она критична для пользователей и роботов.,HTTP 5xx semantics.,applied
FAQ-разметка,FAQ-разметка,2639,faq-razmetka,technical SEO,MODERATE,"FAQ-разметка — структурированные данные типа FAQPage, которые описывают вопросы и ответы на странице. Они могут помочь с расширенным отображением, но не гарантируют спецсниппет и не заменяют полезный текст.",content/glossary/batch-03/faq-разметка.md,FAQPage; FAQ schema,Микроразметка; Сниппет; Schema.org,FAQ-разметка: что это,Что такое FAQ-разметка Schema.org и какие у неё ограничения в поиске.,Schema.org FAQPage + Search Central rich results eligibility — без гарантии показа.,applied
Mixed content,Mixed content,2659,mixed-content,technical SEO,MODERATE,"Mixed content — ситуация, когда страница открыта по HTTPS, но подгружает ресурсы по незащищённому HTTP. Браузеры ограничивают такие ресурсы, что ломает скрипты, стили или изображения.",content/glossary/batch-03/mixed-content.md,смешанный контент,HTTPS; Скорость загрузки страницы; Безопасность сайта,Mixed content: что это,Что такое mixed content на HTTPS-сайте и почему браузеры его блокируют.,web.dev / browser mixed content rules.,applied
WHOIS,WHOIS,2680,whois,security and infrastructure,SIMPLE,"WHOIS — система и протокол для запроса сведений о домене: регистратор, даты, статус, иногда контакты. Часть полей сегодня скрыта политиками приватности.",content/glossary/batch-03/whois.md,whois-данные,Домен; Хостинг; Wayback Machine,WHOIS: что это,Что такое WHOIS и какие данные о домене можно узнать.,Протокол/сервисы регистрации доменов; privacy redaction распространена.,applied
Хостинг,Хостинг,2607,hosting,security and infrastructure,SIMPLE,"Хостинг — услуга размещения сайта на сервере, доступном из интернета. От качества хостинга зависят доступность, скорость ответа и устойчивость к нагрузке.",content/glossary/batch-03/хостинг.md,веб-хостинг,Хостинг-провайдер; Скорость загрузки страницы; HTTPS; Ошибка 500,Хостинг: что это,Что такое хостинг сайта и на что он влияет для пользователей и SEO.,Инфраструктурное определение.,applied
SERM,SERM,2671,serm,digital marketing,MODERATE,"SERM — управление репутацией бренда в поисковой выдаче: работа с отзывами, информационными поводами и страницами, которые формируют впечатление о компании по запросам имени.",content/glossary/batch-03/serm.md,управление репутацией в поиске,Сниппет; Органическая выдача; Бренд,SERM: что это,Что такое SERM и чем управление репутацией в поиске отличается от обычного SEO.,Отраслевой термин Search Engine Reputation Management.,applied
Брендовый трафик,Брендовый трафик,2461,brendovyj-trafik,digital marketing,SIMPLE,"Брендовый трафик — визиты по запросам, содержащим название компании, продукта или домена. Он отражает спрос на конкретный бренд, а не только на категорию услуги.",content/glossary/batch-03/брендовый-трафик.md,brand traffic,Небрендовый трафик; Органический трафик; CTR; SERM,Брендовый трафик: что это,Что такое брендовый трафик и чем он отличается от небрендового спроса.,Маркетинговая сегментация запросов.,applied
RankBrain,RankBrain,2666,rankbrain,AI search and GEO,COMPLEX,"RankBrain — система машинного обучения Google, которая помогает интерпретировать запросы и сопоставлять их с релевантными документами. Это часть экосистемы ранжирования, а не отдельная «кнопка» в панели вебмастера.",content/glossary/batch-03/rankbrain.md,алгоритм RankBrain,Алгоритм ранжирования; Поисковый интент; Neural Matching; SEO,RankBrain: что это в Google,"Что такое RankBrain у Google, какую роль системе приписывают и какие выводы безопасны для SEO.",Google historically confirmed RankBrain as ML query/document interpretation component; weights unpublished; not Yandex.,applied
