source_term,canonical_term,wordpress_post_id,final_disposition,publication_eligible,launch_selected,pre_launch_status,post_launch_status,canonical_target,public_url,sitemap_present,related_links_ready,seo_ready,launch_result,launch_notes
Глубина вложенности,Глубина вложенности,2478,APPROVED,YES,YES,draft,publish,Глубина вложенности,https://i-seo.su/glossary/glubina-vlozhennosti/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Гостевой постинг,Аутрич,2479,MERGED,NO,NO,draft,draft,Аутрич,,NO,N/A,NO,NOT_LAUNCHED,disposition=MERGED; canonical_target=Аутрич
ГС,Главная страница сайта,2480,MERGED,NO,NO,draft,draft,Главная страница сайта,,NO,N/A,NO,NOT_LAUNCHED,disposition=MERGED; canonical_target=Главная страница сайта
Дашборд (Dashboard),Дашборд,2481,APPROVED_RENAME,YES,YES,draft,publish,Дашборд,https://i-seo.su/glossary/dashbord/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Длинный хвост (long tail),Длинный хвост,2482,APPROVED_RENAME,YES,YES,draft,publish,Длинный хвост,https://i-seo.su/glossary/dlinnyj-hvost/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Домен,Домен,2483,EXCLUDED,NO,NO,draft,draft,,,NO,N/A,NO,NOT_LAUNCHED,disposition=EXCLUDED
Донор ссылки,Донор ссылки,2484,APPROVED,YES,YES,draft,publish,Донор ссылки,https://i-seo.su/glossary/donor-ssylki/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Дорвей,Дорвей,2485,APPROVED,YES,YES,draft,publish,Дорвей,https://i-seo.su/glossary/dorvej/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Дубли страниц,Дубли страниц,2486,APPROVED,YES,YES,draft,publish,Дубли страниц,https://i-seo.su/glossary/dubli-stranicz/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Естественные ссылки,Естественные ссылки,2487,APPROVED,YES,YES,draft,publish,Естественные ссылки,https://i-seo.su/glossary/estestvennye-ssylki/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Заголовки H1–H6,Заголовки H1–H6,2488,APPROVED_RENAME,YES,YES,draft,publish,Заголовки H1–H6,https://i-seo.su/glossary/zagolovki-h1-h6/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Запрос информационный,Информационный запрос,2489,APPROVED_RENAME,YES,YES,draft,publish,Информационный запрос,https://i-seo.su/glossary/informaczionnyj-zapros/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Запрос коммерческий,Коммерческий запрос,2490,APPROVED_RENAME,YES,YES,draft,publish,Коммерческий запрос,https://i-seo.su/glossary/kommercheskij-zapros/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Запрос навигационный,Навигационный запрос,2491,APPROVED_RENAME,YES,YES,draft,publish,Навигационный запрос,https://i-seo.su/glossary/navigaczionnyj-zapros/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Заспамленность текста,Заспамленность текста,2492,APPROVED,YES,YES,draft,publish,Заспамленность текста,https://i-seo.su/glossary/zaspamlennost-teksta/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Зеркало сайта,Главное зеркало сайта,2493,MERGED,NO,NO,draft,draft,Главное зеркало сайта,,NO,N/A,NO,NOT_LAUNCHED,disposition=MERGED; canonical_target=Главное зеркало сайта
Индекс,Индекс,2494,APPROVED,YES,YES,draft,publish,Индекс,https://i-seo.su/glossary/indeks/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Индекс качества сайта (ИКС),ИКС,2495,APPROVED_RENAME,YES,YES,draft,publish,ИКС,https://i-seo.su/glossary/iks/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Индексация,Индексация,2496,APPROVED,YES,YES,draft,publish,Индексация,https://i-seo.su/glossary/indeksacziya/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Интент,Поисковый интент,2497,APPROVED_RENAME,YES,YES,draft,publish,Поисковый интент,https://i-seo.su/glossary/poiskovyj-intent/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Исходящие ссылки,Ссылка,2498,MERGED,NO,NO,draft,draft,Ссылка,,NO,N/A,NO,NOT_LAUNCHED,disposition=MERGED; canonical_target=Ссылка
Каннибализация запросов,Каннибализация запросов,2499,APPROVED,YES,YES,draft,publish,Каннибализация запросов,https://i-seo.su/glossary/kannibalizacziya-zaprosov/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Канонический URL (canonical),Канонический URL,2500,APPROVED_RENAME,YES,YES,draft,publish,Канонический URL,https://i-seo.su/glossary/kanonicheskij-url/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
КАПЧА (CAPTCHA),CAPTCHA,2501,APPROVED_RENAME,YES,YES,draft,publish,CAPTCHA,https://i-seo.su/glossary/captcha/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Карта сайта (sitemap.xml),Карта сайта,2502,APPROVED_RENAME,YES,YES,draft,publish,Карта сайта,https://i-seo.su/glossary/karta-sajta/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Кластеризация запросов,Кластеризация запросов,2503,APPROVED,YES,YES,draft,publish,Кластеризация запросов,https://i-seo.su/glossary/klasterizacziya-zaprosov/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Клик,Клик,2504,APPROVED,YES,YES,draft,publish,Клик,https://i-seo.su/glossary/klik/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Кликфрод,Кликфрод,2505,APPROVED,YES,YES,draft,publish,Кликфрод,https://i-seo.su/glossary/klikfrod/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Ключевое слово,Ключевое слово,2506,APPROVED,YES,YES,draft,publish,Ключевое слово,https://i-seo.su/glossary/klyuchevoe-slovo/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Конверсия,Конверсия,2507,APPROVED,YES,YES,draft,publish,Конверсия,https://i-seo.su/glossary/konversiya/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Конкурентность запроса,Конкурентность запроса,2508,APPROVED,YES,YES,draft,publish,Конкурентность запроса,https://i-seo.su/glossary/konkurentnost-zaprosa/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Контент,Контент,2509,DEFERRED,NO,NO,draft,draft,,,NO,N/A,NO,NOT_LAUNCHED,disposition=DEFERRED
Контент-маркетинг,Контент-маркетинг,2510,APPROVED,YES,YES,draft,publish,Контент-маркетинг,https://i-seo.su/glossary/kontent-marketing/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Копирайтинг,Копирайтинг,2511,APPROVED,YES,YES,draft,publish,Копирайтинг,https://i-seo.su/glossary/kopirajting/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Крауд-маркетинг,Аутрич,2512,MERGED,NO,NO,draft,draft,Аутрич,,NO,N/A,NO,NOT_LAUNCHED,disposition=MERGED; canonical_target=Аутрич
Краулер (поисковый робот),Поисковый робот,2513,APPROVED_RENAME,YES,YES,draft,publish,Поисковый робот,https://i-seo.su/glossary/poiskovyj-robot/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Краулинг,Краулинг,2514,APPROVED,YES,YES,draft,publish,Краулинг,https://i-seo.su/glossary/krauling/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Краулинговый бюджет,Краулинговый бюджет,2515,APPROVED,YES,YES,draft,publish,Краулинговый бюджет,https://i-seo.su/glossary/kraulingovyj-byudzhet/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Лайк и шара,Лайк и шара,2516,EXCLUDED,NO,NO,draft,draft,,,NO,N/A,NO,NOT_LAUNCHED,disposition=EXCLUDED
Лендинг (посадочная страница),Посадочная страница,2517,APPROVED_RENAME,YES,YES,draft,publish,Посадочная страница,https://i-seo.su/glossary/posadochnaya-stranicza/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Лид,Лид,2518,APPROVED,YES,YES,draft,publish,Лид,https://i-seo.su/glossary/lid/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Линкбилдинг,Линкбилдинг,2519,APPROVED,YES,YES,draft,publish,Линкбилдинг,https://i-seo.su/glossary/linkbilding/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Матрикснет (Matrixnet),MatrixNet,2520,APPROVED_RENAME,YES,YES,draft,publish,MatrixNet,https://i-seo.su/glossary/matrixnet/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Мета-тег Keywords,Метатеги,2521,MERGED,NO,NO,draft,draft,Метатеги,,NO,N/A,NO,NOT_LAUNCHED,disposition=MERGED; canonical_target=Метатеги
Метатеги,Метатеги,2522,APPROVED,YES,YES,draft,publish,Метатеги,https://i-seo.su/glossary/metategi/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Микроразметка (Schema.org),Микроразметка,2523,APPROVED_RENAME,YES,YES,draft,publish,Микроразметка,https://i-seo.su/glossary/mikrorazmetka/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Минусинск (алгоритм),Минусинск,2524,APPROVED_RENAME,YES,YES,draft,publish,Минусинск,https://i-seo.su/glossary/minusinsk/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Мобильная версия сайта,Мобильная версия сайта,2525,APPROVED,YES,YES,draft,publish,Мобильная версия сайта,https://i-seo.su/glossary/mobilnaya-versiya-sajta/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Морда,Морда,2526,MERGED,NO,NO,draft,draft,Главная страница сайта,,NO,N/A,NO,NOT_LAUNCHED,disposition=MERGED; canonical_target=Главная страница сайта
Морфологическое вхождение,Морфологическое вхождение,2527,APPROVED,YES,YES,draft,publish,Морфологическое вхождение,https://i-seo.su/glossary/morfologicheskoe-vhozhdenie/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Мультиязычность сайта,Мультиязычность сайта,2528,APPROVED,YES,YES,draft,publish,Мультиязычность сайта,https://i-seo.su/glossary/multiyazychnost-sajta/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Навигационный интент,Навигационный интент,2529,APPROVED,YES,YES,draft,publish,Навигационный интент,https://i-seo.su/glossary/navigaczionnyj-intent/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Небрендовый трафик,Небрендовый трафик,2530,APPROVED,YES,YES,draft,publish,Небрендовый трафик,https://i-seo.su/glossary/nebrendovyj-trafik/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Неестественная ссылка,Ссылочный спам,2531,MERGED,NO,NO,draft,draft,Ссылочный спам,,NO,N/A,NO,NOT_LAUNCHED,disposition=MERGED; canonical_target=Ссылочный спам
Обмен ссылками между проектами Исполнителя,Обмен ссылками между проектами Исполнителя,2532,EXCLUDED,NO,NO,draft,draft,,,NO,N/A,NO,NOT_LAUNCHED,disposition=EXCLUDED
Обмен тематически близкими ссылками,Обмен тематически близкими ссылками,2533,EXCLUDED,NO,NO,draft,draft,,,NO,N/A,NO,NOT_LAUNCHED,disposition=EXCLUDED
Обратная ссылка (backlink),Обратная ссылка,2534,APPROVED_RENAME,YES,YES,draft,publish,Обратная ссылка,https://i-seo.su/glossary/obratnaya-ssylka/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Оптимизация под голосовой поиск,Оптимизация под голосовой поиск,2535,APPROVED,YES,YES,draft,publish,Оптимизация под голосовой поиск,https://i-seo.su/glossary/optimizacziya-pod-golosovoj-poisk/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Органическая выдача,Органическая выдача,2536,APPROVED,YES,YES,draft,publish,Органическая выдача,https://i-seo.su/glossary/organicheskaya-vydacha/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Органический трафик,Органический трафик,2537,APPROVED,YES,YES,draft,publish,Органический трафик,https://i-seo.su/glossary/organicheskij-trafik/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Отдел антиспама,Отдел антиспама,2538,DEFERRED,NO,NO,draft,draft,,,NO,N/A,NO,NOT_LAUNCHED,disposition=DEFERRED
Отказы (показатель отказов),Показатель отказов,2539,APPROVED_RENAME,YES,YES,draft,publish,Показатель отказов,https://i-seo.su/glossary/pokazatel-otkazov/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Пагинация,Пагинация,2540,APPROVED,YES,YES,draft,publish,Пагинация,https://i-seo.su/glossary/paginacziya/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Панда (алгоритм),Google Panda,2541,APPROVED_RENAME,YES,YES,draft,publish,Google Panda,https://i-seo.su/glossary/google-panda/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Панель вебмастера,Панель вебмастера,2542,APPROVED,YES,YES,draft,publish,Панель вебмастера,https://i-seo.su/glossary/panel-vebmastera/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Переспам ключевыми словами,Заспамленность текста,2543,MERGED,NO,NO,draft,draft,Заспамленность текста,,NO,N/A,NO,NOT_LAUNCHED,disposition=MERGED; canonical_target=Заспамленность текста
Пингвин (алгоритм),Google Penguin,2544,APPROVED_RENAME,YES,YES,draft,publish,Google Penguin,https://i-seo.su/glossary/google-penguin/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Плотность ключевых слов,Плотность ключевых слов,2545,APPROVED,YES,YES,draft,publish,Плотность ключевых слов,https://i-seo.su/glossary/plotnost-klyuchevyh-slov/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Поведенческие факторы,Поведенческие факторы,2546,APPROVED,YES,YES,draft,publish,Поведенческие факторы,https://i-seo.su/glossary/povedencheskie-faktory/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Подсветка в выдаче,Подсветка в выдаче,2547,APPROVED,YES,YES,draft,publish,Подсветка в выдаче,https://i-seo.su/glossary/podsvetka-v-vydache/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Позиции сайта,Позиции сайта,2548,APPROVED,YES,YES,draft,publish,Позиции сайта,https://i-seo.su/glossary/poziczii-sajta/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Поисковая выдача (SERP),Поисковая выдача,2549,APPROVED_RENAME,YES,YES,draft,publish,Поисковая выдача,https://i-seo.su/glossary/poiskovaya-vydacha/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Поисковая контекстная реклама,Поисковая контекстная реклама,2550,APPROVED,YES,YES,draft,publish,Поисковая контекстная реклама,https://i-seo.su/glossary/poiskovaya-kontekstnaya-reklama/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Поисковая оптимизация,SEO,2551,MERGED,NO,NO,draft,draft,SEO,,NO,N/A,NO,NOT_LAUNCHED,disposition=MERGED; canonical_target=SEO
Поисковый запрос,Поисковый запрос,2552,APPROVED,YES,YES,draft,publish,Поисковый запрос,https://i-seo.su/glossary/poiskovyj-zapros/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Поисковый спам,Поисковый спам,2553,APPROVED,YES,YES,draft,publish,Поисковый спам,https://i-seo.su/glossary/poiskovyj-spam/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Посетитель,Посетитель,2554,APPROVED,YES,YES,draft,publish,Посетитель,https://i-seo.su/glossary/posetitel/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Пост-фильтры,Пост-фильтры,2555,DEFERRED,NO,NO,draft,draft,,,NO,N/A,NO,NOT_LAUNCHED,disposition=DEFERRED
ПРЕСЕО,ПРЕСЕО,2556,DEFERRED,NO,NO,draft,draft,,,NO,N/A,NO,NOT_LAUNCHED,disposition=DEFERRED
Продвижение сайта,SEO,2557,MERGED,NO,NO,draft,draft,SEO,,NO,N/A,NO,NOT_LAUNCHED,disposition=MERGED; canonical_target=SEO
Процент вхождений,Процент вхождений,2558,MERGED,NO,NO,draft,draft,Плотность ключевых слов,,NO,N/A,NO,NOT_LAUNCHED,disposition=MERGED; canonical_target=Плотность ключевых слов
Прямые заходы,Прямые заходы,2559,APPROVED,YES,YES,draft,publish,Прямые заходы,https://i-seo.su/glossary/pryamye-zahody/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Разбавленное вхождение,Разбавленное вхождение,2560,APPROVED,YES,YES,draft,publish,Разбавленное вхождение,https://i-seo.su/glossary/razbavlennoe-vhozhdenie/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Ранжирование,Ранжирование,2561,APPROVED,YES,YES,draft,publish,Ранжирование,https://i-seo.su/glossary/ranzhirovanie/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Редирект,Редирект,2562,APPROVED,YES,YES,draft,publish,Редирект,https://i-seo.su/glossary/redirekt/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Редирект 301,Редирект,2563,MERGED,NO,NO,draft,draft,Редирект,,NO,N/A,NO,NOT_LAUNCHED,disposition=MERGED; canonical_target=Редирект
Редирект 302,Редирект,2564,MERGED,NO,NO,draft,draft,Редирект,,NO,N/A,NO,NOT_LAUNCHED,disposition=MERGED; canonical_target=Редирект
Релевантность страницы,Релевантность страницы,2565,APPROVED,YES,YES,draft,publish,Релевантность страницы,https://i-seo.su/glossary/relevantnost-straniczy/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Реферальный трафик,Реферальный трафик,2566,APPROVED,YES,YES,draft,publish,Реферальный трафик,https://i-seo.su/glossary/referalnyj-trafik/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Рунет,Рунет,2567,APPROVED,YES,YES,draft,publish,Рунет,https://i-seo.su/glossary/runet/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Сателлит,Сателлит,2568,APPROVED,YES,YES,draft,publish,Сателлит,https://i-seo.su/glossary/satellit/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
СДЛ,СДЛ,2569,APPROVED,YES,YES,draft,publish,СДЛ,https://i-seo.su/glossary/sdl/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Семантическое ядро,Семантическое ядро,2570,APPROVED,YES,YES,draft,publish,Семантическое ядро,https://i-seo.su/glossary/semanticheskoe-yadro/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Сервер,Сервер,2571,EXCLUDED,NO,NO,draft,draft,,,NO,N/A,NO,NOT_LAUNCHED,disposition=EXCLUDED
Сквозная аналитика,Сквозная аналитика,2572,APPROVED,YES,YES,draft,publish,Сквозная аналитика,https://i-seo.su/glossary/skvoznaya-analitika/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Сквозные ссылки,Внутренняя перелинковка,2573,MERGED,NO,NO,draft,draft,Внутренняя перелинковка,,NO,N/A,NO,NOT_LAUNCHED,disposition=MERGED; canonical_target=Внутренняя перелинковка
Скорость загрузки страницы,Скорость загрузки страницы,2574,APPROVED,YES,YES,draft,publish,Скорость загрузки страницы,https://i-seo.su/glossary/skorost-zagruzki-straniczy/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Скрипт,Скрипт,2575,DEFERRED,NO,NO,draft,draft,,,NO,N/A,NO,NOT_LAUNCHED,disposition=DEFERRED
Сниппет,Сниппет,2576,APPROVED,YES,YES,draft,publish,Сниппет,https://i-seo.su/glossary/snippet/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
СНСС (ранее НПС),СНСС (ранее НПС),2577,DEFERRED,NO,NO,draft,draft,,,NO,N/A,NO,NOT_LAUNCHED,disposition=DEFERRED
Социальные сигналы,Социальные сигналы,2578,APPROVED,YES,YES,draft,publish,Социальные сигналы,https://i-seo.su/glossary/soczialnye-signaly/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
СПЕКТР,СПЕКТР,2579,DEFERRED,NO,NO,draft,draft,,,NO,N/A,NO,NOT_LAUNCHED,disposition=DEFERRED
Ссылка,Ссылка,2580,DEFERRED,NO,NO,draft,draft,,,NO,N/A,NO,NOT_LAUNCHED,disposition=DEFERRED
Ссылочная масса,Ссылочная масса,2581,APPROVED,YES,YES,draft,publish,Ссылочная масса,https://i-seo.su/glossary/ssylochnaya-massa/,YES,YES,YES,PUBLISHED,controlled launch 2026-07-26
Ссылочный агрегатор,Биржа ссылок,2582,MERGED,NO,NO,draft,draft,Биржа ссылок,,NO,N/A,NO,NOT_LAUNCHED,disposition=MERGED; canonical_target=Биржа ссылок
Ссылочный взрыв,Ссылочный спам,2583,MERGED,NO,NO,draft,draft,Ссылочный спам,,NO,N/A,NO,NOT_LAUNCHED,disposition=MERGED; canonical_target=Ссылочный спам
Ссылочный граф,Ссылочный профиль,2584,MERGED,NO,NO,draft,draft,Ссылочный профиль,,NO,N/A,NO,NOT_LAUNCHED,disposition=MERGED; canonical_target=Ссылочный профиль
