source_term,canonical_term,post_id,slug,category,depth,short_definition,content_file,synonyms,related_terms,seo_title,meta_description,verification_status,wordpress_apply_status
Spam Update,Spam Update,2673,spam-update,search engines and indexing,MODERATE,"Spam Update — название обновлений Google, направленных на улучшение обнаружения поискового спама.",content/glossary/batch-04/spam-update.md,антиспам-апдейт; Google Spam Update,Поисковый спам; Ссылочный спам; Google Spam Policies; Апдейт алгоритма,Spam Update: что это за обновление Google,"Что называют Spam Update в Google, как антиспам-обновления связаны с правилами поиска и почему по ним нельзя составить исчерпывающий список дат.","Термин Google для обновлений, направленных на борьбу со спамом; актуальные правила задают Google Spam Policies; даты и охват отдельных обновлений не образуют исчерпывающий универсальный список.",applied
АГС,АГС,2444,ags,search engines and indexing,MODERATE,"АГС — историческое название алгоритма Яндекса, который связывали с ограничением присутствия в поиске низкокачественных сайтов, в том числе дорвеев и площадок, созданных ради ссылок.",content/glossary/batch-04/агс.md,антидорвейный алгоритм,Дорвей; Индексация; Ссылочный профиль,АГС: что это за алгоритм Яндекса,"Что называют АГС в SEO, против каких сайтов был направлен алгоритм Яндекса и почему термин считают историческим.",Исторический термин Яндекса; актуальный статус алгоритма и его механика публично не подтверждены.,applied
Асессор,Асессор,2450,asessor,analytics and metrics,MODERATE,"Асессор — человек-оценщик, который по инструкции проверяет качество поисковой выдачи, страниц или ответов на запросы пользователей.",content/glossary/batch-04/асессор.md,оценщик качества,Релевантность; Поисковый интент; E-E-A-T,Асессор: кто это в поисковых системах,"Кто такой асессор, что он оценивает в поиске и почему его оценка не равна автоматическому ранжированию.",Общее отраслевое определение; конкретные процессы и влияние оценок зависят от поисковой системы.,applied
Аффилированность,Аффилированность,2454,affilirovannost,SEO fundamentals,MODERATE,"Аффилированность в SEO — предполагаемая связь нескольких сайтов одного бизнеса или связанных владельцев, из-за которой поисковая система может ограничивать одновременное присутствие похожих ресурсов в выдаче.",content/glossary/batch-04/аффилированность.md,аффилиат-фильтр,Поисковая выдача; Дублирование контента; SEO,Аффилированность сайтов: что это в SEO,"Что называют аффилированностью сайтов в SEO, какие признаки могут её указывать и почему это не всегда санкция.",Отраслевой термин; точные критерии и последствия поисковые системы полностью не раскрывают.,applied
Биржа ссылок,Биржа ссылок,2459,birzha-ssylok,link building,MODERATE,"Биржа ссылок — сервис-посредник, где владельцы сайтов предлагают платное размещение ссылок, а оптимизаторы выбирают площадки и условия публикации.",content/glossary/batch-04/биржа-ссылок.md,ссылочная биржа,Линкбилдинг; Ссылочный профиль; Ссылочный спам,Биржа ссылок: что это и риски для SEO,"Что такое биржа ссылок, как через неё покупают размещения и почему массовая закупка несёт риск для сайта.","Отраслевой термин; риск манипулятивных ссылок подтверждается правилами поисковых систем, но оценка каждой ссылки контекстна.",applied
Веб-мастер,Веб-мастер,2463,veb-master,SEO fundamentals,SIMPLE,"Веб-мастер — специалист, который поддерживает сайт: следит за его работой, размещает материалы, настраивает технические элементы и разбирается с проблемами в поиске.",content/glossary/batch-04/веб-мастер.md,webmaster,SEO; Индексация; Яндекс Вебмастер,Веб-мастер: кто это и чем занимается,"Кто такой веб-мастер и какие задачи он решает при поддержке сайта, его индексации и техническом состоянии.",Общеупотребимое отраслевое определение.,applied
Вертикальный поиск,Вертикальный поиск,2465,vertikalnyj-poisk,SEO fundamentals,MODERATE,"Вертикальный поиск — поиск внутри определённого типа контента или отрасли: товаров, изображений, новостей, видео, карт, вакансий или объектов недвижимости.",content/glossary/batch-04/вертикальный-поиск.md,,Поисковая выдача; Органическая выдача; Поисковый интент,Вертикальный поиск: что это и примеры,"Что такое вертикальный поиск, чем он отличается от обычной веб-выдачи и как учитывается в SEO.",Общеупотребимое понятие в поиске; состав вертикалей и правила отбора меняются у разных сервисов.,applied
Главная страница сайта,Главная страница сайта,2476,glavnaya-stranicza-sajta,SEO fundamentals,SIMPLE,"Главная страница сайта — начальная страница домена, к которой обычно ведёт основной адрес сайта и навигационный логотип.",content/glossary/batch-04/главная-страница-сайта.md,домашняя страница,Структура сайта; Внутренняя перелинковка; Посадочная страница,Главная страница сайта: назначение и SEO,"Что называют главной страницей сайта, какую информацию на ней размещают и какова её роль в структуре.",Общее определение; состав главной страницы зависит от задач сайта.,applied
Глубина вложенности,Глубина вложенности,2478,glubina-vlozhennosti,SEO fundamentals,MODERATE,Глубина вложенности — количество переходов по внутренним ссылкам от главной или другой стартовой страницы до нужной страницы сайта.,content/glossary/batch-04/глубина-вложенности.md,уровень вложенности,Структура сайта; Внутренняя перелинковка; Индексация,Глубина вложенности страниц: что это в SEO,"Что такое глубина вложенности, как её считают по кликам и почему она связана со структурой и обнаружением страниц.",Техническое SEO-понятие; нет универсальной безопасной глубины в кликах для всех сайтов.,applied
Дашборд (Dashboard),Дашборд,2481,dashbord,analytics and metrics,SIMPLE,"Дашборд — экран или страница с ключевыми показателями, собранными в одном месте для быстрого контроля ситуации.",content/glossary/batch-04/дашборд.md,dashboard,Веб-аналитика; KPI; Яндекс.Метрика,Дашборд: что это в веб-аналитике,"Что такое дашборд, какие показатели на нём собирают и чем он отличается от исходного отчёта.",Общеупотребимое аналитическое определение.,applied
Дорвей,Дорвей,2485,dorvej,SEO fundamentals,MODERATE,"Дорвей — страница или сайт, созданный главным образом для захвата поискового трафика по запросам и перенаправления посетителя на другой ресурс, а не для полезного ответа.",content/glossary/batch-04/дорвей.md,doorway page,АГС; Скрытый текст; Ссылочный спам,Дорвей: что это и почему это рискованный метод,"Что такое дорвей в SEO, как он устроен и почему поисковые системы рассматривают такие страницы как спам.",Отраслевой термин; поисковые системы запрещают создание страниц для манипуляции выдачей и перенаправления пользователей.,applied
КАПЧА (CAPTCHA),CAPTCHA,2501,captcha,security and infrastructure,SIMPLE,"CAPTCHA — проверка, которая помогает отличить человека от автоматической программы при отправке формы, регистрации или другом действии на сайте.",content/glossary/batch-04/captcha.md,капча,Спам; Формы сайта; Безопасность сайта,CAPTCHA: что это и зачем нужна капча,"Что такое CAPTCHA, как она защищает формы от ботов и почему её нужно настраивать без лишних барьеров для людей.",Общее техническое определение; конкретные методы CAPTCHA различаются у провайдеров.,applied
Клик,Клик,2504,klik,SEO fundamentals,SIMPLE,"Клик — нажатие пользователя на ссылку, кнопку, объявление или другой интерактивный элемент.",content/glossary/batch-04/клик.md,click,CTR; Органическая выдача; Конверсия,Клик: что это в интернет-маркетинге,"Что называют кликом в аналитике и рекламе, чем он отличается от визита и почему не каждый клик ведёт к результату.",Общеупотребимое аналитическое определение; правила учёта зависят от системы.,applied
Кликфрод,Кликфрод,2505,klikfrod,SEO fundamentals,MODERATE,"Кликфрод — намеренные недобросовестные клики по рекламным объявлениям, которые имитируют интерес пользователей и могут расходовать бюджет рекламодателя.",content/glossary/batch-04/кликфрод.md,click fraud,Клик; Контекстная реклама; Конверсия,Кликфрод: что это и как его проверяют,"Что такое кликфрод в рекламе, какие действия к нему относят и как не спутать его с обычным нецелевым трафиком.",Отраслевой термин; правила фильтрации и компенсации зависят от рекламной системы.,applied
Лид,Лид,2518,lid,SEO fundamentals,SIMPLE,"Лид — контакт или действие потенциального клиента, которое показывает интерес к предложению и может стать началом продажи.",content/glossary/batch-04/лид.md,заявка,Конверсия; Целевая аудитория; Воронка продаж,Лид: что это в маркетинге,"Что такое лид, почему лид не всегда равен заявке и как его используют для оценки маркетинговых каналов.",Маркетинговый термин; критерии лида компания определяет самостоятельно.,applied
Матрикснет (Matrixnet),MatrixNet,2520,matrixnet,search engines and indexing,COMPLEX,"MatrixNet (Матрикснет) — историческое название технологии машинного обучения, которую Яндекс публично связывал с ранжированием результатов поиска. Она позволяла учитывать множество сигналов и их сочетаний, не сводя качество страницы к одному правилу.",content/glossary/batch-04/matrixnet.md,Матрикснет,Ранжирование; Поисковая выдача; Машинное обучение; Факторы ранжирования,MatrixNet: что это за технология Яндекса,Что известно о MatrixNet — исторической технологии машинного обучения Яндекса для ранжирования поиска.,Исторический термин Яндекса; точные модели и веса факторов не раскрываются. Требуется экспертная проверка перед публикацией.,applied
Морфологическое вхождение,Морфологическое вхождение,2527,morfologicheskoe-vhozhdenie,SEO fundamentals,MODERATE,"Морфологическое вхождение — употребление слов из ключевой фразы в другой грамматической форме: падеже, числе, роде или времени. Например, запрос «купить стол» может быть отражён в тексте как «покупка столов».",content/glossary/batch-04/морфологическое-вхождение.md,,Ключевой запрос; Точное вхождение; Разбавленное вхождение; Поисковый интент,Морфологическое вхождение: что это в SEO,Что называют морфологическим вхождением ключевой фразы и почему текст не стоит строить вокруг форм слов.,Отраслевой SEO-термин; точное влияние формулировок зависит от запроса и поисковой системы.,applied
Мультиязычность сайта,Мультиязычность сайта,2528,multiyazychnost-sajta,SEO fundamentals,MODERATE,"Мультиязычность сайта — наличие версий страниц на разных языках для аудитории с разными языковыми предпочтениями. Это не только перевод интерфейса: пользователю должны быть доступны понятные тексты, навигация и подходящая языковая версия страницы.",content/glossary/batch-04/мультиязычность-сайта.md,,Локализация сайта; hreflang; Дубли страниц; Региональное продвижение,Мультиязычность сайта: что учесть для SEO,"Что такое мультиязычный сайт, чем перевод отличается от локализации и как не смешать языковые версии в поиске.",Техническая и редакционная практика; реализацию hreflang и URL проверяют по документации поисковых систем.,applied
Навигационный интент,Навигационный интент,2529,navigaczionnyj-intent,content and semantics,MODERATE,"Навигационный интент — намерение пользователя найти конкретный сайт, раздел, сервис или страницу через поисковую строку. Примеры: «Яндекс Метрика вход», «личный кабинет банка», «сайт музея».",content/glossary/batch-04/навигационный-интент.md,,Поисковый интент; Брендовый запрос; Навигация сайта; SERP,Навигационный интент: что ищет пользователь,"Что такое навигационный интент в поиске, как его распознать и почему такие запросы часто ведут к конкретному сайту.",Методическая классификация поисковых намерений; выдача меняется в зависимости от запроса и контекста.,applied
Небрендовый трафик,Небрендовый трафик,2530,nebrendovyj-trafik,digital marketing,SIMPLE,"Небрендовый трафик — переходы пользователей, которые пришли по запросам без названия компании, марки или продукта. Например, по фразе «заказать бухгалтерское сопровождение», а не по названию конкретной фирмы.",content/glossary/batch-04/небрендовый-трафик.md,,Брендовый трафик; Органический трафик; Поисковый запрос; Семантическое ядро,Небрендовый трафик: что это такое,Что называют небрендовым трафиком и как отделить переходы по общим поисковым запросам от брендового спроса.,Аналитический сегмент; правила отнесения запросов к бренду задаются в конкретном отчёте.,applied
Оптимизация под голосовой поиск,Оптимизация под голосовой поиск,2535,optimizacziya-pod-golosovoj-poisk,SEO fundamentals,MODERATE,"Оптимизация под голосовой поиск — адаптация контента и данных сайта к запросам, которые пользователь произносит голосом. Такие формулировки часто длиннее и ближе к разговорной речи: «где рядом отремонтировать ноутбук» вместо «ремонт ноутбуков».",content/glossary/batch-04/оптимизация-под-голосовой-поиск.md,,Поисковый интент; Микроразметка; Локальное SEO; Структурированные данные,Оптимизация под голосовой поиск: что это,"Как адаптируют сайт к голосовым запросам: разговорные формулировки, ясные ответы и локальная информация.",Методическая практика; поисковые системы не обещают отдельного ранжирования за «голосовую оптимизацию».,applied
Панель вебмастера,Панель вебмастера,2542,panel-vebmastera,SEO fundamentals,MODERATE,"Панель вебмастера — интерфейс поисковой системы для владельца сайта или специалиста, где можно проверить индексирование, ошибки обхода, видимость в поиске и технические сигналы. На практике к таким сервисам относятся Яндекс Вебмастер и Google Search Console.",content/glossary/batch-04/панель-вебмастера.md,webmaster tools,Яндекс Вебмастер; Google Search Console; Индексация; XML-карта сайта,Панель вебмастера: что это и зачем нужна,"Что такое панель вебмастера, какие данные она даёт владельцу сайта и почему её не заменяет обычная веб-аналитика.",Общее название инструментов поисковых систем; набор отчётов зависит от сервиса.,applied
Подсветка в выдаче,Подсветка в выдаче,2547,podsvetka-v-vydache,search engines and indexing,SIMPLE,"Подсветка в выдаче — визуальное выделение слов или фраз из запроса в заголовке и описании результата поиска. Обычно поисковая система делает выделение жирным, чтобы пользователь быстрее увидел связь результата со своим запросом.",content/glossary/batch-04/подсветка-в-выдаче.md,,Сниппет; Поисковая выдача; Поисковый запрос,Подсветка в выдаче: что означают выделенные слова,Что такое подсветка слов в поисковой выдаче и почему выделение в сниппете не является гарантией позиции.,Наблюдаемая функция интерфейса поисковой выдачи; правила отображения определяет поисковая система.,applied
Позиции сайта,Позиции сайта,2548,poziczii-sajta,SEO fundamentals,MODERATE,"Позиции сайта — место страницы в результатах поиска по конкретному запросу. Обычно говорят о позиции URL, а не сайта целиком: разные страницы одного домена могут занимать разные места по разным формулировкам.",content/glossary/batch-04/позиции-сайта.md,место в выдаче,Видимость сайта; Ранжирование; Органическая выдача; SERP,Позиции сайта: что это в поисковой выдаче,"Что называют позициями сайта, от чего зависит место в выдаче и почему нельзя смотреть на него без региона и устройства.","Аналитический показатель; выдача персонализируется и меняется по региону, устройству и времени проверки.",applied
Поисковый спам,Поисковый спам,2553,poiskovyj-spam,SEO fundamentals,MODERATE,"Поисковый спам — действия, которые пытаются манипулировать поисковой выдачей без реальной пользы для пользователя. К нему могут относить скрытый текст, массовое создание однотипных страниц, неестественные ссылки и другие приёмы, нарушающие правила поисковых систем.",content/glossary/batch-04/поисковый-спам.md,,Переоптимизация; Ссылочный спам; Ранжирование; Фильтры поисковых систем,Поисковый спам: что это и какие практики рискованны,"Что относят к поисковому спаму, почему манипуляции выдачей рискованны и чем они отличаются от нормальной оптимизации.",Обобщающий термин; конкретные нарушения и меры определяются правилами поисковых систем.,applied
Посетитель,Посетитель,2554,posetitel,SEO fundamentals,SIMPLE,"Посетитель — человек или, в отчётах аналитики, идентифицированный пользователь, который открыл сайт. В повседневной речи термин часто используют как синоним пользователя, но в статистике важно уточнять метод подсчёта.",content/glossary/batch-04/посетитель.md,,Пользователь; Визит; Сессия; Уникальный посетитель,Посетитель сайта: что это в веб-аналитике,"Кого называют посетителем сайта и чем посетитель отличается от визита, сессии и уникального пользователя.",Аналитический термин; конкретное определение зависит от системы аналитики и правил идентификации.,applied
Прямые заходы,Прямые заходы,2559,pryamye-zahody,SEO fundamentals,MODERATE,"Прямые заходы — визиты, для которых система аналитики не получила источник перехода. В простом случае это пользователь, введший адрес сайта в браузере или открывший закладку.",content/glossary/batch-04/прямые-заходы.md,direct traffic,Источник трафика; UTM-метки; Реферальный трафик; Веб-аналитика,Прямые заходы: что это в аналитике,Что относят к прямым заходам и почему этот канал в отчёте не всегда означает ручной ввод адреса сайта.,Аналитическая классификация; правила атрибуции и обработки реферера зависят от системы аналитики.,applied
Разбавленное вхождение,Разбавленное вхождение,2560,razbavlennoe-vhozhdenie,SEO fundamentals,SIMPLE,"Разбавленное вхождение — вариант ключевой фразы, в котором между её словами добавлены другие слова. Например, запрос «ремонт квартир» может быть использован как «качественный ремонт квартир в новостройке».",content/glossary/batch-04/разбавленное-вхождение.md,,Ключевой запрос; Точное вхождение; Морфологическое вхождение; Переоптимизация,Разбавленное вхождение: что это в SEO-тексте,Что такое разбавленное вхождение ключевой фразы и почему естественный текст важнее механического порядка слов.,Отраслевой SEO-термин; не является отдельным подтверждённым фактором ранжирования.,applied
Реферальный трафик,Реферальный трафик,2566,referalnyj-trafik,SEO fundamentals,SIMPLE,"Реферальный трафик — переходы на сайт по ссылкам с других сайтов, которые система аналитики распознала как внешний источник. В отчёте обычно видно домен страницы, с которой пришёл пользователь.",content/glossary/batch-04/реферальный-трафик.md,referral traffic,Источник трафика; Внешняя ссылка; Прямые заходы; UTM-метки,Реферальный трафик: что это такое,"Что называют реферальным трафиком, как он попадает в отчёты и почему данные об источнике могут быть неполными.",Аналитический термин; состав канала зависит от переданного реферера и настроек системы аналитики.,applied
Рунет,Рунет,2567,runet,SEO fundamentals,SIMPLE,"Рунет — условное название русскоязычной части интернета: сайтов, сервисов и аудитории, использующих русский язык. Термин не ограничивается доменной зоной .ru и не имеет строго закреплённых технических границ.",content/glossary/batch-04/рунет.md,русскоязычный интернет,Поисковая выдача; Яндекс; Google; Региональное продвижение,Рунет: что это такое,"Что называют Рунетом, почему это не просто доменная зона .ru и как термин используют в маркетинге и SEO.","Общеупотребительный термин; его границы определяются языком и аудиторией, а не единым техническим реестром.",applied
Сателлит,Сателлит,2568,satellit,SEO fundamentals,MODERATE,"Сателлит — дополнительный сайт, созданный рядом с основным проектом. В SEO этим словом часто называют ресурс, который используют главным образом для размещения ссылок или передачи трафика на продвигаемый сайт.",content/glossary/batch-04/сателлит.md,сайт-сателлит,Ссылочный спам; PBN; Линкбилдинг; Поисковый спам,Сателлит: что это в SEO и какие риски,"Что называют сайтом-сателлитом, когда он становится манипулятивной схемой и почему такие практики рискованны.",Отраслевой термин; использование сети сайтов для манипуляции ссылочными сигналами может нарушать правила поисковых систем.,applied
СДЛ,СДЛ,2569,sdl,SEO fundamentals,MODERATE,"СДЛ — сокращение от «сайт для людей»: так в SEO неформально называют ресурс, который решает задачу посетителя, а не создаётся только ради поискового трафика или ссылок. Это не официальный статус и не измеряемый балл поисковой системы.",content/glossary/batch-04/сдл.md,сайт для людей,Пользовательский опыт; Качество контента; Поисковый спам; Релевантность страницы,СДЛ: что означает «сайт для людей»,"Что в SEO называют СДЛ, по каким признакам оценивают пользу сайта и почему это не официальный статус поисковика.","Отраслевое выражение, а не официальный класс или метрика поисковых систем.",applied
Социальные сигналы,Социальные сигналы,2578,soczialnye-signaly,digital marketing,MODERATE,"Социальные сигналы — действия и реакции пользователей в социальных сетях: публикации, репосты, комментарии, отметки «нравится», подписки и упоминания бренда. Их используют для оценки интереса аудитории к контенту или кампании.",content/glossary/batch-04/социальные-сигналы.md,сигналы из социальных сетей,SMM; Контент-маркетинг; Реферальный трафик; Брендовый трафик,Социальные сигналы: что это в digital-маркетинге,"Что называют социальными сигналами, как их используют в маркетинге и почему лайки не стоит считать официальным фактором ранжирования.",Маркетинговый термин; поисковые системы не публикуют социальные реакции как универсальный официальный фактор ранжирования.,applied
Ссылочная масса,Ссылочная масса,2581,ssylochnaya-massa,link building,MODERATE,"Ссылочная масса — совокупность внешних ссылок, ведущих на сайт или отдельную страницу. На практике понятие часто используют как синоним ссылочного профиля, хотя полезно учитывать не только количество, но и состав таких ссылок.",content/glossary/batch-04/ссылочная-масса.md,ссылочный профиль,Обратная ссылка; Донор ссылки; Анкорный лист; Линкбилдинг,Ссылочная масса: что это в SEO,"Что называют ссылочной массой, из чего состоит ссылочный профиль и почему количество ссылок не равно их качеству.",Отраслевой термин; поисковые системы не раскрывают точную оценку ссылочных сигналов.,applied
Счетчик посещаемости,Счетчик посещаемости,2588,schetchik-poseshhaemosti,SEO fundamentals,SIMPLE,"Счетчик посещаемости — код или сервис веб-аналитики, который фиксирует посещения сайта и формирует статистику по аудитории. В разговорной речи так могут называть и публичный информер с числом визитов.",content/glossary/batch-04/счетчик-посещаемости.md,счётчик сайта,Веб-аналитика; Визит; Уникальный посетитель; Источник трафика,Счетчик посещаемости: что это такое,"Что такое счётчик посещаемости сайта, какие данные он собирает и почему его показания зависят от настроек аналитики.",Общее название аналитического кода или сервиса; состав и точность данных зависят от реализации и согласий пользователя.,applied
Текстовые факторы,Текстовые факторы,2591,tekstovye-faktory,SEO fundamentals,MODERATE,"Текстовые факторы — условное название характеристик текста, которые могут помогать поисковой системе понять тему и полезность страницы. К ним относят соответствие запросу, полноту ответа, структуру, понятность формулировок и употребление терминов по теме.",content/glossary/batch-04/текстовые-факторы.md,текстовые сигналы,Релевантность страницы; Качество контента; Переоптимизация; Поисковый интент,Текстовые факторы: что это в SEO,"Что относят к текстовым факторам, как текст связан с релевантностью страницы и почему нельзя сводить SEO к плотности ключевых слов.",Обобщающий отраслевой термин; точный набор сигналов и их веса поисковые системы не раскрывают.,applied
тИЦ,тИЦ,2593,ticz,SEO fundamentals,MODERATE,"тИЦ — тематический индекс цитирования, исторический показатель Яндекса, который связывали с авторитетностью сайта по ссылкам. Яндекс отменил тИЦ в 2018 году; использовать его как актуальную метрику нельзя.",content/glossary/batch-04/тиц.md,тематический индекс цитирования,ИКС; Ссылочная масса; Яндекс Вебмастер; История SEO,тИЦ: что это за исторический показатель Яндекса,"Что такое тематический индекс цитирования, почему Яндекс отменил тИЦ и чем он не является сегодня.",Историческая метрика Яндекса: тИЦ отменён и заменён ИКС; не является действующим показателем для оценки сайта.,applied
Точное вхождение,Точное вхождение,2595,tochnoe-vhozhdenie,SEO fundamentals,SIMPLE,"Точное вхождение — употребление ключевой фразы в тексте без изменения слов и их порядка. Например, запрос «ремонт стиральных машин» используется в той же форме.",content/glossary/batch-04/точное-вхождение.md,точное совпадение фразы,Ключевой запрос; Морфологическое вхождение; Разбавленное вхождение; Переоптимизация,Точное вхождение: что это в SEO-тексте,Что называют точным вхождением ключевой фразы и почему его не нужно повторять в тексте механически.,Отраслевой SEO-термин; не является отдельным подтверждённым фактором ранжирования.,applied
Транзакционный интент,Транзакционный интент,2596,tranzakczionnyj-intent,content and semantics,MODERATE,"Транзакционный интент — намерение пользователя совершить действие: купить товар, заказать услугу, оформить запись, скачать продукт или оставить заявку. Его также называют коммерческим интентом.",content/glossary/batch-04/транзакционный-интент.md,коммерческий интент,Поисковый интент; Целевой поисковый запрос; Конверсия; Коммерческие факторы,Транзакционный интент: что это в поиске,"Что такое транзакционный интент, по каким признакам его распознать и какой контент нужен пользователю, готовому к действию.","Методическая классификация поискового намерения; состав выдачи зависит от формулировки, региона и контекста.",applied
Траст сайта,Траст сайта,2597,trast-sajta,SEO fundamentals,MODERATE,"Траст сайта — неформальное SEO-обозначение предполагаемого уровня доверия к ресурсу. Термином могут описывать репутацию, качество ссылочного окружения, историю домена, прозрачность компании и полезность материалов, но это не официальный балл Google или Яндекса.",content/glossary/batch-04/траст-сайта.md,доверие к сайту; авторитетность сайта,Репутация сайта; Ссылочный профиль; Качество контента; Domain Authority,Траст сайта: что это в SEO,"Что называют трастом сайта, почему это не официальный балл поисковика и как не подменять оценку проекта одной метрикой.",Методический и отраслевой термин; не существует единого публичного официального показателя траста у Google или Яндекса.,applied
