"exact path","item type","directory/file","size bytes","size readable","created time","modified time","related wave","protected status","replacement authority","ownership confidence","planned action","deletion risk","reason"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\foundation-002-v9-pre-implementation","backup-pre-E54","directory","256135","250,13 KB","2026-07-02T22:05:20","2026-07-02T22:05:20","pre-E54","RETAIN_PENDING","later operator map","HIGH","MANUAL_REVIEW","HIGH","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\foundation-002a-pre-access-encoding-wpilot","backup-pre-E54","directory","267684","261,41 KB","2026-07-02T22:52:04","2026-07-02T22:52:04","pre-E54","RETAIN_PENDING","later operator map","HIGH","MANUAL_REVIEW","HIGH","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\fw07c2b-wpilot-write-proof-pre-20260702T171216Z","backup-pre-E54","directory","925782","904,08 KB","2026-07-03T00:12:30","2026-07-03T00:12:30","pre-E54","RETAIN_PENDING","later operator map","HIGH","MANUAL_REVIEW","HIGH","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\fw07c2b-wpilot-write-proof-pre-20260702T171254Z","backup-pre-E54","directory","925782","904,08 KB","2026-07-03T00:13:08","2026-07-03T00:13:08","pre-E54","RETAIN_PENDING","later operator map","HIGH","MANUAL_REVIEW","HIGH","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\fw07c2b-wpilot-write-proof-pre-20260702T171341Z","backup-pre-E54","directory","928949","907,18 KB","2026-07-03T00:13:53","2026-07-03T00:13:53","pre-E54","RETAIN_PENDING","later operator map","HIGH","MANUAL_REVIEW","HIGH","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\fw07c2b-wpilot-write-proof-pre-20260702T171432Z","backup-pre-E54","directory","928949","907,18 KB","2026-07-03T00:14:46","2026-07-03T00:14:46","pre-E54","RETAIN_PENDING","later operator map","HIGH","MANUAL_REVIEW","HIGH","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\fw07c2b-wpilot-write-proof-pre-20260702T171556Z","backup-pre-E54","directory","928949","907,18 KB","2026-07-03T00:16:10","2026-07-03T00:16:10","pre-E54","RETAIN_PENDING","later operator map","HIGH","MANUAL_REVIEW","HIGH","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\fw07c2b-wpilot-write-proof-pre-20260702T171715Z","backup-pre-E54","directory","928949","907,18 KB","2026-07-03T00:17:28","2026-07-03T00:17:28","pre-E54","RETAIN_PENDING","later operator map","HIGH","MANUAL_REVIEW","HIGH","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\fw07c2c-filesystem-delivery-pre-20260702T180312Z","backup-pre-E54","directory","17212","16,81 KB","2026-07-03T01:03:25","2026-07-03T01:03:25","pre-E54","RETAIN_PENDING","later operator map","HIGH","MANUAL_REVIEW","HIGH","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\fw07c2c-filesystem-delivery-pre-20260702T180335Z","backup-pre-E54","directory","17212","16,81 KB","2026-07-03T01:03:49","2026-07-03T01:03:49","pre-E54","RETAIN_PENDING","later operator map","HIGH","MANUAL_REVIEW","HIGH","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\node_modules","backup-pre-E54","directory","12703248","12,11 MB","2026-07-16T18:29:20","2026-07-16T18:29:21","pre-E54","RETAIN_PENDING","later operator map","HIGH","MANUAL_REVIEW","HIGH","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\rewrite-flush-micro-gate-pre-20260704-174923","backup-pre-E54","directory","1362034","1,30 MB","2026-07-04T17:49:32","2026-07-04T17:49:32","pre-E54","RETAIN_PENDING","later operator map","HIGH","MANUAL_REVIEW","HIGH","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\rewrite-rule-repair-pre-20260704-190040","backup-pre-E54","directory","1086873","1,04 MB","2026-07-04T19:00:40","2026-07-04T19:00:40","pre-E54","RETAIN_PENDING","later operator map","HIGH","MANUAL_REVIEW","HIGH","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d1-rerun-runtime-delivery-pre-20260704-032308","backup-pre-E54","directory","22999","22,46 KB","2026-07-04T03:23:08","2026-07-04T03:23:08","pre-E54","RETAIN_PENDING","later operator map","HIGH","MANUAL_REVIEW","HIGH","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d1-rerun-runtime-delivery-pre-20260704-032355","backup-pre-E54","directory","22999","22,46 KB","2026-07-04T03:23:55","2026-07-04T03:23:55","pre-E54","RETAIN_PENDING","later operator map","HIGH","MANUAL_REVIEW","HIGH","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d2-object-skeleton-pre-20260704-040407","backup-pre-E54","directory","1206759","1,15 MB","2026-07-04T04:04:07","2026-07-04T04:04:07","pre-E54","RETAIN_PENDING","later operator map","HIGH","MANUAL_REVIEW","HIGH","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d4-rerun-minimal-content-seed-pre-20260704-054146","backup-pre-E54","directory","1432138","1,37 MB","2026-07-04T05:41:46","2026-07-04T05:41:46","pre-E54","RETAIN_PENDING","later operator map","HIGH","MANUAL_REVIEW","HIGH","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d7a-runtime-delivery-pre-20260705-000434","backup-pre-E54","directory","45393","44,33 KB","2026-07-05T00:04:34","2026-07-05T00:04:34","pre-E54","RETAIN_PENDING","later operator map","HIGH","MANUAL_REVIEW","HIGH","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d7b-home-runtime-delivery-pre-20260705-002441","backup-pre-E54","directory","4123898","3,93 MB","2026-07-05T00:24:41","2026-07-05T00:24:41","pre-E54","RETAIN_PENDING","later operator map","HIGH","MANUAL_REVIEW","HIGH","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d7c-services-hub-runtime-delivery-pre-20260705-013141","backup-pre-E54","directory","4150490","3,96 MB","2026-07-05T01:31:41","2026-07-05T01:31:41","pre-E54","RETAIN_PENDING","later operator map","HIGH","MANUAL_REVIEW","HIGH","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d7d-service-runtime-delivery-pre-20260705-015917","backup-pre-E54","directory","4174491","3,98 MB","2026-07-05T01:59:17","2026-07-05T01:59:17","pre-E54","RETAIN_PENDING","later operator map","HIGH","MANUAL_REVIEW","HIGH","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d7e-contacts-runtime-delivery-pre-20260705-022630","backup-pre-E54","directory","4210270","4,02 MB","2026-07-05T02:26:30","2026-07-05T02:26:30","pre-E54","RETAIN_PENDING","later operator map","HIGH","MANUAL_REVIEW","HIGH","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d8a-site-options-seed-pre-20260705-033228","backup-pre-E54","directory","1068541","1,02 MB","2026-07-05T03:32:28","2026-07-05T03:33:04","pre-E54","RETAIN_PENDING","later operator map","HIGH","MANUAL_REVIEW","HIGH","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d8b-home-content-seed-pre-20260704-204316","backup-pre-E54","directory","1073443","1,02 MB","2026-07-05T03:43:16","2026-07-05T03:43:16","pre-E54","RETAIN_PENDING","later operator map","HIGH","MANUAL_REVIEW","HIGH","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d8c-services-mvp-content-seed-pre-20260704-205431","backup-pre-E54","directory","1087806","1,04 MB","2026-07-05T03:54:31","2026-07-05T03:54:31","pre-E54","RETAIN_PENDING","later operator map","HIGH","MANUAL_REVIEW","HIGH","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d8d-services-hub-content-seed-pre-20260704-210430","backup-pre-E54","directory","1109866","1,06 MB","2026-07-05T04:04:30","2026-07-05T04:04:30","pre-E54","RETAIN_PENDING","later operator map","HIGH","MANUAL_REVIEW","HIGH","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d8e-contacts-content-seed-pre-20260704-211441","backup-pre-E54","directory","1114860","1,06 MB","2026-07-05T04:14:41","2026-07-05T04:14:41","pre-E54","RETAIN_PENDING","later operator map","HIGH","MANUAL_REVIEW","HIGH","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d9i-controlled-acf-seed-pre-20260705-141225","backup-pre-E54","directory","1125432","1,07 MB","2026-07-05T21:12:25","2026-07-05T21:12:25","pre-E54","RETAIN_PENDING","later operator map","HIGH","MANUAL_REVIEW","HIGH","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d9k-controlled-media-upload-pre-20260705-145628","backup-pre-E54","directory","1122602","1,07 MB","2026-07-05T21:56:28","2026-07-05T21:56:28","pre-E54","RETAIN_PENDING","later operator map","HIGH","MANUAL_REVIEW","HIGH","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d9l-admin-editor-acf-visibility-pre-20260705-221742","backup-pre-E54","directory","0","","2026-07-05T22:17:42","2026-07-05T22:17:42","pre-E54","RETAIN_PENDING","later operator map","HIGH","MANUAL_REVIEW","HIGH","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d9l-admin-editor-acf-visibility-pre-20260705-221759","backup-pre-E54","directory","1149731","1,10 MB","2026-07-05T22:17:59","2026-07-05T22:18:03","pre-E54","RETAIN_PENDING","later operator map","HIGH","MANUAL_REVIEW","HIGH","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d9m-native-page-content-cleanup-pre-20260705-154624","backup-pre-E54","directory","1399816","1,33 MB","2026-07-05T22:46:24","2026-07-05T22:46:24","pre-E54","RETAIN_PENDING","later operator map","HIGH","MANUAL_REVIEW","HIGH","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d9o-acf-reviews-teaser-required-flag-pre-20260705-232203","backup-pre-E54","directory","1376461","1,31 MB","2026-07-05T23:22:03","2026-07-05T23:22:03","pre-E54","RETAIN_PENDING","later operator map","HIGH","MANUAL_REVIEW","HIGH","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d9o-acf-reviews-teaser-required-flag-pre-20260705-232217","backup-pre-E54","directory","1378985","1,32 MB","2026-07-05T23:22:17","2026-07-05T23:22:17","pre-E54","RETAIN_PENDING","later operator map","HIGH","MANUAL_REVIEW","HIGH","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d9r-reviews-shared-include-pre-20260706-003643","backup-pre-E54","directory","1302654","1,24 MB","2026-07-06T00:36:43","2026-07-06T00:36:43","pre-E54","RETAIN_PENDING","later operator map","HIGH","MANUAL_REVIEW","HIGH","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d9s-controlled-reviews-options-seed-pre-20260706-005443","backup-pre-E54","directory","1308800","1,25 MB","2026-07-06T00:54:43","2026-07-06T00:54:44","pre-E54","RETAIN_PENDING","later operator map","HIGH","MANUAL_REVIEW","HIGH","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d9s-controlled-reviews-options-seed-pre-20260706-005734","backup-pre-E54","directory","1309196","1,25 MB","2026-07-06T00:57:34","2026-07-06T00:57:34","pre-E54","RETAIN_PENDING","later operator map","HIGH","MANUAL_REVIEW","HIGH","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d9t-reviews-options-key-fix-pre-20260706-010904","backup-pre-E54","directory","1326188","1,26 MB","2026-07-06T01:09:04","2026-07-06T01:09:04","pre-E54","RETAIN_PENDING","later operator map","HIGH","MANUAL_REVIEW","HIGH","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d9u-reviews-admin-ux-repair-pre-20260706-013004","backup-pre-E54","directory","1335539","1,27 MB","2026-07-06T01:30:04","2026-07-06T01:30:04","pre-E54","RETAIN_PENDING","later operator map","HIGH","MANUAL_REVIEW","HIGH","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d9w-reviews-admin-layout-repair-pre-20260706-021050","backup-pre-E54","directory","1401221","1,34 MB","2026-07-06T02:10:50","2026-07-06T02:10:50","pre-E54","RETAIN_PENDING","later operator map","HIGH","MANUAL_REVIEW","HIGH","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d9x-reviews-binding-repair-pre-20260706-023410","backup-pre-E54","directory","1448881","1,38 MB","2026-07-06T02:34:10","2026-07-06T02:34:10","pre-E54","RETAIN_PENDING","later operator map","HIGH","MANUAL_REVIEW","HIGH","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e1-legal-static-copy-seed-pre-20260706-035240","backup-pre-E54","directory","1425202","1,36 MB","2026-07-06T03:52:40","2026-07-06T03:52:40","pre-E54","RETAIN_PENDING","later operator map","HIGH","MANUAL_REVIEW","HIGH","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e1-legal-static-copy-seed-pre-20260706-035307","backup-pre-E54","directory","1442603","1,38 MB","2026-07-06T03:53:07","2026-07-06T03:53:08","pre-E54","RETAIN_PENDING","later operator map","HIGH","MANUAL_REVIEW","HIGH","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e14-service-admin-fields-service-tree-demo-content-repair-pre-20260707T104318Z","backup-pre-E54","directory","1581554","1,51 MB","2026-07-07T17:43:18","2026-07-07T17:43:18","pre-E54","RETAIN_PENDING","later operator map","HIGH","MANUAL_REVIEW","HIGH","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e14-service-admin-fields-service-tree-demo-content-repair-pre-20260707T104328Z","backup-pre-E54","directory","1666693","1,59 MB","2026-07-07T17:43:28","2026-07-07T17:43:28","pre-E54","RETAIN_PENDING","later operator map","HIGH","MANUAL_REVIEW","HIGH","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e15-service-mini-description-source-subdivision-sliders-regression-repair-pre-20260707T115432Z","backup-pre-E54","directory","1702951","1,62 MB","2026-07-07T18:54:32","2026-07-07T18:54:32","pre-E54","RETAIN_PENDING","later operator map","HIGH","MANUAL_REVIEW","HIGH","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e16-pre-admin-architecture-and-cleanup-audit-20260707-223340","backup-pre-E54","directory","2240133","2,14 MB","2026-07-07T22:33:40","2026-07-07T22:33:42","pre-E54","RETAIN_PENDING","later operator map","HIGH","MANUAL_REVIEW","HIGH","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e17-site-settings-ia-skeleton-pre-20260707-235348","backup-pre-E54","directory","2121391","2,02 MB","2026-07-07T23:53:48","2026-07-07T23:55:57","pre-E54","RETAIN_PENDING","later operator map","HIGH","MANUAL_REVIEW","HIGH","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e18-reusable-blocks-batch-1-fields-pre-20260708-001410","backup-pre-E54","directory","1581055","1,51 MB","2026-07-08T00:14:10","2026-07-08T00:16:03","pre-E54","RETAIN_PENDING","later operator map","HIGH","MANUAL_REVIEW","HIGH","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e19-reusable-blocks-admin-visibility-repair-pre-20260708-004956","backup-pre-E54","directory","0","","2026-07-08T00:49:56","2026-07-08T00:49:56","pre-E54","RETAIN_PENDING","later operator map","HIGH","MANUAL_REVIEW","HIGH","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e19-reusable-blocks-admin-visibility-repair-pre-20260708-005100","backup-pre-E54","directory","1571812","1,50 MB","2026-07-08T00:51:01","2026-07-08T00:54:30","pre-E54","RETAIN_PENDING","later operator map","HIGH","MANUAL_REVIEW","HIGH","Pre-E54; deferred per Phase2 — not first-pass delete"
