"exact path","item type","directory/file","size bytes","size readable","planned action","post_cleanup_status","protected status","reason"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e57-before-lifebuoy-global-parallax-20260716-212623","backup","directory","1442192","1,38 MB","DELETE_CONFIRMED","DELETED","REMOVABLE","Phase2 DELETE_IN_CLEANUP_PHASE; revalidated exists; superseded"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e57-fix01-before-lifebuoy-motion-refinement-20260716-214936","backup","directory","1383175","1,32 MB","DELETE_CONFIRMED","DELETED","REMOVABLE","Phase2 DELETE_IN_CLEANUP_PHASE; revalidated exists; superseded"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e57-fix02-before-lifebuoy-start-reveal-easing-rotation-20260716-220628","backup","directory","1373048","1,31 MB","DELETE_CONFIRMED","DELETED","REMOVABLE","Phase2 DELETE_IN_CLEANUP_PHASE; revalidated exists; superseded"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e59-before-layout-polish-maps-footer-comfort-admin-20260717-001046","backup","directory","293509283","279,91 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Phase2 MANUAL_REVIEW mid-size checkpoint"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e59-fix01-before-comfort-contacts-footer-corrections-20260717-013408","backup","directory","295300476","281,62 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Phase2 MANUAL_REVIEW mid-size checkpoint"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e60-before-nav-breadcrumb-cta-service-links-20260717-015352","backup","directory","7724134","7,37 MB","DELETE_CONFIRMED","DELETED","REMOVABLE","Phase2 DELETE_IN_CLEANUP_PHASE; revalidated exists; superseded"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e60-fix01-before-breadcrumb-subnav-reviews-correction-20260717-020758","backup","directory","9229585","8,80 MB","DELETE_CONFIRMED","DELETED","REMOVABLE","Phase2 DELETE_IN_CLEANUP_PHASE; revalidated exists; superseded"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e61-before-admin-controls-contacts-blog-reviews-ocentre-home-20260717-141747","backup","directory","294330379","280,70 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Phase2 MANUAL_REVIEW mid-size checkpoint"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e62a-before-404-breadcrumb-wrapper-phone-mask-20260717-160948","backup","directory","6997834","6,67 MB","DELETE_CONFIRMED","DELETED","REMOVABLE","Phase2 DELETE_IN_CLEANUP_PHASE; revalidated exists; superseded"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e62b-before-blog-reviews-pagination-seo-demo-content-20260717-162925","backup","directory","7632208","7,28 MB","DELETE_CONFIRMED","DELETED","REMOVABLE","Phase2 DELETE_IN_CLEANUP_PHASE; revalidated exists; superseded"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e62c-before-ocentre-service-admin-review-anchor-final-regression-20260717-164734","backup","directory","8614830","8,22 MB","DELETE_CONFIRMED","DELETED","REMOVABLE","Phase2 DELETE_IN_CLEANUP_PHASE; revalidated exists; superseded"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e62d-before-program-mini-descriptions-404-figma-correction-20260717-170730","backup","directory","10284388","9,81 MB","DELETE_CONFIRMED","DELETED","REMOVABLE","Phase2 DELETE_IN_CLEANUP_PHASE; revalidated exists; superseded"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e62e-before-404-decor-wordpress-search-20260717-173256","backup","directory","6191728","5,90 MB","DELETE_CONFIRMED","DELETED","REMOVABLE","Phase2 DELETE_IN_CLEANUP_PHASE; revalidated exists; superseded"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e62e-fix01-before-search-wrapper-trigger-placement-20260717-174720","backup","directory","8246079","7,86 MB","DELETE_CONFIRMED","DELETED","REMOVABLE","Phase2 DELETE_IN_CLEANUP_PHASE; revalidated exists; superseded"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\foundation-001","backup-pre-E54","directory","53138712","50,68 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\foundation-002-v9-pre-implementation","backup-pre-E54","directory","256135","250,13 KB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\foundation-002a-pre-access-encoding-wpilot","backup-pre-E54","directory","267684","261,41 KB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\fw07c2b-wpilot-write-proof-pre-20260702T171216Z","backup-pre-E54","directory","925782","904,08 KB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\fw07c2b-wpilot-write-proof-pre-20260702T171254Z","backup-pre-E54","directory","925782","904,08 KB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\fw07c2b-wpilot-write-proof-pre-20260702T171341Z","backup-pre-E54","directory","928949","907,18 KB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\fw07c2b-wpilot-write-proof-pre-20260702T171432Z","backup-pre-E54","directory","928949","907,18 KB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\fw07c2b-wpilot-write-proof-pre-20260702T171556Z","backup-pre-E54","directory","928949","907,18 KB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\fw07c2b-wpilot-write-proof-pre-20260702T171715Z","backup-pre-E54","directory","928949","907,18 KB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\fw07c2c-filesystem-delivery-pre-20260702T180312Z","backup-pre-E54","directory","17212","16,81 KB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\fw07c2c-filesystem-delivery-pre-20260702T180335Z","backup-pre-E54","directory","17212","16,81 KB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\node_modules","backup-pre-E54","directory","12703248","12,11 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\rewrite-flush-micro-gate-pre-20260704-174923","backup-pre-E54","directory","1362034","1,30 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\rewrite-rule-repair-pre-20260704-190040","backup-pre-E54","directory","1086873","1,04 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d1-rerun-runtime-delivery-pre-20260704-032308","backup-pre-E54","directory","22999","22,46 KB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d1-rerun-runtime-delivery-pre-20260704-032355","backup-pre-E54","directory","22999","22,46 KB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d2-object-skeleton-pre-20260704-040407","backup-pre-E54","directory","1206759","1,15 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d4-rerun-minimal-content-seed-pre-20260704-054146","backup-pre-E54","directory","1432138","1,37 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d7a-runtime-delivery-pre-20260705-000434","backup-pre-E54","directory","45393","44,33 KB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d7b-home-runtime-delivery-pre-20260705-002441","backup-pre-E54","directory","4123898","3,93 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d7c-services-hub-runtime-delivery-pre-20260705-013141","backup-pre-E54","directory","4150490","3,96 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d7d-service-runtime-delivery-pre-20260705-015917","backup-pre-E54","directory","4174491","3,98 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d7e-contacts-runtime-delivery-pre-20260705-022630","backup-pre-E54","directory","4210270","4,02 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d8a-site-options-seed-pre-20260705-033228","backup-pre-E54","directory","1068541","1,02 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d8b-home-content-seed-pre-20260704-204316","backup-pre-E54","directory","1073443","1,02 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d8c-services-mvp-content-seed-pre-20260704-205431","backup-pre-E54","directory","1087806","1,04 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d8d-services-hub-content-seed-pre-20260704-210430","backup-pre-E54","directory","1109866","1,06 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d8e-contacts-content-seed-pre-20260704-211441","backup-pre-E54","directory","1114860","1,06 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d9i-controlled-acf-seed-pre-20260705-141225","backup-pre-E54","directory","1125432","1,07 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d9k-controlled-media-upload-pre-20260705-145628","backup-pre-E54","directory","1122602","1,07 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d9l-admin-editor-acf-visibility-pre-20260705-221742","backup-pre-E54","directory","0","","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d9l-admin-editor-acf-visibility-pre-20260705-221759","backup-pre-E54","directory","1149731","1,10 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d9m-native-page-content-cleanup-pre-20260705-154624","backup-pre-E54","directory","1399816","1,33 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d9o-acf-reviews-teaser-required-flag-pre-20260705-232203","backup-pre-E54","directory","1376461","1,31 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d9o-acf-reviews-teaser-required-flag-pre-20260705-232217","backup-pre-E54","directory","1378985","1,32 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d9r-reviews-shared-include-pre-20260706-003643","backup-pre-E54","directory","1302654","1,24 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d9s-controlled-reviews-options-seed-pre-20260706-005443","backup-pre-E54","directory","1308800","1,25 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d9s-controlled-reviews-options-seed-pre-20260706-005734","backup-pre-E54","directory","1309196","1,25 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d9t-reviews-options-key-fix-pre-20260706-010904","backup-pre-E54","directory","1326188","1,26 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d9u-reviews-admin-ux-repair-pre-20260706-013004","backup-pre-E54","directory","1335539","1,27 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d9w-reviews-admin-layout-repair-pre-20260706-021050","backup-pre-E54","directory","1401221","1,34 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d9x-reviews-binding-repair-pre-20260706-023410","backup-pre-E54","directory","1448881","1,38 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e1-legal-static-copy-seed-pre-20260706-035240","backup-pre-E54","directory","1425202","1,36 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e1-legal-static-copy-seed-pre-20260706-035307","backup-pre-E54","directory","1442603","1,38 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e14-service-admin-fields-service-tree-demo-content-repair-pre-20260707T104318Z","backup-pre-E54","directory","1581554","1,51 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e14-service-admin-fields-service-tree-demo-content-repair-pre-20260707T104328Z","backup-pre-E54","directory","1666693","1,59 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e15-service-mini-description-source-subdivision-sliders-regression-repair-pre-20260707T115432Z","backup-pre-E54","directory","1702951","1,62 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e16-pre-admin-architecture-and-cleanup-audit-20260707-223340","backup-pre-E54","directory","2240133","2,14 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e17-site-settings-ia-skeleton-pre-20260707-235348","backup-pre-E54","directory","2121391","2,02 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e18-reusable-blocks-batch-1-fields-pre-20260708-001410","backup-pre-E54","directory","1581055","1,51 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e19-reusable-blocks-admin-visibility-repair-pre-20260708-004956","backup-pre-E54","directory","0","","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e19-reusable-blocks-admin-visibility-repair-pre-20260708-005100","backup-pre-E54","directory","1571812","1,50 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e2-legal-layout-menu-alignment-repair-pre-20260706-041056","backup-pre-E54","directory","1446203","1,38 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e20-remove-reviews-alias-from-site-settings-pre-20260708-022042","backup-pre-E54","directory","2221235","2,12 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e21-reusable-blocks-batch-2-fields-pre-20260708-024557","backup-pre-E54","directory","2202965","2,10 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e22-remove-global-heroes-settings-pre-20260708-034456","backup-pre-E54","directory","1824967","1,74 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e24-hero-cta-button-text-per-entity-pre-20260707-212945","backup-pre-E54","directory","1837016","1,75 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e24a-service-structured-sections-required-field-polish-pre-20260708T173446Z","backup-pre-E54","directory","2047708","1,95 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e25-service-duplicate-feature-pre-20260708T175440Z","backup-pre-E54","directory","2103152","2,01 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e25a-service-duplicate-action-visibility-repair-pre-20260708T181644Z","backup-pre-E54","directory","0","","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e25a-service-duplicate-action-visibility-repair-pre-20260708T181800Z","backup-pre-E54","directory","2076970","1,98 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e26a-about-page-wordpress-acf-port-pre-20260709-115450","backup-pre-E54","directory","2004510","1,91 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e26b-blog-archive-wordpress-acf-port-pre-20260709-131602","backup-pre-E54","directory","2022147","1,93 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e26c-blog-single-template-wordpress-acf-port-pre-20260709-134116","backup-pre-E54","directory","2023144","1,93 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e26c-blog-single-template-wordpress-acf-port-pre-20260709-134131","backup-pre-E54","directory","2027311","1,93 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e26d-demo-blog-content-and-visual-qa-pre-20260709-143210","backup-pre-E54","directory","2027303","1,93 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e26d-polish-encoding-mojibake-audit-and-fix-pre-20260709-155235","backup-pre-E54","directory","2188560","2,09 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e26d-polish-encoding-mojibake-audit-and-fix-pre-20260709-155416","backup-pre-E54","directory","2220569","2,12 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e27b-low-risk-obsolete-cleanup-pre-20260709-171947","backup-pre-E54","directory","2041332","1,95 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e27d-page-service-ownership-implementation-pre-20260709-183427","backup-pre-E54","directory","2070709","1,97 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e29b-fix-ocentre-admin-ui-pre-20260710-134101","backup-pre-E54","directory","2260389","2,16 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e29b-fix-ocentre-admin-ui-pre-20260710-134255","backup-pre-E54","directory","2392161","2,28 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e29b-fix2c-acf-location-rule-repair-pre-20260710-152257","backup-pre-E54","directory","2440518","2,33 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e29b-full-site-backup-pre-20260710-035311","backup-pre-E54","directory","297730826","283,94 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e29c-e35-fix01-persistence-before-20260713-032549","backup-pre-E54","directory","118655250","113,16 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e29c-structure-completion-pre-20260710T133633Z","backup-pre-E54","directory","118361097","112,88 MB","MANUAL_REVIEW","PRESENT","RETAIN_PENDING","Pre-E54; deferred per Phase2 — not first-pass delete"
