"path","disposition","status","rationale"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d7a-runtime-delivery-pre-20260705-000434","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d7b-home-runtime-delivery-pre-20260705-002441","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d7c-services-hub-runtime-delivery-pre-20260705-013141","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d7d-service-runtime-delivery-pre-20260705-015917","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d7e-contacts-runtime-delivery-pre-20260705-022630","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d8a-site-options-seed-pre-20260705-033228","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d8b-home-content-seed-pre-20260704-204316","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d8c-services-mvp-content-seed-pre-20260704-205431","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d8d-services-hub-content-seed-pre-20260704-210430","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d8e-contacts-content-seed-pre-20260704-211441","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d9i-controlled-acf-seed-pre-20260705-141225","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d9k-controlled-media-upload-pre-20260705-145628","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d9l-admin-editor-acf-visibility-pre-20260705-221759","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d9m-native-page-content-cleanup-pre-20260705-154624","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d9o-acf-reviews-teaser-required-flag-pre-20260705-232203","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d9o-acf-reviews-teaser-required-flag-pre-20260705-232217","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d9r-reviews-shared-include-pre-20260706-003643","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d9s-controlled-reviews-options-seed-pre-20260706-005443","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d9s-controlled-reviews-options-seed-pre-20260706-005734","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d9t-reviews-options-key-fix-pre-20260706-010904","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d9u-reviews-admin-ux-repair-pre-20260706-013004","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d9w-reviews-admin-layout-repair-pre-20260706-021050","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06d9x-reviews-binding-repair-pre-20260706-023410","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e1-legal-static-copy-seed-pre-20260706-035240","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e1-legal-static-copy-seed-pre-20260706-035307","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e14-service-admin-fields-service-tree-demo-content-repair-pre-20260707T104318Z","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e14-service-admin-fields-service-tree-demo-content-repair-pre-20260707T104328Z","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e15-service-mini-description-source-subdivision-sliders-regression-repair-pre-20260707T115432Z","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e16-pre-admin-architecture-and-cleanup-audit-20260707-223340","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e17-site-settings-ia-skeleton-pre-20260707-235348","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e18-reusable-blocks-batch-1-fields-pre-20260708-001410","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e19-reusable-blocks-admin-visibility-repair-pre-20260708-005100","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e2-legal-layout-menu-alignment-repair-pre-20260706-041056","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e20-remove-reviews-alias-from-site-settings-pre-20260708-022042","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e21-reusable-blocks-batch-2-fields-pre-20260708-024557","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e22-remove-global-heroes-settings-pre-20260708-034456","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e24-hero-cta-button-text-per-entity-pre-20260707-212945","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e24a-service-structured-sections-required-field-polish-pre-20260708T173446Z","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e25-service-duplicate-feature-pre-20260708T175440Z","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e25a-service-duplicate-action-visibility-repair-pre-20260708T181800Z","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e26a-about-page-wordpress-acf-port-pre-20260709-115450","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e26b-blog-archive-wordpress-acf-port-pre-20260709-131602","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e26c-blog-single-template-wordpress-acf-port-pre-20260709-134116","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e26c-blog-single-template-wordpress-acf-port-pre-20260709-134131","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e26d-demo-blog-content-and-visual-qa-pre-20260709-143210","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e26d-polish-encoding-mojibake-audit-and-fix-pre-20260709-155235","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e26d-polish-encoding-mojibake-audit-and-fix-pre-20260709-155416","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e27b-low-risk-obsolete-cleanup-pre-20260709-171947","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e27d-page-service-ownership-implementation-pre-20260709-183427","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e29b-fix-ocentre-admin-ui-pre-20260710-134101","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e29b-fix-ocentre-admin-ui-pre-20260710-134255","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e29b-fix2c-acf-location-rule-repair-pre-20260710-152257","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e29b-full-site-backup-pre-20260710-035311","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e29c-e35-fix01-persistence-before-20260713-032549","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e29c-structure-completion-pre-20260710T133633Z","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e30-services-catalog-before-20260712-213642","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e31-accepted-local-state-before-feedback-20260713-000640","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e31-program-pages-links-validation-before-20260712-223200","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e32-home-services-gallery-before-20260713-003442","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e33-fix01-uslugi-slider-match-home-before-20260713-014249","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e33-service-images-uslugi-slider-before-20260713-012211","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e34-specialists-pages-slider-before-20260713-020509","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e35-fix01-alcohol-article-image-before-20260713-030319","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e36-e37-persistence-before-20260713-042025","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e36-home-recovery-life-mobile-before-20260713-034546","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e37-home-rehabilitation-program-direction-mobile-before-20260713-040259","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e38-fix01-home-admin-orphan-hygiene-before-20260713-193615","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e38-home-admin-parity-uslugi-links-before-20260713-190141","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e39-home-admin-order-localization-before-20260714-001557","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e40-home-admin-editable-blocks-before-20260714-010957","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e41-fix01-hero-height-rehab-intro-before-20260714-024847","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e41-home-admin-hero-toggles-recovery-life-before-20260714-015935","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e43-fix01-services-category-intro-lead-before-20260714-044434","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e43-services-hub-admin-parity-before-20260714-040826","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e45-fix01-service-layout-model-before-20260714-180233","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e45-fix02-rename-alcohol-special-before-20260714-183309","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e45-fix03-service-layout-selector-simplification-before-20260714-202448","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e45-service-layout-variant-implementation-before-20260714-163201","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e46-fix01-service-section-hero-admin-separation-before-20260714-214425","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e46-fix02-section-repeaters-stages-before-20260714-225532","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e46-fix03-section-cta-program-fallback-before-20260714-234056","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e46-fix04-section-admin-cleanup-landscape-before-20260715-002138","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e46-fix05-section-demo-data-no-template-fallback-before-20260715-004351","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e46-service-section-admin-parity-zavisimosti-before-20260714-210729","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e47-fix01-service-general-admin-ux-cleanup-before-20260715-125222","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e47-fix02-service-general-acf-render-before-20260715-133411","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e47-fix03-service-general-signs-readmore-before-20260715-160233","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e47-fix04-service-signs-readmore-toggle-before-20260715-170136","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e47-service-general-admin-parity-alcohol-before-20260715-114038","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e48-representative-services-rollout-before-20260715-203048","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e49-fix01-restore-315-service-layout-before-20260716-023509","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e49-full-service-rollout-before-20260715-212933","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e50-service-sections-demo-acf-sot-before-20260715-222858","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e51-fix01-placeholder-manual-switch-persistence-before-20260716-001214","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e51-fix02-real-admin-placeholder-switch-before-20260716-010437","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
"X:\MARS-Localhost\backups\wordpress\projects\shpigovsky\v9-06e51-placeholder-layout-mode-restore-before-20260715-234500","MANUAL_REVIEW_REMAINS","PRESENT","non-empty pre-E54; not uniquely proven redundant in E65"
