route,viewport,state,present,count,mode,progress,attrProgress,x,y,scale,rotate,visibleWidthPct,scrollable,opacity,pointerEvents,hasOverflowX,docWidth,winWidth
kontakty,1440x900,mid,true,1,short,0.5001,0.2751,-38.848%,12.762vh,1.0660,6.057deg,59.5,3425,0.3,none,false,1425,1440
kontakty,1440x900,bottom,true,1,short,1.0000,0.5500,-37.964%,24.355vh,1.0930,10.578deg,59.4,3421,0.3,none,false,1425,1440
blog,1440x900,top,true,1,short,0.0000,0.0000,-50.000%,-12.000vh,1.0000,-3.600deg,50.0,1988,0.3,none,false,1425,1440
blog,1440x900,mid,true,1,short,0.5000,0.2750,-38.849%,12.757vh,1.0660,6.055deg,59.5,1988,0.3,none,false,1425,1440
blog,1440x900,bottom,true,1,short,1.0000,0.5500,-37.964%,24.355vh,1.0930,10.578deg,59.4,1984,0.3,none,false,1425,1440
home,1440x900,vp-top,true,1,long,0.0000,0.0000,-50.000%,-12.000vh,1.0000,-7.200deg,50.0,16666,0.3,none,false,1425,1440
home,1440x900,vp-mid,true,1,long,0.5000,0.5000,-20.689%,44.000vh,1.2000,18.000deg,69.3,16666,0.3,none,false,1425,1440
kontakty,1440x900,vp-mid,true,1,short,0.5001,0.2751,-38.848%,12.762vh,1.0660,6.057deg,59.5,3425,0.3,none,false,1425,1440
home,1280x800,vp-top,true,1,long,0.0000,0.0000,-50.000%,-12.000vh,1.0000,-7.200deg,50.0,16670,0.3,none,false,1265,1280
home,1280x800,vp-mid,true,1,long,0.5000,0.5000,-20.689%,44.000vh,1.2000,18.000deg,69.3,16670,0.3,none,false,1265,1280
kontakty,1280x800,vp-mid,true,1,long,0.5001,0.5001,-20.688%,44.007vh,1.1999,18.003deg,69.3,3515,0.3,none,false,1265,1280
home,1024x768,vp-top,true,1,long,0.0000,0.0000,-50.000%,-12.000vh,1.0000,-7.200deg,50.0,20270,0.3,none,false,1009,1024
home,1024x768,vp-mid,true,1,long,0.5000,0.5000,-20.689%,44.000vh,1.2000,18.000deg,69.3,20270,0.3,none,false,1009,1024
kontakty,1024x768,vp-mid,true,1,long,0.5000,0.5000,-20.689%,44.000vh,1.2000,18.000deg,69.3,4508,0.3,none,false,1009,1024
home,768x1024,vp-top,true,1,long,0.0000,0.0000,-50.000%,-12.000vh,1.0000,-7.200deg,50.0,21676,0.3,none,false,753,768
home,768x1024,vp-mid,true,1,long,0.5000,0.5000,-20.689%,44.000vh,1.2000,18.000deg,69.3,21676,0.3,none,false,753,768
kontakty,768x1024,vp-mid,true,1,long,0.5001,0.5001,-20.688%,44.006vh,1.1999,18.003deg,69.3,4259,0.3,none,false,753,768
home,390x844,vp-top,true,1,long,0.0000,0.0000,-50.000%,-12.000vh,1.0000,-7.200deg,50.0,27513,0.3,none,false,375,390
home,390x844,vp-mid,true,1,long,0.5000,0.5000,-20.688%,44.001vh,1.2000,18.000deg,65.9,27513,0.3,none,false,375,390
kontakty,390x844,vp-mid,true,1,long,0.5001,0.5001,-20.688%,44.005vh,1.1999,18.002deg,65.9,5029,0.3,none,false,375,390
home,375x812,vp-top,true,1,long,0.0000,0.0000,-50.000%,-12.000vh,1.0000,-7.200deg,50.0,28173,0.3,none,false,360,375
home,375x812,vp-mid,true,1,long,0.5000,0.5000,-20.688%,44.001vh,1.2000,18.000deg,65.9,28173,0.3,none,false,360,375
kontakty,375x812,vp-mid,true,1,long,0.5001,0.5001,-20.688%,44.005vh,1.1999,18.002deg,65.9,5145,0.3,none,false,360,375
home,320x568,vp-top,true,1,long,0.0000,0.0000,-50.000%,-12.000vh,1.0000,-7.200deg,50.0,31025,0.3,none,false,320,320
home,320x568,vp-mid,true,1,long,0.5000,0.5000,-20.688%,44.001vh,1.2000,18.000deg,65.9,31025,0.3,none,false,320,320
kontakty,320x568,vp-mid,true,1,long,0.5000,0.5000,-20.689%,44.000vh,1.2000,18.000deg,65.9,5740,0.3,none,false,320,320
home,1440x900,route-top,true,1,long,0.0000,0.0000,-50.000%,-12.000vh,1.0000,-7.200deg,50.0,16666,0.3,none,false,1425,1440
home,1440x900,route-mid,true,1,long,0.5000,0.5000,-20.689%,44.000vh,1.2000,18.000deg,69.3,16666,0.3,none,false,1425,1440
home,1440x900,route-bottom,true,1,long,0.9500,0.9500,-20.001%,51.992vh,0.7680,21.596deg,80.0,16666,0.3,none,false,1425,1440
uslugi,1440x900,route-top,true,1,long,0.0000,0.0000,-50.000%,-12.000vh,1.0000,-7.200deg,50.0,9766,0.3,none,false,1425,1440
uslugi,1440x900,route-mid,true,1,long,0.5000,0.5000,-20.689%,44.000vh,1.2000,18.000deg,69.3,9766,0.3,none,false,1425,1440
uslugi,1440x900,route-bottom,true,1,long,0.9500,0.9500,-20.001%,51.992vh,0.7680,21.596deg,80.0,9766,0.3,none,false,1425,1440
section,1440x900,route-top,true,1,long,0.0000,0.0000,-50.000%,-12.000vh,1.0000,-7.200deg,50.0,11564,0.3,none,false,1425,1440
section,1440x900,route-mid,true,1,long,0.5000,0.5000,-20.689%,44.000vh,1.2000,18.000deg,69.3,11564,0.3,none,false,1425,1440
section,1440x900,route-bottom,true,1,long,0.9500,0.9500,-20.001%,51.992vh,0.7680,21.596deg,80.0,11564,0.3,none,false,1425,1440
service,1440x900,route-top,true,1,long,0.0000,0.0000,-50.000%,-12.000vh,1.0000,-7.200deg,50.0,12188,0.3,none,false,1425,1440
service,1440x900,route-mid,true,1,long,0.5000,0.5000,-20.689%,44.000vh,1.2000,18.000deg,69.3,12188,0.3,none,false,1425,1440
service,1440x900,route-bottom,true,1,long,0.9500,0.9500,-20.001%,51.992vh,0.7680,21.596deg,80.0,12188,0.3,none,false,1425,1440
blog,1440x900,route-top,true,1,short,0.0000,0.0000,-50.000%,-12.000vh,1.0000,-3.600deg,50.0,1988,0.3,none,false,1425,1440
blog,1440x900,route-mid,true,1,short,0.5000,0.2750,-38.849%,12.757vh,1.0660,6.055deg,59.5,1988,0.3,none,false,1425,1440
blog,1440x900,route-bottom,true,1,short,0.9579,0.5226,-37.965%,23.648vh,1.1078,10.303deg,59.3,1972,0.3,none,false,1425,1440
kontakty,1440x900,route-top,true,1,short,0.0000,0.0000,-50.000%,-12.000vh,1.0000,-3.600deg,50.0,3425,0.3,none,false,1425,1440
kontakty,1440x900,route-mid,true,1,short,0.5001,0.2751,-38.848%,12.762vh,1.0660,6.057deg,59.5,3425,0.3,none,false,1425,1440
kontakty,1440x900,route-bottom,true,1,short,0.9506,0.5225,-37.965%,23.646vh,1.1078,10.302deg,59.3,3423,0.3,none,false,1425,1440
ocentre,1440x900,route-top,true,1,long,0.0000,0.0000,-50.000%,-12.000vh,1.0000,-7.200deg,50.0,11258,0.3,none,false,1425,1440
ocentre,1440x900,route-mid,true,1,long,0.5000,0.5000,-20.689%,44.000vh,1.2000,18.000deg,69.3,11258,0.3,none,false,1425,1440
ocentre,1440x900,route-bottom,true,1,long,0.9500,0.9500,-20.001%,51.992vh,0.7680,21.596deg,80.0,11258,0.3,none,false,1425,1440
home,1440x900,reduced-top,true,1,long,0.0000,0.2800,-23.823%,28.112vh,1.1120,10.850deg,70.1,16646,0.3,none,false,1425,1440
home,1440x900,reduced-bottom,true,1,long,1.0000,0.2800,-23.823%,28.112vh,1.1120,10.850deg,70.1,16646,0.3,none,false,1425,1440
