"group_id","token"
"CORV-G04-02","себестоим"
"CORV-G04-02","календар"
"CORV-G04-02","платеж"
"CORV-G04-03","себестоим"
"CORV-G04-03","закупок"
"CORV-G04-03","планирован"
"CORV-G03-04","отчет"
"CORV-G03-04","рмк"
"CORV-G03-04","маркировка"
"CORV-G03-04","создан"
"CORV-G03-06","отчет"
"CORV-G03-06","печатная форма"
"CORV-G03-06","маркировка"
"CORV-G03-06","внешн"
"CORV-G03-06","касса"
"CORV-G03-05","рмк"
"CORV-G03-05","маркировка"
"CORV-G03-02","печатная форма"
"CORV-G03-02","доработк"
"CORV-G03-02","внешн"
"CORV-G03-02","маркировка"
"CORV-G03-02","рмк"
"CORV-G03-01","печатная форма"
"CORV-G03-01","внешн"
"CORV-G03-01","создан"
"CORV-G03-01","маркировка"
"CORV-G03-01","рмк"
"CORV-G03-03","доработк"
"CORV-G03-03","рмк"
"CORV-G03-03","маркировка"
"CORV-G03-03","внешн"
"CORV-G02-04","перенос"
"CORV-G02-04","исправлен"
"CORV-G02-04","база"
"CORV-G02-05","исправлен"
"CORV-G02-05","конфигурац"
"CORV-G02-05","база"
"CORV-G02-06","перенос"
"CORV-G02-06","конфигурац"
"CORV-G02-06","база"
"CORV-G02-02","отчет"
"CORV-G02-02","печатная форма"
"CORV-G02-02","маркировка"
"CORV-G02-02","база"
"CORV-G02-02","перенос"
"CORV-G02-02","исправлен"
"CORV-G02-03","отчет"
"CORV-G02-03","печатная форма"
"CORV-G02-03","маркировка"
"CORV-G02-03","конфигурац"
"CORV-G02-03","обновлен"
"CORV-G02-03","перенос"
"CORV-G02-01","отчет"
"CORV-G02-01","печатная форма"
"CORV-G02-01","маркировка"
"CORV-G02-01","конфигурац"
"CORV-G02-01","база"
"CORV-G02-01","обновлен"
"CORV-G02-01","перенос"
"CORV-G01-02","маркировка"
"CORV-G01-02","не работает"
"CORV-G01-02","доработка"
"CORV-G01-02","сопровождение"
"CORV-G01-02","настройка"
"CORV-G01-02","внедрение"
"CORV-G01-07","программист"
"CORV-G01-07","доработка"
"CORV-G01-07","маркировка"
"CORV-G01-07","настройка"
"CORV-G01-07","разов"
"CORV-G01-06","программист"
"CORV-G01-06","доработка"
"CORV-G01-06","маркировка"
"CORV-G01-06","абонент"
"CORV-G01-06","настройка"
"CORV-G01-06","внедрение"
"CORV-G01-05","программист"
"CORV-G01-05","доработка"
"CORV-G01-05","маркировка"
"CORV-G01-05","не работает"
"CORV-G01-05","абонент"
"CORV-G01-05","настройка"
"CORV-G01-05","внедрение"
"CORV-G01-05","разов"
"CORV-G01-04","настройка"
"CORV-G01-04","сопровождение"
"CORV-G01-04","маркировка"
"CORV-G01-04","доработка"
"CORV-G01-03","внедрение"
"CORV-G01-03","маркировка"
"CORV-G01-03","интеграция"
"CORV-G01-03","доработка"
"CORV-G01-03","сопровождение"
"CORV-G01-03","разов"
"CORV-G01-08","маркировка"
"CORV-G01-08","сопровождение"
"CORV-G01-08","абонент"
"CORV-G01-08","настройка"
"CORV-G01-08","внедрение"
"CORV-G01-01","новосибирск"
"CORV-G01-01","сопровождение"
"CORV-G01-01","доработка"
"CORV-G01-01","маркировка"
"CORV-G01-01","не работает"
"CORV-G01-01","настройка"
"CORV-G01-01","внедрение"
"CORV-G01-01","абонент"
"CORV-G01-01","разов"
