form_id,page_url,page_family,dynamic,trigger,dom_id,source_authority,js_handler,php_handler,endpoint,field_contract,site_required_html,site_required_js,site_required_server,consent,honeypot,browser_test,server_test,mail_test,status,defect_id
FS-017,https://i-seo.su/blog,blog,1,modal/popup,callback__FORM_info,UA-008,callback__FORM_send_info,callback__FORM.php,#,"cf_name,cf_phone,cf_site,personal_data_consent,сf_contact",0,HTML-required-only (checkEmptyFields),optional-meaningful,1,js-injected,PASS-via-unique-handler-UI,PASS,PASS,PASS,
FS-018,https://i-seo.su/blog,blog,1,modal/popup,audit__FORM_seo,UA-009,audit__FORM_send_seo,audit__FORM.php,#,"af_comment,af_name,af_phone,af_site,cf_agree3,personal_data_consent",0,HTML-required-only (checkEmptyFields),optional-meaningful,1,js-injected,PASS-via-unique-handler-UI,PASS,PASS,PASS,
FS-019,https://i-seo.su/blog,blog,1,modal/popup,tariff_1__FORM_seo,UA-010,tariff_1__FORM_send_seo,tariff_1__FORM.php,#,"cf_agree4,cf_contact,cf_name,cf_phone,cf_site,personal_data_consent",0,HTML-required-only (checkEmptyFields),optional-meaningful,1,js-injected,PASS-via-unique-handler-UI,PASS,PASS,PASS,
FS-020,https://i-seo.su/blog,blog,1,modal/popup,tariff_2__FORM_seo,UA-011,common.js#ISEO_FORM_SECURITY_V1+family-handler,tariff_2__FORM.php,#,"cf_agree5,cf_contact,cf_name,cf_phone,cf_site,personal_data_consent",0,HTML-required-only (checkEmptyFields),optional-meaningful,1,js-injected,PASS-via-unique-handler-UI,PASS,PASS,PASS,
FS-021,https://i-seo.su/blog,blog,1,modal/popup,tariff_3__FORM_seo,UA-012,common.js#ISEO_FORM_SECURITY_V1+family-handler,tariff_3__FORM.php,#,"cf_agree6,cf_contact,cf_name,cf_phone,cf_site,personal_data_consent",0,HTML-required-only (checkEmptyFields),optional-meaningful,1,js-injected,PASS-via-unique-handler-UI,PASS,PASS,PASS,
FS-022,https://i-seo.su/blog,blog,1,modal/popup,tariff_4__FORM_seo,UA-013,common.js#ISEO_FORM_SECURITY_V1+family-handler,tariff_4__FORM.php,#,"cf_agree7,cf_contact,cf_name,cf_phone,cf_site,personal_data_consent",0,HTML-required-only (checkEmptyFields),optional-meaningful,1,js-injected,PASS-via-unique-handler-UI,PASS,PASS,PASS,
FS-023,https://i-seo.su/blog/5-shagovaya-strategiya-globalnogo-seo-prodvizheniya.html,blog,1,modal/popup,page__FORM_info,UA-007,page__FORM_send_info,page__FORM.php,#,"personal_data_consent,pf_comment,pf_contact,pf_name,pf_phone,pf_site",0,HTML-required-only (checkEmptyFields),optional-meaningful,1,js-injected,PASS-via-unique-handler-UI,PASS,PASS,PASS,
FS-024,https://i-seo.su/blog/5-shagovaya-strategiya-globalnogo-seo-prodvizheniya.html,blog,1,modal/popup,callback__FORM_info,UA-008,callback__FORM_send_info,callback__FORM.php,#,"cf_name,cf_phone,cf_site,personal_data_consent,сf_contact",0,HTML-required-only (checkEmptyFields),optional-meaningful,1,js-injected,PASS-via-unique-handler-UI,PASS,PASS,PASS,
FS-025,https://i-seo.su/blog/5-shagovaya-strategiya-globalnogo-seo-prodvizheniya.html,blog,1,modal/popup,audit__FORM_seo,UA-009,audit__FORM_send_seo,audit__FORM.php,#,"af_comment,af_name,af_phone,af_site,cf_agree3,personal_data_consent",0,HTML-required-only (checkEmptyFields),optional-meaningful,1,js-injected,PASS-via-unique-handler-UI,PASS,PASS,PASS,
FS-026,https://i-seo.su/blog/5-shagovaya-strategiya-globalnogo-seo-prodvizheniya.html,blog,1,modal/popup,tariff_1__FORM_seo,UA-010,tariff_1__FORM_send_seo,tariff_1__FORM.php,#,"cf_agree4,cf_contact,cf_name,cf_phone,cf_site,personal_data_consent",0,HTML-required-only (checkEmptyFields),optional-meaningful,1,js-injected,PASS-via-unique-handler-UI,PASS,PASS,PASS,
FS-027,https://i-seo.su/blog/5-shagovaya-strategiya-globalnogo-seo-prodvizheniya.html,blog,1,modal/popup,tariff_2__FORM_seo,UA-011,common.js#ISEO_FORM_SECURITY_V1+family-handler,tariff_2__FORM.php,#,"cf_agree5,cf_contact,cf_name,cf_phone,cf_site,personal_data_consent",0,HTML-required-only (checkEmptyFields),optional-meaningful,1,js-injected,PASS-via-unique-handler-UI,PASS,PASS,PASS,
FS-028,https://i-seo.su/blog/5-shagovaya-strategiya-globalnogo-seo-prodvizheniya.html,blog,1,modal/popup,tariff_3__FORM_seo,UA-012,common.js#ISEO_FORM_SECURITY_V1+family-handler,tariff_3__FORM.php,#,"cf_agree6,cf_contact,cf_name,cf_phone,cf_site,personal_data_consent",0,HTML-required-only (checkEmptyFields),optional-meaningful,1,js-injected,PASS-via-unique-handler-UI,PASS,PASS,PASS,
FS-029,https://i-seo.su/blog/5-shagovaya-strategiya-globalnogo-seo-prodvizheniya.html,blog,1,modal/popup,tariff_4__FORM_seo,UA-013,common.js#ISEO_FORM_SECURITY_V1+family-handler,tariff_4__FORM.php,#,"cf_agree7,cf_contact,cf_name,cf_phone,cf_site,personal_data_consent",0,HTML-required-only (checkEmptyFields),optional-meaningful,1,js-injected,PASS-via-unique-handler-UI,PASS,PASS,PASS,
FS-030,https://i-seo.su/blog/5-trendov-nejrosetej-v-seo.html,blog,1,modal/popup,page__FORM_info,UA-007,page__FORM_send_info,page__FORM.php,#,"personal_data_consent,pf_comment,pf_contact,pf_name,pf_phone,pf_site",0,HTML-required-only (checkEmptyFields),optional-meaningful,1,js-injected,PASS-via-unique-handler-UI,PASS,PASS,PASS,
FS-031,https://i-seo.su/blog/5-trendov-nejrosetej-v-seo.html,blog,1,modal/popup,callback__FORM_info,UA-008,callback__FORM_send_info,callback__FORM.php,#,"cf_name,cf_phone,cf_site,personal_data_consent,сf_contact",0,HTML-required-only (checkEmptyFields),optional-meaningful,1,js-injected,PASS-via-unique-handler-UI,PASS,PASS,PASS,
FS-032,https://i-seo.su/blog/5-trendov-nejrosetej-v-seo.html,blog,1,modal/popup,audit__FORM_seo,UA-009,audit__FORM_send_seo,audit__FORM.php,#,"af_comment,af_name,af_phone,af_site,cf_agree3,personal_data_consent",0,HTML-required-only (checkEmptyFields),optional-meaningful,1,js-injected,PASS-via-unique-handler-UI,PASS,PASS,PASS,
FS-033,https://i-seo.su/blog/5-trendov-nejrosetej-v-seo.html,blog,1,modal/popup,tariff_1__FORM_seo,UA-010,tariff_1__FORM_send_seo,tariff_1__FORM.php,#,"cf_agree4,cf_contact,cf_name,cf_phone,cf_site,personal_data_consent",0,HTML-required-only (checkEmptyFields),optional-meaningful,1,js-injected,PASS-via-unique-handler-UI,PASS,PASS,PASS,
FS-034,https://i-seo.su/blog/5-trendov-nejrosetej-v-seo.html,blog,1,modal/popup,tariff_2__FORM_seo,UA-011,common.js#ISEO_FORM_SECURITY_V1+family-handler,tariff_2__FORM.php,#,"cf_agree5,cf_contact,cf_name,cf_phone,cf_site,personal_data_consent",0,HTML-required-only (checkEmptyFields),optional-meaningful,1,js-injected,PASS-via-unique-handler-UI,PASS,PASS,PASS,
FS-035,https://i-seo.su/blog/5-trendov-nejrosetej-v-seo.html,blog,1,modal/popup,tariff_3__FORM_seo,UA-012,common.js#ISEO_FORM_SECURITY_V1+family-handler,tariff_3__FORM.php,#,"cf_agree6,cf_contact,cf_name,cf_phone,cf_site,personal_data_consent",0,HTML-required-only (checkEmptyFields),optional-meaningful,1,js-injected,PASS-via-unique-handler-UI,PASS,PASS,PASS,
FS-036,https://i-seo.su/blog/5-trendov-nejrosetej-v-seo.html,blog,1,modal/popup,tariff_4__FORM_seo,UA-013,common.js#ISEO_FORM_SECURITY_V1+family-handler,tariff_4__FORM.php,#,"cf_agree7,cf_contact,cf_name,cf_phone,cf_site,personal_data_consent",0,HTML-required-only (checkEmptyFields),optional-meaningful,1,js-injected,PASS-via-unique-handler-UI,PASS,PASS,PASS,
FS-037,https://i-seo.su/blog/7-shagov-dlya-sozdaniya-posadochnoj-straniczy-na-milliony-rublej.html,blog,1,modal/popup,page__FORM_info,UA-007,page__FORM_send_info,page__FORM.php,#,"personal_data_consent,pf_comment,pf_contact,pf_name,pf_phone,pf_site",0,HTML-required-only (checkEmptyFields),optional-meaningful,1,js-injected,PASS-via-unique-handler-UI,PASS,PASS,PASS,
FS-038,https://i-seo.su/blog/7-shagov-dlya-sozdaniya-posadochnoj-straniczy-na-milliony-rublej.html,blog,1,modal/popup,callback__FORM_info,UA-008,callback__FORM_send_info,callback__FORM.php,#,"cf_name,cf_phone,cf_site,personal_data_consent,сf_contact",0,HTML-required-only (checkEmptyFields),optional-meaningful,1,js-injected,PASS-via-unique-handler-UI,PASS,PASS,PASS,
FS-039,https://i-seo.su/blog/7-shagov-dlya-sozdaniya-posadochnoj-straniczy-na-milliony-rublej.html,blog,1,modal/popup,audit__FORM_seo,UA-009,audit__FORM_send_seo,audit__FORM.php,#,"af_comment,af_name,af_phone,af_site,cf_agree3,personal_data_consent",0,HTML-required-only (checkEmptyFields),optional-meaningful,1,js-injected,PASS-via-unique-handler-UI,PASS,PASS,PASS,
FS-040,https://i-seo.su/blog/7-shagov-dlya-sozdaniya-posadochnoj-straniczy-na-milliony-rublej.html,blog,1,modal/popup,tariff_1__FORM_seo,UA-010,tariff_1__FORM_send_seo,tariff_1__FORM.php,#,"cf_agree4,cf_contact,cf_name,cf_phone,cf_site,personal_data_consent",0,HTML-required-only (checkEmptyFields),optional-meaningful,1,js-injected,PASS-via-unique-handler-UI,PASS,PASS,PASS,
FS-041,https://i-seo.su/blog/7-shagov-dlya-sozdaniya-posadochnoj-straniczy-na-milliony-rublej.html,blog,1,modal/popup,tariff_2__FORM_seo,UA-011,common.js#ISEO_FORM_SECURITY_V1+family-handler,tariff_2__FORM.php,#,"cf_agree5,cf_contact,cf_name,cf_phone,cf_site,personal_data_consent",0,HTML-required-only (checkEmptyFields),optional-meaningful,1,js-injected,PASS-via-unique-handler-UI,PASS,PASS,PASS,
FS-042,https://i-seo.su/blog/7-shagov-dlya-sozdaniya-posadochnoj-straniczy-na-milliony-rublej.html,blog,1,modal/popup,tariff_3__FORM_seo,UA-012,common.js#ISEO_FORM_SECURITY_V1+family-handler,tariff_3__FORM.php,#,"cf_agree6,cf_contact,cf_name,cf_phone,cf_site,personal_data_consent",0,HTML-required-only (checkEmptyFields),optional-meaningful,1,js-injected,PASS-via-unique-handler-UI,PASS,PASS,PASS,
FS-043,https://i-seo.su/blog/7-shagov-dlya-sozdaniya-posadochnoj-straniczy-na-milliony-rublej.html,blog,1,modal/popup,tariff_4__FORM_seo,UA-013,common.js#ISEO_FORM_SECURITY_V1+family-handler,tariff_4__FORM.php,#,"cf_agree7,cf_contact,cf_name,cf_phone,cf_site,personal_data_consent",0,HTML-required-only (checkEmptyFields),optional-meaningful,1,js-injected,PASS-via-unique-handler-UI,PASS,PASS,PASS,
FS-044,https://i-seo.su/blog/8-trendov-czifrovogo-marketinga.html,blog,1,modal/popup,page__FORM_info,UA-007,page__FORM_send_info,page__FORM.php,#,"personal_data_consent,pf_comment,pf_contact,pf_name,pf_phone,pf_site",0,HTML-required-only (checkEmptyFields),optional-meaningful,1,js-injected,PASS-via-unique-handler-UI,PASS,PASS,PASS,
FS-045,https://i-seo.su/blog/8-trendov-czifrovogo-marketinga.html,blog,1,modal/popup,callback__FORM_info,UA-008,callback__FORM_send_info,callback__FORM.php,#,"cf_name,cf_phone,cf_site,personal_data_consent,сf_contact",0,HTML-required-only (checkEmptyFields),optional-meaningful,1,js-injected,PASS-via-unique-handler-UI,PASS,PASS,PASS,
FS-046,https://i-seo.su/blog/8-trendov-czifrovogo-marketinga.html,blog,1,modal/popup,audit__FORM_seo,UA-009,audit__FORM_send_seo,audit__FORM.php,#,"af_comment,af_name,af_phone,af_site,cf_agree3,personal_data_consent",0,HTML-required-only (checkEmptyFields),optional-meaningful,1,js-injected,PASS-via-unique-handler-UI,PASS,PASS,PASS,
FS-047,https://i-seo.su/blog/8-trendov-czifrovogo-marketinga.html,blog,1,modal/popup,tariff_1__FORM_seo,UA-010,tariff_1__FORM_send_seo,tariff_1__FORM.php,#,"cf_agree4,cf_contact,cf_name,cf_phone,cf_site,personal_data_consent",0,HTML-required-only (checkEmptyFields),optional-meaningful,1,js-injected,PASS-via-unique-handler-UI,PASS,PASS,PASS,
FS-048,https://i-seo.su/blog/8-trendov-czifrovogo-marketinga.html,blog,1,modal/popup,tariff_2__FORM_seo,UA-011,common.js#ISEO_FORM_SECURITY_V1+family-handler,tariff_2__FORM.php,#,"cf_agree5,cf_contact,cf_name,cf_phone,cf_site,personal_data_consent",0,HTML-required-only (checkEmptyFields),optional-meaningful,1,js-injected,PASS-via-unique-handler-UI,PASS,PASS,PASS,
FS-049,https://i-seo.su/blog/8-trendov-czifrovogo-marketinga.html,blog,1,modal/popup,tariff_3__FORM_seo,UA-012,common.js#ISEO_FORM_SECURITY_V1+family-handler,tariff_3__FORM.php,#,"cf_agree6,cf_contact,cf_name,cf_phone,cf_site,personal_data_consent",0,HTML-required-only (checkEmptyFields),optional-meaningful,1,js-injected,PASS-via-unique-handler-UI,PASS,PASS,PASS,
FS-050,https://i-seo.su/blog/8-trendov-czifrovogo-marketinga.html,blog,1,modal/popup,tariff_4__FORM_seo,UA-013,common.js#ISEO_FORM_SECURITY_V1+family-handler,tariff_4__FORM.php,#,"cf_agree7,cf_contact,cf_name,cf_phone,cf_site,personal_data_consent",0,HTML-required-only (checkEmptyFields),optional-meaningful,1,js-injected,PASS-via-unique-handler-UI,PASS,PASS,PASS,
FS-051,https://i-seo.su/blog/ai-seo.html,blog,1,modal/popup,page__FORM_info,UA-007,page__FORM_send_info,page__FORM.php,#,"personal_data_consent,pf_comment,pf_contact,pf_name,pf_phone,pf_site",0,HTML-required-only (checkEmptyFields),optional-meaningful,1,js-injected,PASS-via-unique-handler-UI,PASS,PASS,PASS,
FS-052,https://i-seo.su/blog/ai-seo.html,blog,1,modal/popup,callback__FORM_info,UA-008,callback__FORM_send_info,callback__FORM.php,#,"cf_name,cf_phone,cf_site,personal_data_consent,сf_contact",0,HTML-required-only (checkEmptyFields),optional-meaningful,1,js-injected,PASS-via-unique-handler-UI,PASS,PASS,PASS,
FS-053,https://i-seo.su/blog/ai-seo.html,blog,1,modal/popup,audit__FORM_seo,UA-009,audit__FORM_send_seo,audit__FORM.php,#,"af_comment,af_name,af_phone,af_site,cf_agree3,personal_data_consent",0,HTML-required-only (checkEmptyFields),optional-meaningful,1,js-injected,PASS-via-unique-handler-UI,PASS,PASS,PASS,
FS-054,https://i-seo.su/blog/ai-seo.html,blog,1,modal/popup,tariff_1__FORM_seo,UA-010,tariff_1__FORM_send_seo,tariff_1__FORM.php,#,"cf_agree4,cf_contact,cf_name,cf_phone,cf_site,personal_data_consent",0,HTML-required-only (checkEmptyFields),optional-meaningful,1,js-injected,PASS-via-unique-handler-UI,PASS,PASS,PASS,
FS-055,https://i-seo.su/blog/ai-seo.html,blog,1,modal/popup,tariff_2__FORM_seo,UA-011,common.js#ISEO_FORM_SECURITY_V1+family-handler,tariff_2__FORM.php,#,"cf_agree5,cf_contact,cf_name,cf_phone,cf_site,personal_data_consent",0,HTML-required-only (checkEmptyFields),optional-meaningful,1,js-injected,PASS-via-unique-handler-UI,PASS,PASS,PASS,
FS-056,https://i-seo.su/blog/ai-seo.html,blog,1,modal/popup,tariff_3__FORM_seo,UA-012,common.js#ISEO_FORM_SECURITY_V1+family-handler,tariff_3__FORM.php,#,"cf_agree6,cf_contact,cf_name,cf_phone,cf_site,personal_data_consent",0,HTML-required-only (checkEmptyFields),optional-meaningful,1,js-injected,PASS-via-unique-handler-UI,PASS,PASS,PASS,
FS-057,https://i-seo.su/blog/ai-seo.html,blog,1,modal/popup,tariff_4__FORM_seo,UA-013,common.js#ISEO_FORM_SECURITY_V1+family-handler,tariff_4__FORM.php,#,"cf_agree7,cf_contact,cf_name,cf_phone,cf_site,personal_data_consent",0,HTML-required-only (checkEmptyFields),optional-meaningful,1,js-injected,PASS-via-unique-handler-UI,PASS,PASS,PASS,
FS-058,https://i-seo.su/blog/alt-tegi-v-seo-zachem-oni-nuzhny-dlya-optimizaczii-izobrazhenij.html,blog,1,modal/popup,page__FORM_info,UA-007,page__FORM_send_info,page__FORM.php,#,"personal_data_consent,pf_comment,pf_contact,pf_name,pf_phone,pf_site",0,HTML-required-only (checkEmptyFields),optional-meaningful,1,js-injected,PASS-via-unique-handler-UI,PASS,PASS,PASS,
FS-059,https://i-seo.su/blog/alt-tegi-v-seo-zachem-oni-nuzhny-dlya-optimizaczii-izobrazhenij.html,blog,1,modal/popup,callback__FORM_info,UA-008,callback__FORM_send_info,callback__FORM.php,#,"cf_name,cf_phone,cf_site,personal_data_consent,сf_contact",0,HTML-required-only (checkEmptyFields),optional-meaningful,1,js-injected,PASS-via-unique-handler-UI,PASS,PASS,PASS,
FS-060,https://i-seo.su/blog/alt-tegi-v-seo-zachem-oni-nuzhny-dlya-optimizaczii-izobrazhenij.html,blog,1,modal/popup,audit__FORM_seo,UA-009,audit__FORM_send_seo,audit__FORM.php,#,"af_comment,af_name,af_phone,af_site,cf_agree3,personal_data_consent",0,HTML-required-only (checkEmptyFields),optional-meaningful,1,js-injected,PASS-via-unique-handler-UI,PASS,PASS,PASS,
FS-061,https://i-seo.su/blog/alt-tegi-v-seo-zachem-oni-nuzhny-dlya-optimizaczii-izobrazhenij.html,blog,1,modal/popup,tariff_1__FORM_seo,UA-010,tariff_1__FORM_send_seo,tariff_1__FORM.php,#,"cf_agree4,cf_contact,cf_name,cf_phone,cf_site,personal_data_consent",0,HTML-required-only (checkEmptyFields),optional-meaningful,1,js-injected,PASS-via-unique-handler-UI,PASS,PASS,PASS,
FS-062,https://i-seo.su/blog/alt-tegi-v-seo-zachem-oni-nuzhny-dlya-optimizaczii-izobrazhenij.html,blog,1,modal/popup,tariff_2__FORM_seo,UA-011,common.js#ISEO_FORM_SECURITY_V1+family-handler,tariff_2__FORM.php,#,"cf_agree5,cf_contact,cf_name,cf_phone,cf_site,personal_data_consent",0,HTML-required-only (checkEmptyFields),optional-meaningful,1,js-injected,PASS-via-unique-handler-UI,PASS,PASS,PASS,
FS-063,https://i-seo.su/blog/alt-tegi-v-seo-zachem-oni-nuzhny-dlya-optimizaczii-izobrazhenij.html,blog,1,modal/popup,tariff_3__FORM_seo,UA-012,common.js#ISEO_FORM_SECURITY_V1+family-handler,tariff_3__FORM.php,#,"cf_agree6,cf_contact,cf_name,cf_phone,cf_site,personal_data_consent",0,HTML-required-only (checkEmptyFields),optional-meaningful,1,js-injected,PASS-via-unique-handler-UI,PASS,PASS,PASS,
FS-064,https://i-seo.su/blog/alt-tegi-v-seo-zachem-oni-nuzhny-dlya-optimizaczii-izobrazhenij.html,blog,1,modal/popup,tariff_4__FORM_seo,UA-013,common.js#ISEO_FORM_SECURITY_V1+family-handler,tariff_4__FORM.php,#,"cf_agree7,cf_contact,cf_name,cf_phone,cf_site,personal_data_consent",0,HTML-required-only (checkEmptyFields),optional-meaningful,1,js-injected,PASS-via-unique-handler-UI,PASS,PASS,PASS,
FS-065,https://i-seo.su/blog/analiz-konkurentov-sajta-zachem-i-dlya-chego-nuzhen.html,blog,1,modal/popup,page__FORM_info,UA-007,page__FORM_send_info,page__FORM.php,#,"personal_data_consent,pf_comment,pf_contact,pf_name,pf_phone,pf_site",0,HTML-required-only (checkEmptyFields),optional-meaningful,1,js-injected,PASS-via-unique-handler-UI,PASS,PASS,PASS,
FS-066,https://i-seo.su/blog/analiz-konkurentov-sajta-zachem-i-dlya-chego-nuzhen.html,blog,1,modal/popup,callback__FORM_info,UA-008,callback__FORM_send_info,callback__FORM.php,#,"cf_name,cf_phone,cf_site,personal_data_consent,сf_contact",0,HTML-required-only (checkEmptyFields),optional-meaningful,1,js-injected,PASS-via-unique-handler-UI,PASS,PASS,PASS,
FS-067,https://i-seo.su/blog/analiz-konkurentov-sajta-zachem-i-dlya-chego-nuzhen.html,blog,1,modal/popup,audit__FORM_seo,UA-009,audit__FORM_send_seo,audit__FORM.php,#,"af_comment,af_name,af_phone,af_site,cf_agree3,personal_data_consent",0,HTML-required-only (checkEmptyFields),optional-meaningful,1,js-injected,PASS-via-unique-handler-UI,PASS,PASS,PASS,
FS-068,https://i-seo.su/blog/analiz-konkurentov-sajta-zachem-i-dlya-chego-nuzhen.html,blog,1,modal/popup,tariff_1__FORM_seo,UA-010,tariff_1__FORM_send_seo,tariff_1__FORM.php,#,"cf_agree4,cf_contact,cf_name,cf_phone,cf_site,personal_data_consent",0,HTML-required-only (checkEmptyFields),optional-meaningful,1,js-injected,PASS-via-unique-handler-UI,PASS,PASS,PASS,
FS-069,https://i-seo.su/blog/analiz-konkurentov-sajta-zachem-i-dlya-chego-nuzhen.html,blog,1,modal/popup,tariff_2__FORM_seo,UA-011,common.js#ISEO_FORM_SECURITY_V1+family-handler,tariff_2__FORM.php,#,"cf_agree5,cf_contact,cf_name,cf_phone,cf_site,personal_data_consent",0,HTML-required-only (checkEmptyFields),optional-meaningful,1,js-injected,PASS-via-unique-handler-UI,PASS,PASS,PASS,
FS-070,https://i-seo.su/blog/analiz-konkurentov-sajta-zachem-i-dlya-chego-nuzhen.html,blog,1,modal/popup,tariff_3__FORM_seo,UA-012,common.js#ISEO_FORM_SECURITY_V1+family-handler,tariff_3__FORM.php,#,"cf_agree6,cf_contact,cf_name,cf_phone,cf_site,personal_data_consent",0,HTML-required-only (checkEmptyFields),optional-meaningful,1,js-injected,PASS-via-unique-handler-UI,PASS,PASS,PASS,
FS-071,https://i-seo.su/blog/analiz-konkurentov-sajta-zachem-i-dlya-chego-nuzhen.html,blog,1,modal/popup,tariff_4__FORM_seo,UA-013,common.js#ISEO_FORM_SECURITY_V1+family-handler,tariff_4__FORM.php,#,"cf_agree7,cf_contact,cf_name,cf_phone,cf_site,personal_data_consent",0,HTML-required-only (checkEmptyFields),optional-meaningful,1,js-injected,PASS-via-unique-handler-UI,PASS,PASS,PASS,
