"group_id","token","stem_risk"
"CORV-G05-04","настройк обмен","STEM_REVIEWED"
"CORV-G05-05","сайт","LOW"
"CORV-G05-05","битрикс","LOW"
"CORV-G05-05","касса","LOW"
"CORV-G05-05","перенос","LOW"
"CORV-G04-01","закупок","LOW"
"CORV-G04-01","планирован","LOW"
"CORV-G04-01","календар","LOW"
"CORV-G04-01","платеж","LOW"
"CORV-G04-02","себестоим","LOW"
"CORV-G04-02","календар","LOW"
"CORV-G04-02","платеж","LOW"
"CORV-G04-03","себестоим","LOW"
"CORV-G04-03","закупок","LOW"
"CORV-G04-03","планирован","LOW"
"CORV-G03-04","отчет","LOW"
"CORV-G03-04","рмк","LOW"
"CORV-G03-04","маркировка","LOW"
"CORV-G03-04","создан","LOW"
"CORV-G03-06","отчет","LOW"
"CORV-G03-06","печатная форма","LOW"
"CORV-G03-06","маркировка","LOW"
"CORV-G03-06","внешн","LOW"
"CORV-G03-06","касса","LOW"
"CORV-G03-05","рмк","LOW"
"CORV-G03-05","маркировка","LOW"
"CORV-G03-02","печатная форма","LOW"
"CORV-G03-02","доработк","LOW"
"CORV-G03-02","внешн","LOW"
"CORV-G03-02","маркировка","LOW"
"CORV-G03-02","рмк","LOW"
"CORV-G03-01","печатная форма","LOW"
"CORV-G03-01","внешн","LOW"
"CORV-G03-01","создан","LOW"
"CORV-G03-01","маркировка","LOW"
"CORV-G03-01","рмк","LOW"
"CORV-G03-03","доработк","LOW"
"CORV-G03-03","рмк","LOW"
"CORV-G03-03","маркировка","LOW"
"CORV-G03-03","внешн","LOW"
"CORV-G02-04","перенос","LOW"
"CORV-G02-04","исправлен","LOW"
"CORV-G02-04","база","LOW"
"CORV-G02-05","исправлен","LOW"
"CORV-G02-05","конфигурац","LOW"
"CORV-G02-05","база","LOW"
"CORV-G02-06","перенос","LOW"
"CORV-G02-06","конфигурац","LOW"
"CORV-G02-06","база","LOW"
"CORV-G02-02","отчет","LOW"
"CORV-G02-02","печатная форма","LOW"
"CORV-G02-02","маркировка","LOW"
"CORV-G02-02","база","LOW"
"CORV-G02-02","перенос","LOW"
"CORV-G02-02","исправлен","LOW"
"CORV-G02-03","отчет","LOW"
"CORV-G02-03","печатная форма","LOW"
"CORV-G02-03","маркировка","LOW"
"CORV-G02-03","конфигурац","LOW"
"CORV-G02-03","обновлен","LOW"
"CORV-G02-03","перенос","LOW"
"CORV-G02-01","отчет","LOW"
"CORV-G02-01","печатная форма","LOW"
"CORV-G02-01","маркировка","LOW"
"CORV-G02-01","конфигурац","LOW"
"CORV-G02-01","база","LOW"
"CORV-G02-01","обновлен","LOW"
"CORV-G02-01","перенос","LOW"
"CORV-G01-02","маркировка","LOW"
"CORV-G01-02","не работает","LOW"
"CORV-G01-02","доработка","LOW"
"CORV-G01-02","сопровождение","LOW"
"CORV-G01-02","настройка","STEM_REVIEWED"
"CORV-G01-02","внедрение","LOW"
"CORV-G01-07","программист","LOW"
"CORV-G01-07","доработка","LOW"
"CORV-G01-07","маркировка","LOW"
"CORV-G01-07","настройка","STEM_REVIEWED"
"CORV-G01-07","разов","LOW"
"CORV-G01-06","программист","LOW"
"CORV-G01-06","доработка","LOW"
"CORV-G01-06","маркировка","LOW"
"CORV-G01-06","абонент","LOW"
"CORV-G01-06","настройка","STEM_REVIEWED"
"CORV-G01-06","внедрение","LOW"
"CORV-G01-05","программист","LOW"
"CORV-G01-05","доработка","LOW"
"CORV-G01-05","маркировка","LOW"
"CORV-G01-05","не работает","LOW"
"CORV-G01-05","абонент","LOW"
"CORV-G01-05","настройка","STEM_REVIEWED"
"CORV-G01-05","внедрение","LOW"
"CORV-G01-05","разов","LOW"
"CORV-G01-04","настройка","STEM_REVIEWED"
"CORV-G01-04","сопровождение","LOW"
"CORV-G01-04","маркировка","LOW"
"CORV-G01-04","доработка","LOW"
"CORV-G01-03","внедрение","LOW"
"CORV-G01-03","маркировка","LOW"
"CORV-G01-03","интеграция","STEM_REVIEWED"
"CORV-G01-03","доработка","LOW"
"CORV-G01-03","сопровождение","LOW"
"CORV-G01-03","разов","LOW"
"CORV-G01-08","маркировка","LOW"
"CORV-G01-08","сопровождение","LOW"
"CORV-G01-08","абонент","LOW"
"CORV-G01-08","настройка","STEM_REVIEWED"
"CORV-G01-08","внедрение","LOW"
"CORV-G01-01","новосибирск","LOW"
"CORV-G01-01","сопровождение","LOW"
"CORV-G01-01","доработка","LOW"
"CORV-G01-01","маркировка","LOW"
"CORV-G01-01","не работает","LOW"
"CORV-G01-01","настройка","STEM_REVIEWED"
"CORV-G01-01","внедрение","LOW"
"CORV-G01-01","абонент","LOW"
"CORV-G01-01","разов","LOW"
