"group_id","phrase","level"
"CORV-G06-09","интеграция сайт","group"
"CORV-G06-09","отчет","group"
"CORV-G06-09","печатная форма","group"
"CORV-G06-09","не работает 1с","group"
"CORV-G06-09","тс пиот","group"
"CORV-G06-09","как настроить","group"
"CORV-G06-09","как сделать","group"
"CORV-G06-09","подлежит маркировке","group"
"CORV-G06-09","сроки маркировки","group"
"CORV-G06-09","список маркируемых","group"
"CORV-G06-10","лекарств","group"
"CORV-G06-10","пив","group"
"CORV-G06-10","вода","group"
"CORV-G06-10","косметик","group"
"CORV-G06-10","подлежит","group"
"CORV-G06-10","сроки","group"
"CORV-G06-10","какие","group"
"CORV-G06-10","программист вакансия","group"
"CORV-G06-10","доработка 1с","group"
"CORV-G06-10","сопровождение абонент","group"
"CORV-G06-10","битрикс","group"
"CORV-G06-10","интеграция сайт","group"
"CORV-G06-10","отчет","group"
"CORV-G06-10","печатная форма","group"
"CORV-G06-10","не работает 1с","group"
"CORV-G06-10","тс пиот","group"
"CORV-G06-10","как настроить","group"
"CORV-G06-10","как сделать","group"
"CORV-G06-10","подлежит маркировке","group"
"CORV-G06-10","сроки маркировки","group"
"CORV-G06-10","список маркируемых","group"
"CORV-G06-11","пив","group"
"CORV-G06-11","вода","group"
"CORV-G06-11","лекарств","group"
"CORV-G06-11","автозапчаст","group"
"CORV-G06-11","программист вакансия","group"
"CORV-G06-11","доработка 1с","group"
"CORV-G06-11","сопровождение абонент","group"
"CORV-G06-11","битрикс","group"
"CORV-G06-11","интеграция сайт","group"
"CORV-G06-11","отчет","group"
"CORV-G06-11","печатная форма","group"
"CORV-G06-11","не работает 1с","group"
"CORV-G06-11","тс пиот","group"
"CORV-G06-11","как настроить","group"
"CORV-G06-11","как сделать","group"
"CORV-G06-11","подлежит маркировке","group"
"CORV-G06-11","сроки маркировки","group"
"CORV-G06-11","список маркируемых","group"
"CORV-G06-12","пив","group"
"CORV-G06-12","вода","group"
"CORV-G06-12","лекарств","group"
"CORV-G06-12","косметик","group"
"CORV-G06-12","программист вакансия","group"
"CORV-G06-12","доработка 1с","group"
"CORV-G06-12","сопровождение абонент","group"
"CORV-G06-12","битрикс","group"
"CORV-G06-12","интеграция сайт","group"
"CORV-G06-12","отчет","group"
"CORV-G06-12","печатная форма","group"
"CORV-G06-12","не работает 1с","group"
"CORV-G06-12","тс пиот","group"
"CORV-G06-12","как настроить","group"
"CORV-G06-12","как сделать","group"
"CORV-G06-12","подлежит маркировке","group"
"CORV-G06-12","сроки маркировки","group"
"CORV-G06-12","список маркируемых","group"
"CORV-G06-13","пив","group"
"CORV-G06-13","вода","group"
"CORV-G06-13","лекарств","group"
"CORV-G06-13","косметик","group"
"CORV-G06-13","программист вакансия","group"
"CORV-G06-13","доработка 1с","group"
"CORV-G06-13","сопровождение абонент","group"
"CORV-G06-13","битрикс","group"
"CORV-G06-13","интеграция сайт","group"
"CORV-G06-13","отчет","group"
"CORV-G06-13","печатная форма","group"
"CORV-G06-13","не работает 1с","group"
"CORV-G06-13","тс пиот","group"
"CORV-G06-13","как настроить","group"
"CORV-G06-13","как сделать","group"
"CORV-G06-13","подлежит маркировке","group"
"CORV-G06-13","сроки маркировки","group"
"CORV-G06-13","список маркируемых","group"
"CORV-G06-03","доработка","group"
"CORV-G06-03","программист","group"
"CORV-G06-03","отчет","group"
"CORV-G06-03","пив","group"
"CORV-G06-03","вода","group"
"CORV-G06-03","подключ","group"
"CORV-G06-03","программист вакансия","group"
"CORV-G06-03","доработка 1с","group"
"CORV-G06-03","сопровождение абонент","group"
"CORV-G06-03","битрикс","group"
"CORV-G06-03","интеграция сайт","group"
"CORV-G06-03","печатная форма","group"
"CORV-G06-03","не работает 1с","group"
"CORV-G06-03","тс пиот","group"
"CORV-G06-03","как настроить","group"
"CORV-G06-03","как сделать","group"
"CORV-G06-03","подлежит маркировке","group"
"CORV-G06-03","сроки маркировки","group"
"CORV-G06-03","список маркируемых","group"
"CORV-G06-04","подключ","group"
"CORV-G06-04","настрой","group"
"CORV-G06-04","пив","group"
"CORV-G06-04","вода","group"
"CORV-G06-04","лекарств","group"
"CORV-G06-04","программист вакансия","group"
"CORV-G06-04","доработка 1с","group"
"CORV-G06-04","сопровождение абонент","group"
"CORV-G06-04","битрикс","group"
"CORV-G06-04","интеграция сайт","group"
"CORV-G06-04","отчет","group"
"CORV-G06-04","печатная форма","group"
"CORV-G06-04","не работает 1с","group"
"CORV-G06-04","тс пиот","group"
"CORV-G06-04","как настроить","group"
"CORV-G06-04","как сделать","group"
"CORV-G06-04","подлежит маркировке","group"
"CORV-G06-04","сроки маркировки","group"
"CORV-G06-04","список маркируемых","group"
"CORV-G06-01","честный знак","group"
"CORV-G06-01","пив","group"
"CORV-G06-01","вода","group"
"CORV-G06-01","лекарств","group"
"CORV-G06-01","косметик","group"
"CORV-G06-01","автозапчаст","group"
"CORV-G06-01","ошибк","group"
"CORV-G06-01","программист вакансия","group"
"CORV-G06-01","доработка 1с","group"
"CORV-G06-01","сопровождение абонент","group"
"CORV-G06-01","битрикс","group"
"CORV-G06-01","интеграция сайт","group"
"CORV-G06-01","отчет","group"
"CORV-G06-01","печатная форма","group"
"CORV-G06-01","не работает 1с","group"
"CORV-G06-01","тс пиот","group"
"CORV-G06-01","как настроить","group"
"CORV-G06-01","как сделать","group"
"CORV-G06-01","подлежит маркировке","group"
"CORV-G06-01","сроки маркировки","group"
"CORV-G06-01","список маркируемых","group"
"CORV-G06-02","честный знак","group"
"CORV-G06-02","пив","group"
"CORV-G06-02","вода","group"
"CORV-G06-02","лекарств","group"
"CORV-G06-02","подключ","group"
"CORV-G06-02","программист вакансия","group"
"CORV-G06-02","доработка 1с","group"
"CORV-G06-02","сопровождение абонент","group"
"CORV-G06-02","битрикс","group"
"CORV-G06-02","интеграция сайт","group"
"CORV-G06-02","отчет","group"
"CORV-G06-02","печатная форма","group"
"CORV-G06-02","не работает 1с","group"
"CORV-G06-02","тс пиот","group"
"CORV-G06-02","как настроить","group"
"CORV-G06-02","как сделать","group"
"CORV-G06-02","подлежит маркировке","group"
"CORV-G06-02","сроки маркировки","group"
"CORV-G06-02","список маркируемых","group"
"CORV-G07-03","ошибка после обновления","group"
"CORV-G07-03","восстановлен","group"
"CORV-G07-03","запуска","group"
"CORV-G07-03","вакансия","group"
"CORV-G07-03","работа программист","group"
"CORV-G07-03","курсы","group"
"CORV-G07-03","маркировка","group"
"CORV-G07-03","битрикс","group"
"CORV-G07-03","доработка","group"
"CORV-G07-03","внедрение","group"
"CORV-G07-03","сопровождение","group"
"CORV-G07-03","как настроить","group"
"CORV-G07-03","инструкция","group"
"CORV-G07-02","не работает","group"
"CORV-G07-02","обмен","group"
"CORV-G07-02","синхронизация","group"
"CORV-G07-02","восстановлен","group"
"CORV-G07-02","вакансия","group"
"CORV-G07-02","работа программист","group"
"CORV-G07-02","курсы","group"
"CORV-G07-02","маркировка","group"
"CORV-G07-02","битрикс","group"
"CORV-G07-02","доработка","group"
"CORV-G07-02","внедрение","group"
"CORV-G07-02","сопровождение","group"
"CORV-G07-02","как настроить","group"
"CORV-G07-02","инструкция","group"
"CORV-G07-04","не работает","group"
"CORV-G07-04","обмен","group"
"CORV-G07-04","ошибка","group"
"CORV-G07-04","синхронизация","group"
"CORV-G07-04","вакансия","group"
"CORV-G07-04","работа программист","group"
"CORV-G07-04","курсы","group"
"CORV-G07-04","маркировка","group"
"CORV-G07-04","битрикс","group"
"CORV-G07-04","доработка","group"
"CORV-G07-04","внедрение","group"
"CORV-G07-04","сопровождение","group"
"CORV-G07-04","как настроить","group"
"CORV-G07-04","инструкция","group"
"CORV-G07-01","ошибка","group"
"CORV-G07-01","обмен","group"
"CORV-G07-01","синхронизация","group"
"CORV-G07-01","восстановлен","group"
"CORV-G07-01","после обновлен","group"
"CORV-G07-01","вакансия","group"
"CORV-G07-01","работа программист","group"
"CORV-G07-01","курсы","group"
"CORV-G07-01","маркировка","group"
"CORV-G07-01","битрикс","group"
"CORV-G07-01","доработка","group"
"CORV-G07-01","внедрение","group"
"CORV-G07-01","сопровождение","group"
"CORV-G07-01","как настроить","group"
"CORV-G07-01","инструкция","group"
"CORV-G05-02","касса","group"
"CORV-G05-02","маркировка","group"
"CORV-G05-02","обмен","group"
"CORV-G05-02","перенос","group"
"CORV-G05-02","честный знак","group"
"CORV-G05-02","вакансия программист","group"
"CORV-G05-02","доработка отчета","group"
"CORV-G05-02","не работает","group"
"CORV-G05-02","сопровождение","group"
"CORV-G05-02","программист услуги","group"
"CORV-G05-01","битрикс","group"
"CORV-G05-01","касса","group"
"CORV-G05-01","маркировка","group"
"CORV-G05-01","перенос данных","group"
"CORV-G05-01","честный знак","group"
"CORV-G05-01","вакансия программист","group"
"CORV-G05-01","доработка отчета","group"
"CORV-G05-01","не работает","group"
"CORV-G05-01","сопровождение","group"
"CORV-G05-01","программист услуги","group"
"CORV-G05-03","сайт","group"
"CORV-G05-03","битрикс","group"
"CORV-G05-03","маркировка","group"
"CORV-G05-03","перенос","group"
"CORV-G05-03","честный знак","group"
"CORV-G05-03","вакансия программист","group"
"CORV-G05-03","доработка отчета","group"
"CORV-G05-03","не работает","group"
"CORV-G05-03","сопровождение","group"
"CORV-G05-03","программист услуги","group"
"CORV-G05-06","синхронизация","group"
"CORV-G05-06","обмен","group"
"CORV-G05-06","сайт","group"
"CORV-G05-06","битрикс","group"
"CORV-G05-06","касса","group"
"CORV-G05-06","маркировка","group"
"CORV-G05-06","честный знак","group"
"CORV-G05-06","вакансия программист","group"
"CORV-G05-06","доработка отчета","group"
"CORV-G05-06","не работает","group"
"CORV-G05-06","сопровождение","group"
"CORV-G05-06","программист услуги","group"
"CORV-G05-04","сайт","group"
"CORV-G05-04","битрикс","group"
"CORV-G05-04","перенос данных","group"
"CORV-G05-04","касса","group"
"CORV-G05-04","настройк обмен","group"
"CORV-G05-04","маркировка","group"
"CORV-G05-04","честный знак","group"
"CORV-G05-04","вакансия программист","group"
"CORV-G05-04","доработка отчета","group"
"CORV-G05-04","не работает","group"
"CORV-G05-04","сопровождение","group"
"CORV-G05-04","программист услуги","group"
"CORV-G05-05","сайт","group"
"CORV-G05-05","битрикс","group"
"CORV-G05-05","касса","group"
"CORV-G05-05","перенос","group"
"CORV-G05-05","маркировка","group"
"CORV-G05-05","честный знак","group"
"CORV-G05-05","вакансия программист","group"
"CORV-G05-05","доработка отчета","group"
"CORV-G05-05","не работает","group"
"CORV-G05-05","сопровождение","group"
"CORV-G05-05","программист услуги","group"
"CORV-G04-01","закупок","group"
"CORV-G04-01","планирован","group"
"CORV-G04-01","календар","group"
"CORV-G04-01","платеж","group"
"CORV-G04-01","маркировка","group"
"CORV-G04-01","честный знак","group"
"CORV-G04-01","вакансия","group"
"CORV-G04-01","курсы","group"
"CORV-G04-01","битрикс","group"
"CORV-G04-01","программист","group"
"CORV-G04-01","доработка","group"
"CORV-G04-01","не работает","group"
"CORV-G04-02","себестоим","group"
"CORV-G04-02","календар","group"
"CORV-G04-02","платеж","group"
"CORV-G04-02","маркировка","group"
"CORV-G04-02","честный знак","group"
"CORV-G04-02","вакансия","group"
"CORV-G04-02","курсы","group"
"CORV-G04-02","битрикс","group"
"CORV-G04-02","программист","group"
"CORV-G04-02","доработка","group"
"CORV-G04-02","не работает","group"
"CORV-G04-03","себестоим","group"
"CORV-G04-03","закупок","group"
"CORV-G04-03","планирован","group"
"CORV-G04-03","маркировка","group"
"CORV-G04-03","честный знак","group"
"CORV-G04-03","вакансия","group"
"CORV-G04-03","курсы","group"
"CORV-G04-03","битрикс","group"
"CORV-G04-03","программист","group"
"CORV-G04-03","доработка","group"
"CORV-G04-03","не работает","group"
"CORV-G03-04","отчет","group"
"CORV-G03-04","рмк","group"
"CORV-G03-04","маркировка","group"
"CORV-G03-04","создан","group"
"CORV-G03-04","честный знак","group"
"CORV-G03-04","программист вакансия","group"
"CORV-G03-04","битрикс","group"
"CORV-G03-04","не работает","group"
"CORV-G03-04","доработка базы","group"
"CORV-G03-04","сопровождение","group"
"CORV-G03-04","интеграция","group"
"CORV-G03-06","отчет","group"
"CORV-G03-06","печатная форма","group"
"CORV-G03-06","маркировка","group"
"CORV-G03-06","внешн","group"
"CORV-G03-06","касса","group"
"CORV-G03-06","честный знак","group"
"CORV-G03-06","программист вакансия","group"
"CORV-G03-06","битрикс","group"
"CORV-G03-06","не работает","group"
"CORV-G03-06","доработка базы","group"
"CORV-G03-06","сопровождение","group"
"CORV-G03-06","интеграция","group"
"CORV-G03-05","рмк","group"
"CORV-G03-05","маркировка","group"
"CORV-G03-05","честный знак","group"
"CORV-G03-05","программист вакансия","group"
"CORV-G03-05","битрикс","group"
"CORV-G03-05","не работает","group"
"CORV-G03-05","доработка базы","group"
"CORV-G03-05","сопровождение","group"
"CORV-G03-05","интеграция","group"
"CORV-G03-02","печатная форма","group"
"CORV-G03-02","доработк","group"
"CORV-G03-02","внешн","group"
"CORV-G03-02","маркировка","group"
"CORV-G03-02","рмк","group"
"CORV-G03-02","честный знак","group"
"CORV-G03-02","программист вакансия","group"
"CORV-G03-02","битрикс","group"
"CORV-G03-02","не работает","group"
"CORV-G03-02","доработка базы","group"
"CORV-G03-02","сопровождение","group"
"CORV-G03-02","интеграция","group"
"CORV-G03-01","печатная форма","group"
"CORV-G03-01","внешн","group"
"CORV-G03-01","создан","group"
"CORV-G03-01","маркировка","group"
"CORV-G03-01","рмк","group"
"CORV-G03-01","честный знак","group"
"CORV-G03-01","программист вакансия","group"
"CORV-G03-01","битрикс","group"
"CORV-G03-01","не работает","group"
"CORV-G03-01","доработка базы","group"
"CORV-G03-01","сопровождение","group"
"CORV-G03-01","интеграция","group"
"CORV-G03-03","доработк","group"
"CORV-G03-03","рмк","group"
"CORV-G03-03","маркировка","group"
"CORV-G03-03","внешн","group"
"CORV-G03-03","честный знак","group"
"CORV-G03-03","программист вакансия","group"
"CORV-G03-03","битрикс","group"
"CORV-G03-03","не работает","group"
"CORV-G03-03","доработка базы","group"
"CORV-G03-03","сопровождение","group"
"CORV-G03-03","интеграция","group"
"CORV-G02-04","перенос","group"
"CORV-G02-04","исправлен","group"
"CORV-G02-04","база","group"
"CORV-G02-04","маркировка","group"
"CORV-G02-04","честный знак","group"
"CORV-G02-04","отчет","group"
"CORV-G02-04","печатная форма","group"
"CORV-G02-04","рмк","group"
"CORV-G02-04","не работает","group"
"CORV-G02-04","вакансия","group"
"CORV-G02-04","курсы","group"
"CORV-G02-04","битрикс","group"
"CORV-G02-04","интеграция","group"
"CORV-G02-04","синхронизация","group"
"CORV-G02-05","исправлен","group"
"CORV-G02-05","конфигурац","group"
"CORV-G02-05","база","group"
"CORV-G02-05","маркировка","group"
"CORV-G02-05","честный знак","group"
"CORV-G02-05","отчет","group"
"CORV-G02-05","печатная форма","group"
"CORV-G02-05","рмк","group"
"CORV-G02-05","не работает","group"
"CORV-G02-05","вакансия","group"
"CORV-G02-05","курсы","group"
"CORV-G02-05","битрикс","group"
"CORV-G02-05","интеграция","group"
"CORV-G02-05","синхронизация","group"
"CORV-G02-06","перенос","group"
"CORV-G02-06","конфигурац","group"
"CORV-G02-06","база","group"
"CORV-G02-06","маркировка","group"
"CORV-G02-06","честный знак","group"
"CORV-G02-06","отчет","group"
"CORV-G02-06","печатная форма","group"
"CORV-G02-06","рмк","group"
"CORV-G02-06","не работает","group"
"CORV-G02-06","вакансия","group"
"CORV-G02-06","курсы","group"
"CORV-G02-06","битрикс","group"
"CORV-G02-06","интеграция","group"
"CORV-G02-06","синхронизация","group"
"CORV-G02-02","отчет","group"
"CORV-G02-02","печатная форма","group"
"CORV-G02-02","маркировка","group"
"CORV-G02-02","база","group"
"CORV-G02-02","перенос","group"
"CORV-G02-02","исправлен","group"
"CORV-G02-02","честный знак","group"
"CORV-G02-02","рмк","group"
"CORV-G02-02","не работает","group"
"CORV-G02-02","вакансия","group"
"CORV-G02-02","курсы","group"
"CORV-G02-02","битрикс","group"
"CORV-G02-02","интеграция","group"
"CORV-G02-02","синхронизация","group"
"CORV-G02-03","отчет","group"
"CORV-G02-03","печатная форма","group"
"CORV-G02-03","маркировка","group"
"CORV-G02-03","конфигурац","group"
"CORV-G02-03","обновлен","group"
"CORV-G02-03","перенос","group"
"CORV-G02-03","честный знак","group"
"CORV-G02-03","рмк","group"
"CORV-G02-03","не работает","group"
"CORV-G02-03","вакансия","group"
"CORV-G02-03","курсы","group"
"CORV-G02-03","битрикс","group"
"CORV-G02-03","интеграция","group"
"CORV-G02-03","синхронизация","group"
"CORV-G02-01","отчет","group"
"CORV-G02-01","печатная форма","group"
"CORV-G02-01","маркировка","group"
"CORV-G02-01","конфигурац","group"
"CORV-G02-01","база","group"
"CORV-G02-01","обновлен","group"
"CORV-G02-01","перенос","group"
"CORV-G02-01","честный знак","group"
"CORV-G02-01","рмк","group"
"CORV-G02-01","не работает","group"
"CORV-G02-01","вакансия","group"
"CORV-G02-01","курсы","group"
"CORV-G02-01","битрикс","group"
"CORV-G02-01","интеграция","group"
"CORV-G02-01","синхронизация","group"
"CORV-G01-02","маркировка","group"
"CORV-G01-02","не работает","group"
"CORV-G01-02","доработка","group"
"CORV-G01-02","сопровождение","group"
"CORV-G01-02","настройка","group"
"CORV-G01-02","внедрение","group"
"CORV-G01-02","честный знак","group"
"CORV-G01-02","битрикс","group"
"CORV-G01-02","ошибка","group"
"CORV-G01-02","вакансия программист","group"
"CORV-G01-02","отчет","group"
"CORV-G01-02","печатная форма","group"
"CORV-G01-02","рмк","group"
"CORV-G01-02","тс пиот","group"
"CORV-G01-02","интеграция сайт","group"
"CORV-G01-02","синхронизация","group"
"CORV-G01-07","программист","group"
"CORV-G01-07","доработка","group"
"CORV-G01-07","маркировка","group"
"CORV-G01-07","настройка","group"
"CORV-G01-07","разов","group"
"CORV-G01-07","честный знак","group"
"CORV-G01-07","битрикс","group"
"CORV-G01-07","не работает","group"
"CORV-G01-07","ошибка","group"
"CORV-G01-07","вакансия программист","group"
"CORV-G01-07","отчет","group"
"CORV-G01-07","печатная форма","group"
"CORV-G01-07","рмк","group"
"CORV-G01-07","тс пиот","group"
"CORV-G01-07","интеграция сайт","group"
"CORV-G01-07","синхронизация","group"
"CORV-G01-06","программист","group"
"CORV-G01-06","доработка","group"
"CORV-G01-06","маркировка","group"
"CORV-G01-06","абонент","group"
"CORV-G01-06","настройка","group"
"CORV-G01-06","внедрение","group"
"CORV-G01-06","честный знак","group"
"CORV-G01-06","битрикс","group"
"CORV-G01-06","не работает","group"
"CORV-G01-06","ошибка","group"
"CORV-G01-06","вакансия программист","group"
"CORV-G01-06","отчет","group"
"CORV-G01-06","печатная форма","group"
"CORV-G01-06","рмк","group"
"CORV-G01-06","тс пиот","group"
"CORV-G01-06","интеграция сайт","group"
"CORV-G01-06","синхронизация","group"
"CORV-G01-05","программист","group"
"CORV-G01-05","доработка","group"
"CORV-G01-05","маркировка","group"
"CORV-G01-05","не работает","group"
"CORV-G01-05","абонент","group"
"CORV-G01-05","настройка","group"
"CORV-G01-05","внедрение","group"
"CORV-G01-05","разов","group"
"CORV-G01-05","честный знак","group"
"CORV-G01-05","битрикс","group"
"CORV-G01-05","ошибка","group"
"CORV-G01-05","вакансия программист","group"
"CORV-G01-05","отчет","group"
"CORV-G01-05","печатная форма","group"
"CORV-G01-05","рмк","group"
"CORV-G01-05","тс пиот","group"
"CORV-G01-05","интеграция сайт","group"
"CORV-G01-05","синхронизация","group"
"CORV-G01-04","настройка","group"
"CORV-G01-04","сопровождение","group"
"CORV-G01-04","маркировка","group"
"CORV-G01-04","доработка","group"
"CORV-G01-04","честный знак","group"
"CORV-G01-04","битрикс","group"
"CORV-G01-04","не работает","group"
"CORV-G01-04","ошибка","group"
"CORV-G01-04","вакансия программист","group"
"CORV-G01-04","отчет","group"
"CORV-G01-04","печатная форма","group"
"CORV-G01-04","рмк","group"
"CORV-G01-04","тс пиот","group"
"CORV-G01-04","интеграция сайт","group"
"CORV-G01-04","синхронизация","group"
"CORV-G01-03","внедрение","group"
"CORV-G01-03","маркировка","group"
"CORV-G01-03","интеграция","group"
"CORV-G01-03","доработка","group"
"CORV-G01-03","сопровождение","group"
"CORV-G01-03","разов","group"
"CORV-G01-03","честный знак","group"
"CORV-G01-03","битрикс","group"
"CORV-G01-03","не работает","group"
"CORV-G01-03","ошибка","group"
"CORV-G01-03","вакансия программист","group"
"CORV-G01-03","отчет","group"
"CORV-G01-03","печатная форма","group"
"CORV-G01-03","рмк","group"
"CORV-G01-03","тс пиот","group"
"CORV-G01-03","интеграция сайт","group"
"CORV-G01-03","синхронизация","group"
"CORV-G01-08","маркировка","group"
"CORV-G01-08","сопровождение","group"
"CORV-G01-08","абонент","group"
"CORV-G01-08","настройка","group"
"CORV-G01-08","внедрение","group"
"CORV-G01-08","честный знак","group"
"CORV-G01-08","битрикс","group"
"CORV-G01-08","не работает","group"
"CORV-G01-08","ошибка","group"
"CORV-G01-08","вакансия программист","group"
"CORV-G01-08","отчет","group"
"CORV-G01-08","печатная форма","group"
"CORV-G01-08","рмк","group"
"CORV-G01-08","тс пиот","group"
"CORV-G01-08","интеграция сайт","group"
"CORV-G01-08","синхронизация","group"
"CORV-G01-01","новосибирск","group"
"CORV-G01-01","сопровождение","group"
"CORV-G01-01","доработка","group"
"CORV-G01-01","маркировка","group"
"CORV-G01-01","не работает","group"
"CORV-G01-01","настройка","group"
"CORV-G01-01","внедрение","group"
"CORV-G01-01","абонент","group"
"CORV-G01-01","разов","group"
"CORV-G01-01","честный знак","group"
"CORV-G01-01","битрикс","group"
"CORV-G01-01","ошибка","group"
"CORV-G01-01","вакансия программист","group"
"CORV-G01-01","отчет","group"
"CORV-G01-01","печатная форма","group"
"CORV-G01-01","рмк","group"
"CORV-G01-01","тс пиот","group"
"CORV-G01-01","интеграция сайт","group"
"CORV-G01-01","синхронизация","group"
