"ad_id","group_id","h1","h2","text","factual_risk","certainty_risk","unsupported","action","final_status"
"ad-CORV-G05-06-a1","CORV-G05-06","Перенос данных в 1С","Миграция","Перенесём справочники и документы в 1С. Оценка объёма заранее.","none","none","none","KEEP","PASS"
"ad-CORV-G05-04-a1","CORV-G05-04","Синхронизация и обмен 1С","Между базами","Настроим обмен и синхронизацию данных в 1С.","none","none","none","KEEP","PASS"
"ad-CORV-G05-05-a1","CORV-G05-05","Настройка обмена в 1С","Корво Неро","Настроим правила обмена между базами 1С. Договор, безнал.","none","none","none","KEEP","PASS"
"ad-CORV-G04-01-a1","CORV-G04-01","Расчёт себестоимости в 1С","Управленческий учёт","Настроим расчёт себестоимости в 1С. Оценка по вашей базе.","none","none","none","KEEP","PASS"
"ad-CORV-G04-02-a1","CORV-G04-02","Планирование закупок в 1С","Корво Неро","Настроим планирование закупок в 1С. Работа по договору.","none","none","none","KEEP","PASS"
"ad-CORV-G04-03-a1","CORV-G04-03","Платёжный календарь в 1С","Финансы","Настроим календарь платежей в 1С. Оценка по задаче.","none","none","none","KEEP","PASS"
"ad-CORV-G03-04-a1","CORV-G03-04","Доработка печатной формы 1С","Корво Неро","Изменим форму документа в 1С под ваши требования. Работа по договору.","none","none","none","KEEP","PASS"
"ad-CORV-G03-06-a1","CORV-G03-06","Настройка РМК в 1С","Касса и розница","Доработаем рабочее место кассира в 1С. Оценка по конфигурации.","none","none","none","KEEP","PASS"
"ad-CORV-G03-05-a1","CORV-G03-05","Внешние отчёты и обработки 1С","Под задачу","Разработка внешних отчётов и обработок. Договор и безнал.","none","none","none","KEEP","PASS"
"ad-CORV-G03-02-a1","CORV-G03-02","Создание отчёта в 1С","Под ваши данные","Разработаем новый отчёт в 1С. Работаем с юрлицами по договору.","none","none","none","KEEP","PASS"
"ad-CORV-G03-01-a1","CORV-G03-01","Доработка отчёта в 1С","От 6000 ₽","Настроим или изменим отчёт под ваш учёт. Оценка до начала работ.","none","none","none","KEEP","PASS"
"ad-CORV-G03-01-a2","CORV-G03-01","Доработка отчёта в 1С","3000 ₽/час","Разовые работы по 1С для юрлиц. Минимум 2 часа. Оставьте заявку.","none","none","none","KEEP","PASS"
"ad-CORV-G03-03-a1","CORV-G03-03","Печатные формы в 1С","Корво Неро","Создадим или изменим печатные формы. Оценка по макету.","none","none","none","KEEP","PASS"
"ad-CORV-G02-04-a1","CORV-G02-04","Обновление доработанной 1С","Предварительная оценка","Обновление доработанной 1С с предварительной оценкой. Работа по договору.","none","none","none","KEEP","PASS"
"ad-CORV-G02-05-a1","CORV-G02-05","Перенос доработок при обновлении","Оценка переноса","Перенос и адаптация доработок при обновлении. Оценка по базе.","none","none","none","KEEP","PASS"
"ad-CORV-G02-06-a1","CORV-G02-06","Исправление доработок после обновления","После релиза","Поможем восстановить работу доработок в 1С после релиза.","none","none","none","KEEP","PASS"
"ad-CORV-G02-02-a1","CORV-G02-02","Доработка конфигурации 1С","Корво Неро","Модули, расширения и логика в 1С. Работаем по договору.","none","none","none","KEEP","PASS"
"ad-CORV-G02-03-a1","CORV-G02-03","Доработка базы 1С","Оценка до начала","Изменения в базе 1С с предварительной оценкой. Работа по договору.","none","none","none","KEEP","PASS"
"ad-CORV-G02-01-a1","CORV-G02-01","Доработка 1С под вашу задачу","От 6000 ₽","Изменим конфигурацию и логику 1С. Оценка работ до старта.","none","none","none","KEEP","PASS"
"ad-CORV-G02-01-a2","CORV-G02-01","Доработка 1С под вашу задачу","3000 ₽/час","Разовые работы по 1С для юрлиц. Минимум 2 часа. Оставьте заявку.","none","none","none","KEEP","PASS"
"ad-CORV-G01-02-a1","CORV-G01-02","Программист 1С в Новосибирске","Выезд и удалённо","Задачи по 1С для организаций. Договор, безнал. Оценка по запросу.","none","none","none","KEEP","PASS"
"ad-CORV-G01-07-a1","CORV-G01-07","Абонентское сопровождение 1С","Для организаций","Регулярная поддержка базы 1С. Договор и безналичная оплата.","none","none","none","KEEP","PASS"
"ad-CORV-G01-06-a1","CORV-G01-06","Обслуживание 1С для компании","Разовые работы","Техническая поддержка и задачи по 1С. Работаем с юрлицами и ИП.","none","none","none","KEEP","PASS"
"ad-CORV-G01-05-a1","CORV-G01-05","Сопровождение 1С для бизнеса","Корво Неро","Поддержка и доработки базы 1С. Договор, безнал, удалённо и с выездом.","none","none","none","KEEP","PASS"
"ad-CORV-G01-04-a1","CORV-G01-04","Внедрение 1С для организации","УТ, УНФ, КА, БП","Запуск и настройка 1С под задачи бизнеса. Оценка объёма по брифу.","none","none","none","KEEP","PASS"
"ad-CORV-G01-03-a1","CORV-G01-03","Настройка 1С под вашу работу","УТ, УНФ, КА, БП","Настроим учёт и процессы в 1С. Работаем по договору с юрлицами.","none","none","none","KEEP","PASS"
"ad-CORV-G01-08-a1","CORV-G01-08","Разовые работы по 1С","3000 ₽/час","Точечные задачи программиста 1С. Минимальный заказ от 2 часов.","none","none","none","KEEP","PASS"
"ad-CORV-G01-01-a1","CORV-G01-01","Программист 1С для бизнеса","Корво Неро","Доработки и поддержка 1С для юрлиц и ИП. От 6000 ₽. Оставьте заявку.","none","none","none","KEEP","PASS"
"ad-CORV-G01-01-a2","CORV-G01-01","Программист 1С для бизнеса","3000 ₽/час","Разовые работы по 1С для юрлиц. Минимум 2 часа. Оставьте заявку.","none","none","none","KEEP","PASS"
